But, at end of the day, no currency can defy the laws of economic gravity.	0 1 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	deletion-determiner	CCONJ ADP NOUN ADP DET NOUN DET NOUN VERB VERB DET NOUN ADP ADJ NOUN
But it would be very interesting if er you had a positive er proposal or something constructive to make which we might be able to examine, but I can tell you at the end of the day money is required and this government won't allow to spend er, the money that er we have got er er erm at the moment that we could, er use but they won't let us.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ PRON VERB VERB ADV ADJ ADP INTJ PRON VERB DET ADJ INTJ NOUN CCONJ NOUN ADJ PART VERB ADJ PRON VERB VERB ADJ PART VERB CCONJ PRON VERB VERB PRON ADP DET NOUN ADP DET NOUN NOUN VERB VERB CCONJ DET NOUN VERB VERB PART VERB INTJ DET NOUN ADJ INTJ PRON VERB VERB INTJ INTJ NOUN ADP DET NOUN ADP PRON VERB INTJ NOUN CCONJ PRON VERB VERB PRON
At the end of the day, there was no love lost between the street people and the representatives of an all - powerful State.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN ADV VERB DET NOUN VERB ADP DET NOUN NOUN CCONJ DET NOUN ADP DET ADV PUNCT ADJ NOUN
Think carefully about when this can be done — perhaps at the end of your knitting day or after you come in from work.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0	at the end of the day	literal	combined-other	VERB ADV ADP ADV DET VERB VERB VERB PUNCT ADV ADP DET NOUN ADP ADJ NOUN NOUN CCONJ ADP PRON VERB PART ADP NOUN
Completer finishes finishers because at the end of the day that job has got to be finished off.	0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PROPN VERB NOUN ADP ADP DET NOUN ADP DET NOUN DET NOUN VERB VERB PART VERB VERB PART
At the end of the day, however, we must ensure that the House retains control of public expenditure.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN ADV PRON VERB VERB ADP DET PROPN VERB NOUN ADP ADJ NOUN
Perhaps there are Leicester citizens who will feel just a little sorry if the bird we all love to hate were ever banished ; no longer to amaze us with squabbling antics in the garden, purposeful flight lines at the end of day, noisy pre - roost assemblies — and starling spectaculars at dusk.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	deletion-determiner	ADV ADV VERB NOUN NOUN NOUN VERB VERB ADV DET ADJ ADJ ADP DET NOUN PRON DET VERB PART VERB VERB ADV VERB PUNCT ADV ADV PART VERB PRON ADP VERB NOUN ADP DET NOUN ADJ NOUN NOUN ADP DET NOUN ADP NOUN ADJ ADJ PUNCT NOUN NOUN PUNCT CCONJ VERB NOUN ADP NOUN
I ain't knocking dance music, but at the end of the day we 're a band.’	0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0	at the end of the day	figurative	identical	PRON VERB VERB NOUN NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB DET NOUN
Regular collections of mail for posting should be made throughout the day ; this will ease the pressure and build - up of outgoing mail at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	literal	identical	ADJ NOUN ADP NOUN ADP VERB VERB VERB VERB ADP DET NOUN PUNCT DET VERB VERB DET NOUN CCONJ NOUN PUNCT NOUN ADP ADJ NOUN ADP DET NOUN ADP DET NOUN
Well er at the end of the day it may be one that we 're gon na we 're gon na lose but erm	0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	INTJ INTJ ADP DET NOUN ADP DET NOUN PRON VERB VERB NUM ADJ PRON VERB VERB ADP PRON VERB VERB PART VERB CCONJ NOUN
At the end of the day, you can't be one hundred percent, but I 'm, I, I think it's a good idea, that we actually pass something to the people, pending Trevor being happy.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON VERB VERB NUM NUM NOUN CCONJ PRON NOUN PRON PRON VERB PRON DET ADJ NOUN ADP PRON ADV VERB NOUN ADP DET NOUN VERB NOUN VERB ADJ
At the end of the day it is the person that makes the impact.	1 0 1 1 0 1 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON VERB DET NOUN ADJ VERB DET NOUN
But at the end of the day they aren't in that league cos most thieves are opportunists they seize a common opportunity that is presented to them by or it could be they 've actually just watched her go out and more of a chance.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN PRON VERB ADP DET NOUN ADP ADJ NOUN VERB NOUN PRON VERB DET ADJ NOUN ADJ VERB VERB ADP PRON ADV CCONJ PRON VERB VERB PRON VERB ADV ADV VERB PRON VERB ADV CCONJ ADJ ADP DET NOUN
I don't know whether this will be acceptable to Policy and Resources Committee or the Council at the end of the day, but essentially what is showing there is something that, taken over the three years meets er, a figure equivalent to the annual but it doesn't do it uniformly over the three years.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB VERB ADP DET VERB VERB ADJ ADP PROPN CCONJ PROPN PROPN CCONJ DET PROPN ADP DET NOUN ADP DET NOUN CCONJ ADV NOUN VERB VERB ADV VERB NOUN ADJ VERB PART DET NUM NOUN VERB INTJ DET NOUN ADJ ADP DET ADJ CCONJ PRON VERB VERB PRON ADV ADP DET NUM NOUN
At the end of forty days Noah opened the window of the Ark, that he had made and sent out a raven which came and went until the waters upon the earth had dried up.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	combined-inflection	ADP DET NOUN ADP NUM NOUN PROPN VERB DET NOUN ADP DET PROPN ADP PRON VERB VERB CCONJ VERB PART DET NOUN ADJ VERB CCONJ VERB ADP DET NOUN ADP DET NOUN VERB VERB PART
And for making the E I P erm an interesting and er fortnight and I think er commending on the way that you er and your colleagues have handled it er all the way through and er we hope that er at the end of the day we 'll get something back from you fairly quickly which er we 'll act upon.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP VERB DET NOUN PRON NOUN ADV DET ADJ CCONJ INTJ NOUN CCONJ PRON VERB INTJ VERB ADP DET NOUN ADJ PRON INTJ CCONJ ADJ NOUN VERB VERB PRON INTJ ADJ DET NOUN ADP CCONJ INTJ PRON VERB ADP INTJ ADP DET NOUN ADP DET NOUN PRON VERB VERB NOUN ADV ADP PRON ADV ADV ADJ INTJ PRON VERB VERB ADP
Moreover, too many policymakers have relied on the belief that, at the end of the day, this is just a deep recession that can be subdued by a generous helping of conventional policy tools, whether fiscal policy or massive bailouts.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADV ADV ADJ NOUN VERB VERB ADP DET NOUN ADP ADP DET NOUN ADP DET NOUN DET VERB ADV DET ADJ NOUN ADJ VERB VERB VERB ADP DET ADJ NOUN ADP ADJ NOUN NOUN ADP ADJ NOUN CCONJ ADJ NOUN
At the end of the day, it doesn't matter what colour you are, black, blue, pink, white or green.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON VERB VERB NOUN NOUN PRON VERB ADJ ADJ ADJ ADJ CCONJ ADJ
Mm, you see at the end of the day one has to work out if this is gon na be an earthly er point towards the kingdom, that's the different between this faith and any other faith isn't it?	0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PROPN PRON VERB ADP DET NOUN ADP DET NOUN NUM VERB PART VERB PART ADP DET VERB VERB PART VERB DET ADJ INTJ NOUN ADP DET NOUN DET DET ADJ ADP DET NOUN CCONJ DET ADJ NOUN VERB PRON
Derek White is a very good player and I respect him, but at the end of the day he's only human’, he said.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0	at the end of the day	figurative	identical	PROPN PROPN VERB DET ADV ADJ NOUN CCONJ PRON VERB PRON CCONJ ADP DET NOUN ADP DET NOUN PRON ADV NOUN PRON VERB
Contestants were invited to complete an entry coupon with four simple questions — all the answers could be found somewhere on the stand — and at the end of the day a draw was made and bouquets sent by Interflora to the first three correct entries drawn from the bag.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	identical	NOUN VERB VERB PART VERB DET NOUN NOUN ADP NUM ADJ NOUN PUNCT ADJ DET NOUN VERB VERB VERB ADV ADP DET NOUN PUNCT CCONJ ADP DET NOUN ADP DET NOUN DET NOUN VERB VERB CCONJ NOUN VERB ADP PROPN ADP DET ADJ NUM ADJ NOUN VERB ADP DET NOUN
But at the end of the day, due to skilful management by Jenkins combined with the staunchness of the shadow Home Secretary, the clause survived at Report Stage by 180 votes to 102.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN ADJ ADP ADJ NOUN ADP PROPN VERB ADP DET NOUN ADP DET NOUN PROPN PROPN DET NOUN VERB ADP PROPN PROPN ADP NUM NOUN ADP NUM
At the end of day 2, pneumothorax was diagnosed.	1 0 1 1 1 0 0 0 0	at the end of the day	literal	combined-other	ADP DET NOUN ADP NOUN NUM NOUN VERB VERB
Well at the end of the day all our work is for the benefit of children, individual children, individual human beings like you or like me.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	INTJ ADP DET NOUN ADP DET NOUN ADJ ADJ NOUN VERB ADP DET NOUN ADP NOUN ADJ NOUN ADJ ADJ NOUN ADP PRON CCONJ ADP PRON
I believe that's something that needs to be looked at and if the government were prepared to embark on a review of auditing er generally then that is something that I think there is some useful point in pursuing further er it's interesting that er er erm when Bingham examined this point at paragraph three er point three nine in his report er he has a long paragraph er discussing these matters and er he says that er he at the end of the day he doesn't come to a concluded view er although he does er acknowledge the fact that there are many people er depositors or example, share holders and employees who might have an interest in a particular company.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB DET NOUN ADJ VERB PART VERB VERB ADP CCONJ ADP DET NOUN VERB VERB PART VERB ADP DET NOUN ADP NOUN INTJ ADV ADV DET VERB NOUN ADJ PRON VERB ADV VERB DET ADJ NOUN ADP VERB ADV INTJ PRON ADJ ADP INTJ INTJ NOUN ADV PROPN VERB DET NOUN ADP NOUN NUM INTJ NOUN NUM NUM ADP ADJ NOUN INTJ PRON VERB DET ADJ NOUN INTJ VERB DET NOUN CCONJ INTJ PRON VERB ADP INTJ PRON ADP DET NOUN ADP DET NOUN PRON VERB VERB ADP DET VERB NOUN INTJ ADP PRON VERB INTJ VERB DET NOUN ADP ADV VERB ADJ NOUN INTJ NOUN CCONJ NOUN VERB NOUN CCONJ NOUN NOUN VERB VERB DET NOUN ADP DET ADJ NOUN
For what you make at the end of the day on, on somebody's	0 0 0 0 1 0 1 1 0 1 0 0 0	at the end of the day	figurative	identical	ADP NOUN PRON VERB ADP DET NOUN ADP DET NOUN ADV ADP NOUN
‘ But at the end of the day, I can look at myself in the mirror and say I gave 100 per cent.	0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PUNCT CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB ADP PRON ADP DET NOUN CCONJ VERB PRON VERB NUM NOUN NOUN
' At the end of the day it comes down to individual decisions about individual jobs, ' says Fairweather.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	PUNCT ADP DET NOUN ADP DET NOUN PRON VERB PART ADP ADJ NOUN ADP ADJ NOUN PUNCT VERB PROPN
