Scatter the cheese over the top.	0 0 0 1 0 1	over the top	literal	identical	VERB DET NOUN ADP DET NOUN
When the suit is wet, it traps a thin layer of water between the body and the suit and your body quickly warms that up to a comfortable working temperature but if you fall in when the suit is dry, the cold water can be quite a shock and so a good trick in cold weather is to put the wet suit on in a hot shower and then over the top you wear a spray suit again to keep off the wind and to protect the wetsuit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADV DET NOUN VERB ADJ PRON VERB DET ADJ NOUN ADP NOUN ADP DET NOUN CCONJ DET NOUN CCONJ ADJ NOUN ADV VERB ADP ADP ADP DET ADJ VERB NOUN CCONJ ADP PRON VERB ADP ADV DET NOUN VERB ADJ DET ADJ NOUN VERB VERB ADV DET NOUN CCONJ ADV DET ADJ NOUN ADP ADJ NOUN VERB PART VERB DET ADJ NOUN ADP ADP DET ADJ NOUN CCONJ ADV ADP DET NOUN PRON VERB DET NOUN NOUN ADV PART VERB PART DET NOUN CCONJ PART VERB DET NOUN
This converts the leading edge into a turbulator, behind which the airflow has a better transition over the top of the kite.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	over the top	literal	identical	DET VERB DET VERB NOUN ADP DET NOUN ADP ADJ DET NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN
Before she could utter the cry of alarm which rose in her throat his hand had closed over her mouth, and Paige's startled eyes blinked at him over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	ADP PRON VERB VERB DET NOUN ADP NOUN ADJ VERB ADP ADJ NOUN ADJ NOUN VERB VERB ADP ADJ NOUN CCONJ PROPN ADJ NOUN VERB ADP PRON ADP DET NOUN
Mr Bennet put one finger at the side of his nose and looked over the top of his glasses.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	over the top	literal	identical	PROPN PROPN VERB NUM NOUN ADP DET NOUN ADP ADJ NOUN CCONJ VERB ADP DET NOUN ADP ADJ NOUN
‘ Certainly not … to catch me here!’ said the third, lifting on the breeze above me and hovering over the top of the pole where the trap was.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	over the top	literal	identical	PUNCT ADV ADV PUNCT PART VERB PRON NOUN VERB DET ADJ VERB ADP DET NOUN ADP PRON CCONJ VERB ADP DET NOUN ADP DET NOUN ADV DET NOUN VERB
The argument was settled when a tall figure in a parachutist's red beret and combat uniform appeared over the top of a dune and walked towards them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	over the top	literal	identical	DET NOUN VERB VERB ADV DET ADJ NOUN ADP DET NOUN ADJ NOUN CCONJ NOUN NOUN VERB ADP DET NOUN ADP DET NOUN CCONJ VERB ADP PRON
The broomstick dipped and then dived towards a dark wood of tall elms and flew over the tops.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	inflection	DET NOUN VERB CCONJ ADV VERB ADP DET ADJ NOUN ADP ADJ NOUN CCONJ VERB ADP DET NOUN
Swinging lightly over the top rail he glanced down, measured the drop to the shoulders of his unsuspecting victim below, and stepped into space.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	VERB ADV ADP DET ADJ NOUN PRON VERB PART VERB DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN ADV CCONJ VERB ADP NOUN
The rain was hammering on the perspex roof, gurgling in the gutters, and the four horses gazed at them hopefully from over the refrigerator tops, making funny little whickering noises for food.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	over the top	literal	combined-inflection	DET NOUN VERB VERB ADP DET ADJ NOUN VERB ADP DET NOUN CCONJ DET NUM NOUN VERB ADP PRON ADV ADP ADP DET NOUN NOUN VERB ADJ ADJ ADJ NOUN ADP NOUN
Every hundred pound you spend you just put spend a quid over the top.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	DET NUM NOUN PRON VERB PRON ADV VERB VERB DET NOUN ADP DET NOUN
After about five minutes a middle - aged woman appeared in the doorway and, seeing Lucy, stopped and frowned at her over the top of her glasses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	over the top	literal	identical	ADP ADV NUM NOUN DET ADJ PUNCT ADJ NOUN VERB ADP DET NOUN CCONJ VERB PROPN VERB CCONJ VERB ADP PRON ADP DET NOUN ADP ADJ NOUN
