‘ Then a shot of glucose should do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN	▁ ‘ ▁Then ▁a ▁shot ▁of ▁glucose ▁should ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN NOUN
The water and the Juicy Fruit seemed to have done the trick because she felt great.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	do the trick	figurative	inflection	DET NOUN CCONJ DET PROPN PROPN VERB PART VERB VERB DET NOUN ADP PRON VERB ADJ	▁The ▁water ▁and ▁the ▁Ju icy ▁Fruit ▁seemed ▁to ▁have ▁done ▁the ▁trick ▁because ▁she ▁felt ▁great .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	DET NOUN CCONJ DET PROPN PROPN PROPN VERB PART VERB VERB DET NOUN ADP PRON VERB ADJ ADJ
Behbehanian sincerely and deeply believed this would do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADJ ADV CCONJ ADV VERB DET VERB VERB DET NOUN	▁Be h be han ian ▁sincerely ▁and ▁deeply ▁believed ▁this ▁would ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ ADJ ADJ ADJ ADJ ADV CCONJ ADV VERB DET VERB VERB DET NOUN NOUN
A doctored ball should do the trick for both at the same time.	0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	identical	DET VERB NOUN VERB VERB DET NOUN ADP DET ADP DET ADJ NOUN	▁A ▁doctor ed ▁ball ▁should ▁do ▁the ▁trick ▁for ▁both ▁at ▁the ▁same ▁time .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	DET VERB VERB NOUN VERB VERB DET NOUN ADP DET ADP DET ADJ NOUN NOUN
Scented by infusion with wild tarragon, like no other sorbet I have ever tasted, a mere thimbleful did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	VERB ADP NOUN ADP ADJ NOUN ADP DET ADJ NOUN PRON VERB ADV VERB DET ADJ NOUN VERB DET NOUN	▁S cent ed ▁by ▁infusion ▁with ▁wild ▁tar r agon , ▁like ▁no ▁other ▁so rb et ▁I ▁have ▁ever ▁taste d , ▁a ▁mere ▁thi mble ful ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	VERB VERB VERB ADP NOUN ADP ADJ NOUN NOUN NOUN NOUN ADP DET ADJ NOUN NOUN NOUN PRON VERB ADV VERB VERB VERB DET ADJ NOUN NOUN NOUN VERB DET NOUN NOUN
Fiscal consolidation in the Mediterranean countries might just do the trick, and allow – at great cost – a return to normal financing arrangements.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	ADJ NOUN ADP DET PROPN NOUN VERB ADV VERB DET NOUN CCONJ VERB PUNCT ADP ADJ NOUN PUNCT DET NOUN ADP ADJ NOUN NOUN	▁Fiscal ▁consolidation ▁in ▁the ▁Mediterranean ▁countries ▁might ▁just ▁do ▁the ▁trick , ▁and ▁allow ▁ – ▁at ▁great ▁cost ▁ – ▁a ▁return ▁to ▁normal ▁financing ▁arrangements .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN ADP DET PROPN NOUN VERB ADV VERB DET NOUN NOUN CCONJ VERB PUNCT PUNCT ADP ADJ NOUN PUNCT PUNCT DET NOUN ADP ADJ NOUN NOUN NOUN
Mrs. O'Brien said that she believed what her husband told her about the company doing well and having good potential, but she was concerned for her son and felt that it was only for three weeks, and if it would do the trick, she would sign.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	do the trick	figurative	identical	PROPN PROPN VERB ADP PRON VERB NOUN ADJ NOUN VERB PRON ADP DET NOUN VERB ADV CCONJ VERB ADJ NOUN CCONJ PRON VERB VERB ADP ADJ NOUN CCONJ VERB ADP PRON VERB ADV ADP NUM NOUN CCONJ ADP PRON VERB VERB DET NOUN PRON VERB VERB	▁Mrs . ▁O ' Br ien ▁said ▁that ▁she ▁believed ▁what ▁her ▁husband ▁told ▁her ▁about ▁the ▁company ▁doing ▁well ▁and ▁having ▁good ▁potential , ▁but ▁she ▁was ▁concerned ▁for ▁her ▁son ▁and ▁felt ▁that ▁it ▁was ▁only ▁for ▁three ▁weeks , ▁and ▁if ▁it ▁would ▁do ▁the ▁trick , ▁she ▁would ▁sign .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP PRON VERB NOUN ADJ NOUN VERB PRON ADP DET NOUN VERB ADV CCONJ VERB ADJ NOUN NOUN CCONJ PRON VERB VERB ADP ADJ NOUN CCONJ VERB ADP PRON VERB ADV ADP NUM NOUN NOUN CCONJ ADP PRON VERB VERB DET NOUN NOUN PRON VERB VERB VERB
Having a ticket should do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	VERB DET NOUN VERB VERB DET NOUN	▁Having ▁a ▁ticket ▁should ▁do ▁the ▁trick .	0 0 0 0 1 0 1 1	VERB DET NOUN VERB VERB DET NOUN NOUN
Football Round - Up : Thomas quick to do the trick	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PROPN PROPN PUNCT NOUN PUNCT PROPN ADJ PART VERB DET NOUN	▁F ootball ▁Round ▁- ▁Up ▁ : ▁Thomas ▁quick ▁to ▁do ▁the ▁trick	0 0 0 0 0 0 0 0 0 0 1 0 1	PROPN PROPN PROPN PUNCT NOUN PUNCT PUNCT PROPN ADJ PART VERB DET NOUN
‘ I got Nell to tell his father that if Sheridan came to breakfast we wouldn't be putting on our scene, and it did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	PUNCT PRON VERB PROPN PART VERB ADJ NOUN ADP ADP PROPN VERB PART NOUN PRON VERB VERB VERB PART ADJ NOUN CCONJ PRON VERB DET NOUN	▁ ‘ ▁I ▁got ▁N ell ▁to ▁tell ▁his ▁father ▁that ▁if ▁She rid an ▁came ▁to ▁breakfast ▁we ▁would n ' t ▁be ▁putting ▁on ▁our ▁scene , ▁and ▁it ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT PRON VERB PROPN PROPN PART VERB ADJ NOUN ADP ADP PROPN PROPN PROPN VERB PART NOUN PRON VERB VERB VERB VERB VERB VERB PART ADJ NOUN NOUN CCONJ PRON VERB DET NOUN NOUN
‘ If only I could have made one more birdie at the last, that might have done the trick.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	combined-inflection	PUNCT ADP ADV PRON VERB VERB VERB NUM ADJ NOUN ADP DET ADJ ADJ VERB VERB VERB DET NOUN	▁ ‘ ▁If ▁only ▁I ▁could ▁have ▁made ▁one ▁more ▁bird ie ▁at ▁the ▁last , ▁that ▁might ▁have ▁done ▁the ▁trick . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT ADP ADV PRON VERB VERB VERB NUM ADJ NOUN NOUN ADP DET ADJ ADJ ADJ VERB VERB VERB DET NOUN NOUN NOUN
Garfield Sobers did the trick two matches later.	0 0 1 0 1 0 0 0	do the trick	figurative	inflection	PROPN PROPN VERB DET NOUN NUM NOUN ADV	▁Gar field ▁So ber s ▁did ▁the ▁trick ▁two ▁matches ▁later .	0 0 0 0 0 1 0 1 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB DET NOUN NUM NOUN ADV ADV
So I decided to get really fit this season before pre - season training, and Avrel seems to have done the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV PRON VERB PART VERB ADV ADJ DET NOUN ADP NOUN PUNCT NOUN NOUN CCONJ PROPN VERB PART VERB VERB DET NOUN	▁So ▁I ▁decided ▁to ▁get ▁really ▁fit ▁this ▁season ▁before ▁pre ▁- ▁season ▁training , ▁and ▁Av rel ▁seems ▁to ▁have ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV PRON VERB PART VERB ADV ADJ DET NOUN ADP NOUN PUNCT NOUN NOUN NOUN CCONJ PROPN PROPN VERB PART VERB VERB DET NOUN NOUN
But I 'd very surprised if that doesn't do the trick.	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ PRON VERB ADV ADJ ADP DET VERB VERB DET NOUN	▁But ▁I ▁' d ▁very ▁surprised ▁if ▁that ▁does n ' t ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ PRON VERB VERB ADV ADJ ADP DET VERB VERB VERB VERB VERB DET NOUN NOUN
It did the trick.	0 1 0 1	do the trick	figurative	inflection	PRON VERB DET NOUN	▁It ▁did ▁the ▁trick .	0 1 0 1 1	PRON VERB DET NOUN NOUN
In the event, some of the consequences of the solution have proved as irksome as the problem, but they have done the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADP DET NOUN DET ADP DET NOUN ADP DET NOUN VERB VERB ADV ADJ ADP DET NOUN CCONJ PRON VERB VERB DET NOUN	▁In ▁the ▁event , ▁some ▁of ▁the ▁consequences ▁of ▁the ▁solution ▁have ▁proved ▁as ▁ir k some ▁as ▁the ▁problem , ▁but ▁they ▁have ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET NOUN NOUN DET ADP DET NOUN ADP DET NOUN VERB VERB ADV ADJ ADJ ADJ ADP DET NOUN NOUN CCONJ PRON VERB VERB DET NOUN NOUN
Dies are you back on Diesiodinate doing the trick	0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	NOUN VERB PRON ADV ADP PROPN VERB DET NOUN	▁D ies ▁are ▁you ▁back ▁on ▁D ies io d inate ▁doing ▁the ▁trick	0 0 0 0 0 0 0 0 0 0 0 1 0 1	NOUN NOUN VERB PRON ADV ADP PROPN PROPN PROPN PROPN PROPN VERB DET NOUN
You, if you get that stuff that 'll keep doing the trick for you.	0 0 0 0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	inflection	PRON ADP PRON VERB DET NOUN ADJ VERB VERB VERB DET NOUN ADP PRON	▁You , ▁if ▁you ▁get ▁that ▁stuff ▁that ▁' ll ▁keep ▁doing ▁the ▁trick ▁for ▁you .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PRON PRON ADP PRON VERB DET NOUN ADJ VERB VERB VERB VERB DET NOUN ADP PRON PRON
And we can easily see that an external contingent relation, no matter how regular a contingent relation it is, won't do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ PRON VERB ADV VERB ADP DET ADJ NOUN NOUN ADV ADV ADV ADJ DET ADJ NOUN PRON VERB VERB VERB DET NOUN	▁And ▁we ▁can ▁easily ▁see ▁that ▁an ▁external ▁contingent ▁relation , ▁no ▁matter ▁how ▁regular ▁a ▁contingent ▁relation ▁it ▁is , ▁won ' t ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ PRON VERB ADV VERB ADP DET ADJ NOUN NOUN NOUN ADV ADV ADV ADJ DET ADJ NOUN PRON VERB VERB VERB VERB VERB VERB DET NOUN NOUN
Wouldn't DRIVE do the trick?	0 0 1 0 1	do the trick	figurative	identical	VERB VERB VERB DET NOUN	▁Would n ' t ▁D RIVE ▁do ▁the ▁trick ?	0 0 0 0 0 0 1 0 1 1	VERB VERB VERB VERB VERB VERB VERB DET NOUN NOUN
And changing the washers usually does the trick.	0 0 0 0 0 1 0 1	do the trick	figurative	inflection	CCONJ VERB DET NOUN ADV VERB DET NOUN	▁And ▁changing ▁the ▁washers ▁usually ▁does ▁the ▁trick .	0 0 0 0 0 1 0 1 1	CCONJ VERB DET NOUN ADV VERB DET NOUN NOUN
Bloomsbury House made soothing noises which seem to have done the trick.	0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	PROPN PROPN VERB VERB NOUN ADJ VERB PART VERB VERB DET NOUN	▁B loom s bur y ▁House ▁made ▁so oth ing ▁noise s ▁which ▁seem ▁to ▁have ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB VERB VERB NOUN NOUN ADJ VERB PART VERB VERB DET NOUN NOUN
I think he's doing tricks and that, cos he's got hankies and playing cards and that.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	PRON VERB PRON VERB NOUN CCONJ DET ADP PRON VERB NOUN CCONJ VERB NOUN CCONJ DET	▁I ▁think ▁he ' s ▁doing ▁trick s ▁and ▁that , ▁co s ▁he ' s ▁got ▁ han k ies ▁and ▁playing ▁cards ▁and ▁that .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON PRON PRON VERB NOUN NOUN CCONJ DET DET ADP ADP PRON PRON PRON VERB NOUN NOUN NOUN NOUN CCONJ VERB NOUN CCONJ DET DET
Well that did the trick.	0 0 1 0 1	do the trick	figurative	inflection	INTJ DET VERB DET NOUN	▁Well ▁that ▁did ▁the ▁trick .	0 0 1 0 1 1	INTJ DET VERB DET NOUN NOUN
‘ If you only snore on your back,’ he advises, ‘ then a tennis ball sewn into your pyjamas may do the trick.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	dashes	PUNCT ADP PRON ADV VERB ADP ADJ NOUN PRON VERB PUNCT ADV DET NOUN NOUN VERB ADP ADJ NOUN VERB VERB DET NOUN	▁ ‘ ▁If ▁you ▁only ▁sn ore ▁on ▁your ▁back , ’ ▁he ▁advise s , ▁ ‘ ▁then ▁a ▁ten nis ▁ball ▁se wn ▁into ▁your ▁pyjamas ▁may ▁do ▁the ▁trick . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT ADP PRON ADV VERB VERB ADP ADJ NOUN NOUN NOUN PRON VERB VERB VERB PUNCT PUNCT ADV DET NOUN NOUN NOUN VERB VERB ADP ADJ NOUN VERB VERB DET NOUN NOUN NOUN
But … between you, you 've done the trick.	0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	CCONJ PUNCT ADP PRON PRON VERB VERB DET NOUN	▁But ▁... ▁between ▁you , ▁you ▁' ve ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 1 0 1 1	CCONJ PUNCT ADP PRON PRON PRON VERB VERB VERB DET NOUN NOUN
Many of the cars being repaired have been converted to accept unleaded according to manufacturers guidelines which suggest a quick correction of engine timing will do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADJ ADP DET NOUN VERB VERB VERB VERB VERB PART VERB ADJ VERB ADP NOUN NOUN ADJ VERB DET ADJ NOUN ADP NOUN NOUN VERB VERB DET NOUN	▁Many ▁of ▁the ▁cars ▁being ▁repair ed ▁have ▁been ▁converted ▁to ▁accept ▁un leaded ▁according ▁to ▁manufacturers ▁guidelines ▁which ▁suggest ▁a ▁quick ▁correction ▁of ▁engine ▁timing ▁will ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ ADP DET NOUN VERB VERB VERB VERB VERB VERB PART VERB ADJ ADJ VERB ADP NOUN NOUN ADJ VERB DET ADJ NOUN ADP NOUN NOUN VERB VERB DET NOUN NOUN
‘ On a normal car some panel - beating and touching up would do the trick, but this is no normal car.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	identical	PUNCT ADP DET ADJ NOUN DET NOUN PUNCT VERB CCONJ VERB PART VERB VERB DET NOUN CCONJ DET VERB DET ADJ NOUN	▁ ‘ ▁On ▁a ▁normal ▁car ▁some ▁panel ▁- ▁be ating ▁and ▁touching ▁up ▁would ▁do ▁the ▁trick , ▁but ▁this ▁is ▁no ▁normal ▁car .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	PUNCT PUNCT ADP DET ADJ NOUN DET NOUN PUNCT VERB VERB CCONJ VERB PART VERB VERB DET NOUN NOUN CCONJ DET VERB DET ADJ NOUN NOUN
Points, of course, will do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	NOUN ADP NOUN VERB VERB DET NOUN	▁Points , ▁of ▁course , ▁will ▁do ▁the ▁trick .	0 0 0 0 0 0 1 0 1 1	NOUN NOUN ADP NOUN NOUN VERB VERB DET NOUN NOUN
I think we competed today but erm maybe one or two areas where I thought we might have got stuck in a little bit more you know, and we 're going to have to do that against Oldham I tell you because they 'll pass and have players that can do tricks erm good side aren't they?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	do the trick	literal	deletion-determiner	PRON VERB PRON VERB NOUN CCONJ ADV ADV NUM CCONJ NUM NOUN ADV PRON VERB PRON VERB VERB VERB VERB ADP DET ADJ NOUN ADV PRON VERB CCONJ PRON VERB VERB PART VERB PART VERB DET ADP PROPN PRON VERB PRON ADP PRON VERB VERB CCONJ VERB NOUN ADJ VERB VERB NOUN DET ADJ NOUN VERB PRON	▁I ▁think ▁we ▁compete d ▁today ▁but ▁er m ▁maybe ▁one ▁or ▁two ▁areas ▁where ▁I ▁thought ▁we ▁might ▁have ▁got ▁stuck ▁in ▁a ▁little ▁bit ▁more ▁you ▁know , ▁and ▁we ▁' re ▁going ▁to ▁have ▁to ▁do ▁that ▁against ▁Old ham ▁I ▁tell ▁you ▁because ▁they ▁' ll ▁pass ▁and ▁have ▁players ▁that ▁can ▁do ▁trick s ▁er m ▁good ▁side ▁are n ' t ▁they ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB NOUN CCONJ ADV ADV ADV NUM CCONJ NUM NOUN ADV PRON VERB PRON VERB VERB VERB VERB ADP DET ADJ NOUN ADV PRON VERB VERB CCONJ PRON VERB VERB VERB PART VERB PART VERB DET ADP PROPN PROPN PRON VERB PRON ADP PRON VERB VERB VERB CCONJ VERB NOUN ADJ VERB VERB NOUN NOUN DET DET ADJ NOUN VERB VERB VERB VERB PRON PRON
' Carl says you can do tricks with ladders, ' laughs Theodore Bixman.	0 0 0 0 0 1 1 0 0 0 0 0 0	do the trick	literal	deletion-determiner	PUNCT PROPN VERB PRON VERB VERB NOUN ADP NOUN PUNCT VERB PROPN PROPN	▁' ▁Carl ▁says ▁you ▁can ▁do ▁trick s ▁with ▁ladder s , ▁' ▁laugh s ▁The od ore ▁B ix man .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PROPN VERB PRON VERB VERB NOUN NOUN ADP NOUN NOUN NOUN PUNCT VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN
To do the egg trick you need a pint glass, a square biscuit tin lid, a matchbox, a stout shoe, an egg, and a large Scotch.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	insertion-other	PART VERB DET NOUN VERB PRON VERB DET ADJ NOUN DET ADJ NOUN ADJ NOUN DET NOUN DET ADJ NOUN DET NOUN CCONJ DET ADJ PROPN	▁To ▁do ▁the ▁egg ▁trick ▁you ▁need ▁a ▁p int ▁glass , ▁a ▁square ▁bis c uit ▁tin ▁ lid , ▁a ▁match box , ▁a ▁st out ▁shoe , ▁an ▁egg , ▁and ▁a ▁large ▁S co tch .	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PART VERB DET NOUN VERB PRON VERB DET ADJ ADJ NOUN NOUN DET ADJ NOUN NOUN NOUN ADJ NOUN NOUN NOUN DET NOUN NOUN NOUN DET ADJ ADJ NOUN NOUN DET NOUN NOUN CCONJ DET ADJ PROPN PROPN PROPN PROPN
She didn't somehow think a stitch cutter would do the trick quite so well!	0 0 0 0 0 0 0 0 1 0 1 0 0 0	do the trick	figurative	identical	PRON VERB ADV VERB DET NOUN NOUN VERB VERB DET NOUN ADV ADV ADV	▁She ▁did n ' t ▁somehow ▁think ▁a ▁stitch ▁cutter ▁would ▁do ▁the ▁trick ▁quite ▁so ▁well !	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PRON VERB VERB VERB VERB ADV VERB DET NOUN NOUN VERB VERB DET NOUN ADV ADV ADV ADV
Alternatively, a year's au - pairing in France, a beauty therapy course or half - a - dozen driving lessons did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV DET NOUN NOUN PUNCT NOUN ADP PROPN DET NOUN NOUN NOUN CCONJ NOUN PUNCT DET PUNCT NOUN NOUN NOUN VERB DET NOUN	▁Alternatively , ▁a ▁year ' s ▁au ▁- ▁pair ing ▁in ▁France , ▁a ▁beauty ▁therapy ▁course ▁or ▁half ▁- ▁a ▁- ▁dozen ▁driving ▁lessons ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADV DET NOUN NOUN NOUN NOUN PUNCT NOUN NOUN ADP PROPN PROPN DET NOUN NOUN NOUN CCONJ NOUN PUNCT DET PUNCT NOUN NOUN NOUN VERB DET NOUN NOUN
But actually any three anchor points on the plane would have done the trick just as well, and would have given identical results.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	CCONJ ADV DET NUM NOUN NOUN ADP DET NOUN VERB VERB VERB DET NOUN ADV ADV ADV CCONJ VERB VERB VERB ADJ NOUN	▁But ▁actually ▁any ▁three ▁anchor ▁points ▁on ▁the ▁plane ▁would ▁have ▁done ▁the ▁trick ▁just ▁as ▁well , ▁and ▁would ▁have ▁given ▁identical ▁results .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV DET NUM NOUN NOUN ADP DET NOUN VERB VERB VERB DET NOUN ADV ADV ADV ADV CCONJ VERB VERB VERB ADJ NOUN NOUN
This classy poetry appeared to do the trick.	0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET ADJ NOUN VERB PART VERB DET NOUN	▁This ▁class y ▁poet ry ▁appeared ▁to ▁do ▁the ▁trick .	0 0 0 0 0 0 0 1 0 1 1	DET ADJ ADJ NOUN NOUN VERB PART VERB DET NOUN NOUN
Can a younger lover beat the ageing blues — or would a change of style do the trick for you?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	identical	VERB DET ADJ NOUN VERB DET VERB NOUN PUNCT CCONJ VERB DET NOUN ADP NOUN VERB DET NOUN ADP PRON	▁Can ▁a ▁younger ▁l over ▁beat ▁the ▁ageing ▁blue s ▁ — ▁or ▁would ▁a ▁change ▁of ▁style ▁do ▁the ▁trick ▁for ▁you ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	VERB DET ADJ NOUN NOUN VERB DET VERB NOUN NOUN PUNCT PUNCT CCONJ VERB DET NOUN ADP NOUN VERB DET NOUN ADP PRON PRON
What did do the trick was getting its staff to ring the creditor every 30 seconds for an entire day, then beginning again at eight the following morning.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	NOUN VERB VERB DET NOUN VERB VERB ADJ NOUN PART VERB DET NOUN DET NUM NOUN ADP DET ADJ NOUN ADV VERB ADV ADP NUM DET ADJ NOUN	▁What ▁did ▁do ▁the ▁trick ▁was ▁gett ing ▁its ▁staff ▁to ▁ring ▁the ▁creditor ▁every ▁30 ▁seconds ▁for ▁an ▁entire ▁day , ▁then ▁beginning ▁again ▁at ▁eight ▁the ▁following ▁morning .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB DET NOUN VERB VERB VERB ADJ NOUN PART VERB DET NOUN DET NUM NOUN ADP DET ADJ NOUN NOUN ADV VERB ADV ADP NUM DET ADJ NOUN NOUN
He tied his son's shoe with a double knot and said, " There, that should do the trick. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	do the trick	figurative	identical	PRON VERB ADJ NOUN NOUN ADP DET ADJ NOUN CCONJ VERB PUNCT ADV DET VERB VERB DET NOUN PUNCT	▁He ▁tied ▁his ▁son ' s ▁shoe ▁with ▁a ▁double ▁k not ▁and ▁said , ▁" ▁There , ▁that ▁should ▁do ▁the ▁trick . ▁"	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	PRON VERB ADJ NOUN NOUN NOUN NOUN ADP DET ADJ NOUN NOUN CCONJ VERB VERB PUNCT ADV ADV DET VERB VERB DET NOUN NOUN PUNCT
That did the trick, and in January Susan was offered a four figure sum which she accepted.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET VERB DET NOUN CCONJ ADP PROPN PROPN VERB VERB DET NUM NOUN NOUN ADJ PRON VERB	▁That ▁did ▁the ▁trick , ▁and ▁in ▁January ▁Su s an ▁was ▁offered ▁a ▁four ▁figure ▁sum ▁which ▁she ▁accepted .	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB DET NOUN NOUN CCONJ ADP PROPN PROPN PROPN PROPN VERB VERB DET NUM NOUN NOUN ADJ PRON VERB VERB
A simple DIR command, applied three or four times, will normally do the trick.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET ADJ PROPN NOUN VERB NUM CCONJ NUM NOUN VERB ADV VERB DET NOUN	▁A ▁simple ▁D IR ▁command , ▁applied ▁three ▁or ▁four ▁times , ▁will ▁normally ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET ADJ PROPN PROPN NOUN NOUN VERB NUM CCONJ NUM NOUN NOUN VERB ADV VERB DET NOUN NOUN
