grind to a halt!	1 1 0 1	grind to a halt	figurative	identical	VERB ADP DET NOUN	▁grind ▁to ▁a ▁halt !	1 1 0 1 1	VERB ADP DET NOUN NOUN
The process had ground to a halt by early 1990 [ see p. 37199 ], largely as a result of Likud's hesitancy to proceed with a first - stage meeting of Egyptian, Israeli and United States officials without first receiving certain US " guarantees " ( the first - stage meeting was supposed to discuss a second - stage Israeli - Palestinian meeting in Cairo on the proposed elections ).	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET NOUN VERB VERB ADP DET NOUN ADP ADJ NUM PUNCT VERB NOUN NUM PUNCT ADV ADP DET NOUN ADP PROPN NOUN PART VERB ADP DET ADJ PUNCT NOUN NOUN ADP ADJ ADJ CCONJ PROPN PROPN NOUN ADP ADV VERB ADJ PROPN PUNCT NOUN PUNCT PUNCT DET ADJ PUNCT NOUN NOUN VERB VERB PART VERB DET ADJ PUNCT NOUN ADJ PUNCT ADJ NOUN ADP PROPN ADP DET VERB NOUN PUNCT	▁The ▁process ▁had ▁ground ▁to ▁a ▁halt ▁by ▁early ▁1990 ▁[ ▁see ▁p . ▁371 99 ▁] , ▁largely ▁as ▁a ▁result ▁of ▁L ik ud ' s ▁hesita ncy ▁to ▁proceed ▁with ▁a ▁first ▁- ▁stage ▁meeting ▁of ▁Egyptian , ▁Israeli ▁and ▁United ▁States ▁officials ▁without ▁first ▁receiving ▁certain ▁US ▁" ▁guarantees ▁" ▁( ▁the ▁first ▁- ▁stage ▁meeting ▁was ▁supposed ▁to ▁discuss ▁a ▁second ▁- ▁stage ▁Israeli ▁- ▁Palestinian ▁meeting ▁in ▁Cairo ▁on ▁the ▁proposed ▁elections ▁ ).	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB ADP DET NOUN ADP ADJ NUM PUNCT VERB NOUN NOUN NUM NUM PUNCT PUNCT ADV ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN PART VERB ADP DET ADJ PUNCT NOUN NOUN ADP ADJ ADJ ADJ CCONJ PROPN PROPN NOUN ADP ADV VERB ADJ PROPN PUNCT NOUN PUNCT PUNCT DET ADJ PUNCT NOUN NOUN VERB VERB PART VERB DET ADJ PUNCT NOUN ADJ PUNCT ADJ NOUN ADP PROPN ADP DET VERB NOUN PUNCT PUNCT
The first meeting of the SNC opened in the disused Cambodian embassy in Bangkok on Sept. 17, but after two days the talks had ground to a halt, the main stumbling block being the appointment of a SNC chair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET ADJ NOUN ADP DET PROPN VERB ADP DET ADJ ADJ NOUN ADP PROPN ADP PROPN NUM CCONJ ADP NUM NOUN DET NOUN VERB VERB ADP DET NOUN DET ADJ ADJ NOUN VERB DET NOUN ADP DET PROPN NOUN	▁The ▁first ▁meeting ▁of ▁the ▁SNC ▁opened ▁in ▁the ▁dis used ▁Cambodia n ▁em bas sy ▁in ▁Bangkok ▁on ▁Sep t . ▁17 , ▁but ▁after ▁two ▁days ▁the ▁talks ▁had ▁ground ▁to ▁a ▁halt , ▁the ▁main ▁stumbling ▁block ▁being ▁the ▁appointment ▁of ▁a ▁SNC ▁chair .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP DET PROPN VERB ADP DET ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADP PROPN ADP PROPN PROPN PROPN NUM NUM CCONJ ADP NUM NOUN DET NOUN VERB VERB ADP DET NOUN NOUN DET ADJ ADJ NOUN VERB DET NOUN ADP DET PROPN NOUN NOUN
' Though you might also think about saying sorry to Hamish and Antonia, too, as you were their guest and it was their party you brought grinding to an embarrassing halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	grind to a halt	figurative	combined-inflection	PUNCT ADP PRON VERB ADV VERB ADP VERB ADJ ADP PROPN CCONJ PROPN ADV ADP PRON VERB ADJ NOUN CCONJ PRON VERB ADJ NOUN PRON VERB VERB ADP DET ADJ NOUN	▁' ▁Though ▁you ▁might ▁also ▁think ▁about ▁saying ▁sorry ▁to ▁Ham ish ▁and ▁An tonia , ▁too , ▁as ▁you ▁were ▁their ▁guest ▁and ▁it ▁was ▁their ▁party ▁you ▁brought ▁grinding ▁to ▁an ▁embarrass ing ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1	PUNCT ADP PRON VERB ADV VERB ADP VERB ADJ ADP PROPN PROPN CCONJ PROPN PROPN PROPN ADV ADV ADP PRON VERB ADJ NOUN CCONJ PRON VERB ADJ NOUN PRON VERB VERB ADP DET ADJ ADJ NOUN NOUN
However, he would be a perfect recruit for Arsenal, whose season has ground to a halt since they led the Premier League in early November.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADV PRON VERB VERB DET ADJ NOUN ADP PROPN ADJ NOUN VERB VERB ADP DET NOUN ADP PRON VERB DET PROPN PROPN ADP ADJ PROPN	▁However , ▁he ▁would ▁be ▁a ▁perfect ▁recruit ▁for ▁Ar sen al , ▁whose ▁season ▁has ▁ground ▁to ▁a ▁halt ▁since ▁they ▁led ▁the ▁Pre m ier ▁League ▁in ▁early ▁November .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB VERB DET ADJ NOUN ADP PROPN PROPN PROPN PROPN ADJ NOUN VERB VERB ADP DET NOUN ADP PRON VERB DET PROPN PROPN PROPN PROPN ADP ADJ PROPN PROPN
Eventually the little bus was summoned again, and we jumped in thankfully and set off towards the plane, only to grind to a halt at Operations again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	grind to a halt	figurative	identical	ADV DET ADJ NOUN VERB VERB ADV CCONJ PRON VERB PART ADV CCONJ VERB PART ADP DET NOUN ADV PART VERB ADP DET NOUN ADP PROPN ADV	▁Even tual ly ▁the ▁little ▁bus ▁was ▁summon ed ▁again , ▁and ▁we ▁jump ed ▁in ▁thank fully ▁and ▁set ▁off ▁towards ▁the ▁plane , ▁only ▁to ▁grind ▁to ▁a ▁halt ▁at ▁Operations ▁again .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	ADV ADV ADV DET ADJ NOUN VERB VERB VERB ADV ADV CCONJ PRON VERB VERB PART ADV ADV CCONJ VERB PART ADP DET NOUN NOUN ADV PART VERB ADP DET NOUN ADP PROPN ADV ADV
The incident occurred on lap 50, by which time Mansell had already ground to a halt with no gears.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	grind to a halt	figurative	inflection	DET NOUN VERB ADP NOUN NUM ADP ADJ NOUN PROPN VERB ADV VERB ADP DET NOUN ADP DET NOUN	▁The ▁incident ▁occurred ▁on ▁lap ▁50 , ▁by ▁which ▁time ▁Man s ell ▁had ▁already ▁ground ▁to ▁a ▁halt ▁with ▁no ▁gears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	DET NOUN VERB ADP NOUN NUM NUM ADP ADJ NOUN PROPN PROPN PROPN VERB ADV VERB ADP DET NOUN ADP DET NOUN NOUN
Finally he ground to a halt and stood up.	0 0 1 1 0 1 0 0 0	grind to a halt	literal	inflection	ADV PRON VERB ADP DET NOUN CCONJ VERB PART	▁Finally ▁he ▁ground ▁to ▁a ▁halt ▁and ▁stood ▁up .	0 0 1 1 0 1 0 0 0 0	ADV PRON VERB ADP DET NOUN CCONJ VERB PART PART
Motorways and high streets around the country ground to a halt as shoppers headed for the stores.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	grind to a halt	figurative	inflection	NOUN CCONJ ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN ADP NOUN VERB ADP DET NOUN	▁Motor ways ▁and ▁high ▁streets ▁around ▁the ▁country ▁ground ▁to ▁a ▁halt ▁as ▁shop pers ▁headed ▁for ▁the ▁stores .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	NOUN NOUN CCONJ ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN ADP NOUN NOUN VERB ADP DET NOUN NOUN
But in April 1980 the lengthy trial proceedings ground to a halt because of allegations that attempts had been made to bribe the jury.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	CCONJ ADP PROPN NUM DET ADJ NOUN NOUN VERB ADP DET NOUN ADP ADP NOUN ADJ NOUN VERB VERB VERB PART VERB DET NOUN	▁But ▁in ▁April ▁1980 ▁the ▁lengthy ▁trial ▁proceedings ▁ground ▁to ▁a ▁halt ▁because ▁of ▁allegations ▁that ▁attempts ▁had ▁been ▁made ▁to ▁br i be ▁the ▁jury .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP PROPN NUM DET ADJ NOUN NOUN VERB ADP DET NOUN ADP ADP NOUN ADJ NOUN VERB VERB VERB PART VERB VERB VERB DET NOUN NOUN
All other production would grind to a halt tomorrow if women weren't producing these workers.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	grind to a halt	figurative	identical	DET ADJ NOUN VERB VERB ADP DET NOUN NOUN ADP NOUN VERB VERB DET NOUN	▁All ▁other ▁production ▁would ▁grind ▁to ▁a ▁halt ▁tomorrow ▁if ▁women ▁were n ' t ▁producing ▁these ▁workers .	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB VERB ADP DET NOUN NOUN ADP NOUN VERB VERB VERB VERB VERB DET NOUN NOUN
Homes were flooded and blacked out, rivers burst their banks, villages got cut off and rail services ground to a halt as fierce storms lashed the country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	grind to a halt	figurative	inflection	NOUN VERB VERB CCONJ VERB PART NOUN VERB ADJ NOUN NOUN VERB VERB PART CCONJ NOUN NOUN NOUN ADP DET NOUN ADP ADJ NOUN VERB DET NOUN	▁Home s ▁were ▁flood ed ▁and ▁black ed ▁out , ▁rivers ▁burst ▁their ▁banks , ▁villages ▁got ▁cut ▁off ▁and ▁rail ▁services ▁ground ▁to ▁a ▁halt ▁as ▁fierce ▁storm s ▁la shed ▁the ▁country .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB VERB VERB CCONJ VERB VERB PART PART NOUN VERB ADJ NOUN NOUN NOUN VERB VERB PART CCONJ NOUN NOUN NOUN ADP DET NOUN ADP ADJ NOUN NOUN VERB VERB DET NOUN NOUN
The then Lord Chief Justice in 1980 commented that, If it were not that a high proportion of cases are compromised long before they reach court the administration of justice would soon grind to a halt ; the courts would be overwhelmed by the volume of work.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	DET ADV PROPN PROPN PROPN ADP NUM VERB ADP ADP PRON VERB ADV ADP DET ADJ NOUN ADP NOUN VERB VERB ADV ADP PRON VERB NOUN DET NOUN ADP NOUN VERB ADV VERB ADP DET NOUN PUNCT DET NOUN VERB VERB VERB ADP DET NOUN ADP PROPN	▁The ▁then ▁Lord ▁Chief ▁Justice ▁in ▁1980 ▁commented ▁that , ▁If ▁it ▁were ▁not ▁that ▁a ▁high ▁proportion ▁of ▁cases ▁are ▁compromised ▁long ▁before ▁they ▁reach ▁court ▁the ▁administration ▁of ▁justice ▁would ▁soon ▁grind ▁to ▁a ▁halt ▁ ; ▁the ▁courts ▁would ▁be ▁over wh el med ▁by ▁the ▁volume ▁of ▁work . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADV PROPN PROPN PROPN ADP NUM VERB ADP ADP ADP PRON VERB ADV ADP DET ADJ NOUN ADP NOUN VERB VERB ADV ADP PRON VERB NOUN DET NOUN ADP NOUN VERB ADV VERB ADP DET NOUN PUNCT PUNCT DET NOUN VERB VERB VERB VERB VERB VERB ADP DET NOUN ADP PROPN PROPN PROPN
Abruptly, the all - pervading background noise in the TARDIS altered, and when Ace and Petion dashed back to the console room, they found the time rotor grinding to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADV DET ADV PUNCT VERB NOUN NOUN ADP DET PROPN VERB CCONJ ADV PROPN CCONJ PROPN VERB ADV ADP DET NOUN NOUN PRON VERB DET NOUN NOUN VERB ADP DET NOUN	▁Ab rup t ly , ▁the ▁all ▁- ▁per v ading ▁background ▁noise ▁in ▁the ▁T ARDI S ▁altered , ▁and ▁when ▁Ace ▁and ▁Pe tion ▁dash ed ▁back ▁to ▁the ▁con sole ▁room , ▁they ▁found ▁the ▁time ▁rotor ▁grinding ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADV ADV ADV ADV ADV DET ADV PUNCT VERB VERB VERB NOUN NOUN ADP DET PROPN PROPN PROPN VERB VERB CCONJ ADV PROPN CCONJ PROPN PROPN VERB VERB ADV ADP DET NOUN NOUN NOUN NOUN PRON VERB DET NOUN NOUN VERB ADP DET NOUN NOUN
One quarter of the chamber is under suspicion of involvement, local government has ground to a halt in many parts of the country and public works contracts have all but dried up.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	NUM NOUN ADP DET NOUN VERB ADP NOUN ADP NOUN ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ ADJ VERB NOUN VERB DET CCONJ VERB PART	▁One ▁quarter ▁of ▁the ▁chamber ▁is ▁under ▁suspicion ▁of ▁involvement , ▁local ▁government ▁has ▁ground ▁to ▁a ▁halt ▁in ▁many ▁parts ▁of ▁the ▁country ▁and ▁public ▁works ▁contracts ▁have ▁all ▁but ▁dried ▁up .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN ADP DET NOUN VERB ADP NOUN ADP NOUN NOUN ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ ADJ VERB NOUN VERB DET CCONJ VERB PART PART
There is a story about an old man who was called in by a factory to fix their ancient boiler, which had ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADV VERB DET NOUN ADP DET ADJ NOUN NOUN VERB VERB PART ADP DET NOUN PART VERB ADJ ADJ NOUN ADJ VERB VERB ADP DET NOUN	▁There ▁is ▁a ▁story ▁about ▁an ▁old ▁man ▁who ▁was ▁called ▁in ▁by ▁a ▁factory ▁to ▁fix ▁their ▁ancient ▁boiler , ▁which ▁had ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADV VERB DET NOUN ADP DET ADJ NOUN NOUN VERB VERB PART ADP DET NOUN PART VERB ADJ ADJ NOUN NOUN ADJ VERB VERB ADP DET NOUN NOUN
Taking into account the length for the length of the features and the cons the consultation that take place and the length of time they take, I do not expect to see er Bungay bypass construction for some time yet, but I do expect the County Council to progress on that in such a manner that Bungay will not grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	VERB ADP NOUN DET NOUN ADP DET NOUN ADP DET NOUN CCONJ DET NOUN DET NOUN ADJ VERB NOUN CCONJ DET NOUN ADP NOUN PRON VERB PRON VERB ADV VERB PART VERB INTJ PROPN NOUN NOUN ADP DET NOUN ADV CCONJ PRON VERB VERB DET PROPN PROPN PART VERB ADP DET ADP ADJ DET NOUN ADP PROPN VERB ADV VERB ADP DET NOUN	▁Taking ▁into ▁account ▁the ▁length ▁for ▁the ▁length ▁of ▁the ▁features ▁and ▁the ▁con s ▁the ▁consultation ▁that ▁take ▁place ▁and ▁the ▁length ▁of ▁time ▁they ▁take , ▁I ▁do ▁not ▁expect ▁to ▁see ▁er ▁B ung ay ▁bypass ▁construction ▁for ▁some ▁time ▁yet , ▁but ▁I ▁do ▁expect ▁the ▁County ▁Council ▁to ▁progress ▁on ▁that ▁in ▁such ▁a ▁manner ▁that ▁B ung ay ▁will ▁not ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	VERB ADP NOUN DET NOUN ADP DET NOUN ADP DET NOUN CCONJ DET NOUN NOUN DET NOUN ADJ VERB NOUN CCONJ DET NOUN ADP NOUN PRON VERB VERB PRON VERB ADV VERB PART VERB INTJ PROPN PROPN PROPN NOUN NOUN ADP DET NOUN ADV ADV CCONJ PRON VERB VERB DET PROPN PROPN PART VERB ADP DET ADP ADJ DET NOUN ADP PROPN PROPN PROPN VERB ADV VERB ADP DET NOUN NOUN
If a project grinds to a premature halt, the tutor must first evaluate if sufficient evidence has or can be generated for assessment purposes.	0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	combined-inflection	ADP DET NOUN VERB ADP DET ADJ NOUN DET NOUN VERB ADV VERB ADP ADJ NOUN VERB CCONJ VERB VERB VERB ADP NOUN NOUN	▁If ▁a ▁project ▁grind s ▁to ▁a ▁premature ▁halt , ▁the ▁tu tor ▁must ▁first ▁evaluate ▁if ▁sufficient ▁evidence ▁has ▁or ▁can ▁be ▁generated ▁for ▁assessment ▁purposes .	0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN VERB VERB ADP DET ADJ NOUN NOUN DET NOUN NOUN VERB ADV VERB ADP ADJ NOUN VERB CCONJ VERB VERB VERB ADP NOUN NOUN NOUN
With a roar it emerged from the tunnel and ground to a halt along the platform.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	grind to a halt	figurative	inflection	ADP DET NOUN PRON VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP DET NOUN	▁With ▁a ▁ro ar ▁it ▁emerged ▁from ▁the ▁tunnel ▁and ▁ground ▁to ▁a ▁halt ▁along ▁the ▁platform .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	ADP DET NOUN NOUN PRON VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP DET NOUN NOUN
The law - makers, roundly condemned by Brian Moore, England's hooker, on the nonsensical grounds that they have not played for 40 years, have decided that when a maul — ball in hand — grinds to a halt, or the ball becomes unplayable, the team not in possession at the start of the maul should put the ball into an ensuing scrum.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET NOUN PUNCT NOUN ADV VERB ADP PROPN PROPN PROPN NOUN ADP DET ADJ NOUN ADP PRON VERB ADV VERB ADP NUM NOUN VERB VERB ADP ADV DET NOUN PUNCT NOUN ADP NOUN PUNCT VERB ADP DET NOUN CCONJ DET NOUN VERB ADJ DET NOUN ADV ADP NOUN ADP DET NOUN ADP DET NOUN VERB VERB DET NOUN ADP DET VERB NOUN	▁The ▁law ▁- ▁makers , ▁round ly ▁condemned ▁by ▁Brian ▁Moor e , ▁England ' s ▁hook er , ▁on ▁the ▁non sen s ical ▁grounds ▁that ▁they ▁have ▁not ▁played ▁for ▁40 ▁years , ▁have ▁decided ▁that ▁when ▁a ▁ma ul ▁ — ▁ball ▁in ▁hand ▁ — ▁grind s ▁to ▁a ▁halt , ▁or ▁the ▁ball ▁becomes ▁un play able , ▁the ▁team ▁not ▁in ▁possession ▁at ▁the ▁start ▁of ▁the ▁ma ul ▁should ▁put ▁the ▁ball ▁into ▁an ▁ensu ing ▁scr um .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PUNCT NOUN NOUN ADV ADV VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN ADP DET ADJ ADJ ADJ ADJ NOUN ADP PRON VERB ADV VERB ADP NUM NOUN NOUN VERB VERB ADP ADV DET NOUN NOUN PUNCT PUNCT NOUN ADP NOUN PUNCT PUNCT VERB VERB ADP DET NOUN NOUN CCONJ DET NOUN VERB ADJ ADJ ADJ ADJ DET NOUN ADV ADP NOUN ADP DET NOUN ADP DET NOUN NOUN VERB VERB DET NOUN ADP DET VERB VERB NOUN NOUN NOUN
Julius growled under his breath as the traffic almost ground to a halt.	0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PROPN VERB ADP ADJ NOUN ADP DET NOUN ADV VERB ADP DET NOUN	▁Jul ius ▁grow led ▁under ▁his ▁breath ▁as ▁the ▁traffic ▁almost ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PROPN PROPN VERB VERB ADP ADJ NOUN ADP DET NOUN ADV VERB ADP DET NOUN NOUN
Halfway between Victoria and Gatwick there was a power failure, the lights went out and the train ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PROPN ADP PROPN CCONJ PROPN ADV VERB DET NOUN NOUN DET NOUN VERB PART CCONJ DET NOUN NOUN ADP DET NOUN	▁Half way ▁between ▁Victor ia ▁and ▁G at wick ▁there ▁was ▁a ▁power ▁failure , ▁the ▁lights ▁went ▁out ▁and ▁the ▁train ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PROPN PROPN ADP PROPN PROPN CCONJ PROPN PROPN PROPN ADV VERB DET NOUN NOUN NOUN DET NOUN VERB PART CCONJ DET NOUN NOUN ADP DET NOUN NOUN
The command vehicle ground to a halt.	0 0 0 1 1 0 1	grind to a halt	figurative	inflection	DET NOUN NOUN NOUN ADP DET NOUN	▁The ▁command ▁vehicle ▁ground ▁to ▁a ▁halt .	0 0 0 1 1 0 1 1	DET NOUN NOUN NOUN ADP DET NOUN NOUN
THE LONDON Film Festival — the largest ever mounted — grinds to a halt on Sunday with a performance of Ettore Scola's What Time Is It?	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET PROPN PROPN PROPN PUNCT DET ADJ ADV VERB PUNCT VERB ADP DET NOUN ADP PROPN ADP DET NOUN ADP PROPN PROPN NOUN NOUN VERB PRON	▁THE ▁LO ND ON ▁Film ▁F est ival ▁ — ▁the ▁largest ▁ever ▁mounted ▁ — ▁grind s ▁to ▁a ▁halt ▁on ▁Sunday ▁with ▁a ▁performance ▁of ▁E tt ore ▁Sc ola ' s ▁What ▁Time ▁Is ▁It ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT DET ADJ ADV VERB PUNCT PUNCT VERB VERB ADP DET NOUN ADP PROPN ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB PRON PRON
It is fair to say that by the time of the establishment of OEEC progress in Benelux had more or less ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PRON VERB ADJ PART VERB ADP ADP DET NOUN ADP DET NOUN ADP ADJ NOUN ADP PROPN VERB ADJ CCONJ ADJ NOUN ADP DET NOUN	▁It ▁is ▁fair ▁to ▁say ▁that ▁by ▁the ▁time ▁of ▁the ▁establishment ▁of ▁O EEC ▁progress ▁in ▁Benelux ▁had ▁more ▁or ▁less ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB ADJ PART VERB ADP ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN ADP PROPN VERB ADJ CCONJ ADJ NOUN ADP DET NOUN NOUN
