My neighbours were anxious to have some work done on their house.	0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN	▁My ▁neighbours ▁were ▁anxious ▁to ▁have ▁some ▁work ▁done ▁on ▁their ▁house .	0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN NOUN
One correspondent, seeking to explain the motives behind the attack on the meeting - houses in the west midlands in the summer of 1715, informed Staffordshire MP, William Ward, that the rioters have got a Notion, that the Ministry and Dissenters have ruined Trade, on Purpose to make the Nation out of Love with the late Peace, and Peace - makers ; and because the Ministry, and secret Committee, and their Friends, will not let the Country have Peace and Trade, they resolve ( if they can hinder it ) the Dissenters shall not have a quiet Toleration.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-inflection	NUM NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NUM VERB PROPN PROPN PROPN PROPN ADP DET NOUN VERB VERB DET PROPN ADP DET PROPN CCONJ PROPN VERB VERB PROPN ADP PROPN PART VERB DET NOUN ADP ADP PROPN ADP DET ADJ NOUN CCONJ NOUN PUNCT NOUN PUNCT CCONJ ADP DET PROPN CCONJ ADJ PROPN CCONJ ADJ PROPN VERB ADV VERB DET PROPN VERB PROPN CCONJ PROPN PRON VERB PUNCT ADP PRON VERB VERB PRON PUNCT DET PROPN VERB ADV VERB DET ADJ NOUN	▁One ▁correspondent , ▁seeking ▁to ▁explain ▁the ▁motives ▁behind ▁the ▁attack ▁on ▁the ▁meeting ▁- ▁houses ▁in ▁the ▁west ▁mid lands ▁in ▁the ▁summer ▁of ▁171 5, ▁informed ▁Sta f fordshire ▁MP , ▁William ▁War d , ▁that ▁the ▁riot ers ▁have ▁got ▁a ▁No tion , ▁that ▁the ▁Ministry ▁and ▁Dis sen ters ▁have ▁ruin ed ▁Trade , ▁on ▁Purpose ▁to ▁make ▁the ▁N ation ▁out ▁of ▁Lo ve ▁with ▁the ▁late ▁Peace , ▁and ▁Peace ▁- ▁makers ▁ ; ▁and ▁because ▁the ▁Ministry , ▁and ▁secret ▁Committee , ▁and ▁their ▁Friend s , ▁will ▁not ▁let ▁the ▁Country ▁have ▁Peace ▁and ▁Trade , ▁they ▁resolve ▁( ▁if ▁they ▁can ▁hinder ▁it ▁ ) ▁the ▁Dis sen ters ▁shall ▁not ▁have ▁a ▁quiet ▁To ler ation .	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT NOUN ADP DET ADJ NOUN NOUN ADP DET NOUN ADP NUM NUM VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP DET NOUN NOUN VERB VERB DET PROPN PROPN PROPN ADP DET PROPN CCONJ PROPN PROPN PROPN VERB VERB VERB PROPN PROPN ADP PROPN PART VERB DET NOUN NOUN ADP ADP PROPN PROPN ADP DET ADJ NOUN NOUN CCONJ NOUN PUNCT NOUN PUNCT PUNCT CCONJ ADP DET PROPN PROPN CCONJ ADJ PROPN PROPN CCONJ ADJ PROPN PROPN PROPN VERB ADV VERB DET PROPN VERB PROPN CCONJ PROPN PROPN PRON VERB PUNCT ADP PRON VERB VERB PRON PUNCT PUNCT DET PROPN PROPN PROPN VERB ADV VERB DET ADJ NOUN NOUN NOUN NOUN
There was none of the constant supervision that you got in Holloway, just one officer on the house for twenty - two women, and no screw on at night, which absolutely amazed me.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	identical	ADV VERB NOUN ADP DET ADJ NOUN ADJ PRON VERB ADP PROPN ADV NUM NOUN ADP DET NOUN ADP NUM PUNCT NUM NOUN CCONJ DET NOUN PART ADP NOUN ADJ ADV VERB PRON	▁There ▁was ▁none ▁of ▁the ▁constant ▁supervision ▁that ▁you ▁got ▁in ▁Hol lo way , ▁just ▁one ▁officer ▁on ▁the ▁house ▁for ▁twenty ▁- ▁two ▁women , ▁and ▁no ▁screw ▁on ▁at ▁night , ▁which ▁absolutely ▁amazed ▁me .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB NOUN ADP DET ADJ NOUN ADJ PRON VERB ADP PROPN PROPN PROPN PROPN ADV NUM NOUN ADP DET NOUN ADP NUM PUNCT NUM NOUN NOUN CCONJ DET NOUN PART ADP NOUN NOUN ADJ ADV VERB PRON PRON
They 'd hear it th th they wouldn't erm they 'd know through the agent, when the ships were coming they used to make it their business to go and find out you see but today th they even got telephones on the houses now so they can call 'em out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	inflection	PRON VERB VERB PRON X X PRON VERB VERB PRON VERB VERB ADP DET NOUN ADV DET NOUN VERB VERB PRON VERB PART VERB PRON ADJ NOUN PART VERB CCONJ VERB PART PRON VERB CCONJ NOUN X PRON ADV VERB NOUN ADP DET NOUN ADV ADP PRON VERB VERB PRON PART	▁They ▁' d ▁hear ▁it ▁th ▁th ▁they ▁would n ' t ▁er m ▁they ▁' d ▁know ▁through ▁the ▁agent , ▁when ▁the ▁ships ▁were ▁coming ▁they ▁used ▁to ▁make ▁it ▁their ▁business ▁to ▁go ▁and ▁find ▁out ▁you ▁see ▁but ▁today ▁th ▁they ▁even ▁got ▁telephone s ▁on ▁the ▁houses ▁now ▁so ▁they ▁can ▁call ▁' em ▁out .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PRON X X PRON VERB VERB VERB VERB VERB VERB PRON VERB VERB VERB ADP DET NOUN NOUN ADV DET NOUN VERB VERB PRON VERB PART VERB PRON ADJ NOUN PART VERB CCONJ VERB PART PRON VERB CCONJ NOUN X PRON ADV VERB NOUN NOUN ADP DET NOUN ADV ADP PRON VERB VERB PRON PRON PART PART
Pater's as busy as ever, of course, but the mater has kept on the house in London since Madeleine's season, so I spend quite a lot of time in the Great Big City seeing shows, etc. etc.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	identical	PROPN ADV ADJ ADP ADV ADP NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN ADP PROPN ADP PROPN NOUN CCONJ PRON VERB ADJ DET NOUN ADP NOUN ADP DET PROPN PROPN PROPN NOUN NOUN X X	▁Pat er ' s ▁as ▁busy ▁as ▁ever , ▁of ▁course , ▁but ▁the ▁mat er ▁has ▁kept ▁on ▁the ▁house ▁in ▁London ▁since ▁Made le ine ' s ▁season , ▁so ▁I ▁spend ▁quite ▁a ▁lot ▁of ▁time ▁in ▁the ▁Great ▁Big ▁City ▁seeing ▁shows , ▁etc . ▁etc .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN ADV ADJ ADP ADV ADV ADP NOUN NOUN CCONJ DET NOUN NOUN VERB VERB ADP DET NOUN ADP PROPN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN CCONJ PRON VERB ADJ DET NOUN ADP NOUN ADP DET PROPN PROPN PROPN NOUN NOUN NOUN X X X X
923 the court was concerned with three guarantees entered into by a husband and wife to cover the indebtedness of a family company of which both were shareholders and directors and with three charges on the wife's house executed by her in favour of the bank securing the same indebtedness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	NUM DET NOUN VERB VERB ADP NUM NOUN VERB ADP ADP DET NOUN CCONJ NOUN PART VERB DET NOUN ADP DET NOUN NOUN ADP ADJ DET VERB NOUN CCONJ NOUN CCONJ ADP NUM NOUN ADP DET NOUN NOUN VERB ADP PRON ADP NOUN ADP DET NOUN VERB DET ADJ NOUN	▁92 3 ▁the ▁court ▁was ▁concerned ▁with ▁three ▁guarantees ▁entered ▁into ▁by ▁a ▁husband ▁and ▁wife ▁to ▁cover ▁the ▁indebtedness ▁of ▁a ▁family ▁company ▁of ▁which ▁both ▁were ▁shareholders ▁and ▁directors ▁and ▁with ▁three ▁charges ▁on ▁the ▁wife ' s ▁house ▁executed ▁by ▁her ▁in ▁favour ▁of ▁the ▁bank ▁securing ▁the ▁same ▁indebtedness .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NUM DET NOUN VERB VERB ADP NUM NOUN VERB ADP ADP DET NOUN CCONJ NOUN PART VERB DET NOUN ADP DET NOUN NOUN ADP ADJ DET VERB NOUN CCONJ NOUN CCONJ ADP NUM NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADP PRON ADP NOUN ADP DET NOUN VERB DET ADJ NOUN NOUN
They picked the lock on the house, the front fucking door.	0 0 0 0 1 0 1 0 0 0 0	on the house	literal	identical	PRON VERB DET NOUN ADP DET NOUN DET ADJ ADJ NOUN	▁They ▁picked ▁the ▁lock ▁on ▁the ▁house , ▁the ▁front ▁f uck ing ▁door .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP DET NOUN NOUN DET ADJ ADJ ADJ ADJ NOUN NOUN
This can be anything from a loan of £ 10 to tide your sister over to her next pay cheque, to substantial gifts like giving your grandson the money for the deposit on his first house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the house	literal	combined-other	DET VERB VERB NOUN ADP DET NOUN ADP SYM NUM PART VERB ADJ NOUN PART ADP ADJ ADJ NOUN NOUN ADP ADJ NOUN ADP VERB ADJ NOUN DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN	▁This ▁can ▁be ▁anything ▁from ▁a ▁loan ▁of ▁£ ▁10 ▁to ▁tide ▁your ▁sister ▁over ▁to ▁her ▁next ▁pay ▁cheque , ▁to ▁substantial ▁gifts ▁like ▁giving ▁your ▁grand son ▁the ▁money ▁for ▁the ▁deposit ▁on ▁his ▁first ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	DET VERB VERB NOUN ADP DET NOUN ADP SYM NUM PART VERB ADJ NOUN PART ADP ADJ ADJ NOUN NOUN NOUN ADP ADJ NOUN ADP VERB ADJ NOUN NOUN DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN NOUN
I mean the Halifax charged me three hundred pounds for this and I 've already got a mortgage with them, so they don't need to do any sort of er er in depth surveys, or, or, or assessments on the house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	identical	PRON VERB DET PROPN VERB PRON NUM NUM NOUN ADP DET CCONJ PRON VERB ADV VERB DET NOUN ADP PRON ADV PRON VERB VERB PART VERB DET NOUN ADP INTJ INTJ ADP NOUN NOUN CCONJ CCONJ CCONJ NOUN ADP DET NOUN	▁I ▁mean ▁the ▁H ali fax ▁charged ▁me ▁three ▁hundred ▁pounds ▁for ▁this ▁and ▁I ▁' ve ▁already ▁got ▁a ▁mortgage ▁with ▁them , ▁so ▁they ▁don ' t ▁need ▁to ▁do ▁any ▁sort ▁of ▁er ▁er ▁in ▁depth ▁surveys , ▁or , ▁or , ▁or ▁assessments ▁on ▁the ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB DET PROPN PROPN PROPN VERB PRON NUM NUM NOUN ADP DET CCONJ PRON VERB VERB ADV VERB DET NOUN ADP PRON PRON ADV PRON VERB VERB VERB VERB PART VERB DET NOUN ADP INTJ INTJ ADP NOUN NOUN NOUN CCONJ CCONJ CCONJ CCONJ CCONJ NOUN ADP DET NOUN NOUN
Failing that he had married money ( little though one would think it, mused Viola, to look at her ) and now that much of that was gone on an over - large house, over - large cars, and over - large meals, Desmond was back in the market - place, avid for a quick kill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	VERB ADP PRON VERB VERB NOUN PUNCT ADJ ADP PRON VERB VERB PRON ADJ PROPN PART VERB ADP PRON PUNCT CCONJ ADV ADP ADJ ADP DET VERB VERB ADP DET ADP PUNCT ADJ NOUN ADP PUNCT ADJ NOUN CCONJ ADP PUNCT ADJ NOUN PROPN VERB ADV ADP DET NOUN PUNCT NOUN ADJ ADP DET ADJ NOUN	▁Fail ing ▁that ▁he ▁had ▁married ▁money ▁( ▁little ▁though ▁one ▁would ▁think ▁it , ▁mus ed ▁Viola , ▁to ▁look ▁at ▁her ▁ ) ▁and ▁now ▁that ▁much ▁of ▁that ▁was ▁gone ▁on ▁an ▁over ▁- ▁large ▁house , ▁over ▁- ▁large ▁cars , ▁and ▁over ▁- ▁large ▁meals , ▁Des mond ▁was ▁back ▁in ▁the ▁market ▁- ▁place , ▁a vid ▁for ▁a ▁quick ▁kill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP PRON VERB VERB NOUN PUNCT ADJ ADP PRON VERB VERB PRON PRON ADJ ADJ PROPN PROPN PART VERB ADP PRON PUNCT PUNCT CCONJ ADV ADP ADJ ADP DET VERB VERB ADP DET ADP PUNCT ADJ NOUN NOUN ADP PUNCT ADJ NOUN NOUN CCONJ ADP PUNCT ADJ NOUN NOUN PROPN PROPN VERB ADV ADP DET NOUN PUNCT NOUN NOUN ADJ ADJ ADP DET ADJ NOUN NOUN
Considerable damage was done both by the defenders, who had burned the suburbs before retreating within the walls, and by the Parliamentary troops who wreaked vengeance on the houses of Royalist gentry and upon the hated cathedral.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the house	literal	inflection	ADJ NOUN VERB VERB CCONJ ADP DET NOUN NOUN VERB VERB DET NOUN ADP VERB ADP DET NOUN CCONJ ADP DET ADJ NOUN NOUN VERB NOUN ADP DET NOUN ADP PROPN NOUN CCONJ ADP DET VERB NOUN	▁Consider able ▁damage ▁was ▁done ▁both ▁by ▁the ▁defend ers , ▁who ▁had ▁burned ▁the ▁suburbs ▁before ▁retreat ing ▁within ▁the ▁walls , ▁and ▁by ▁the ▁Parliament ary ▁troops ▁who ▁w rea ked ▁v enge ance ▁on ▁the ▁houses ▁of ▁Royal ist ▁g entry ▁and ▁upon ▁the ▁hat ed ▁cat hed ral .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN VERB VERB CCONJ ADP DET NOUN NOUN NOUN NOUN VERB VERB DET NOUN ADP VERB VERB ADP DET NOUN NOUN CCONJ ADP DET ADJ ADJ NOUN NOUN VERB VERB VERB NOUN NOUN NOUN ADP DET NOUN ADP PROPN PROPN NOUN NOUN CCONJ ADP DET VERB VERB NOUN NOUN NOUN NOUN
If they didn't stare at him on TV he wouldn't be in a position to spend £ 425,000 on a new house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the house	literal	combined-other	ADP PRON VERB VERB ADP PRON ADP NOUN PRON VERB VERB ADP DET NOUN PART VERB SYM NUM ADP DET ADJ NOUN	▁If ▁they ▁did n ' t ▁star e ▁at ▁him ▁on ▁TV ▁he ▁would n ' t ▁be ▁in ▁a ▁position ▁to ▁spend ▁£ ▁42 5,000 ▁on ▁a ▁new ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	ADP PRON VERB VERB VERB VERB VERB VERB ADP PRON ADP NOUN PRON VERB VERB VERB VERB VERB ADP DET NOUN PART VERB SYM NUM NUM ADP DET ADJ NOUN NOUN
The variation of style with tone ( see 8. s ) is supremely exemplified in Dickens ; and we may take, for illustration, four passages from the earlier part of Dombey and Son, in which style variation is intrinsic to the novel's satiric - epic picture of Victorian urban society, concentrating on the capitalist house of Dombey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0	on the house	literal	insertion-other	DET NOUN ADP NOUN ADP NOUN PUNCT VERB NUM PUNCT PUNCT VERB ADV VERB ADP PROPN PUNCT CCONJ PRON VERB VERB ADP NOUN NUM NOUN ADP DET ADJ NOUN ADP PROPN CCONJ PROPN ADP ADJ NOUN NOUN VERB ADJ ADP DET NOUN ADJ PUNCT NOUN NOUN ADP ADJ ADJ NOUN VERB ADP DET ADJ NOUN ADP PROPN	▁The ▁variation ▁of ▁style ▁with ▁to ne ▁( ▁see ▁8. ▁s ▁ ) ▁is ▁supreme ly ▁ex em pl ified ▁in ▁Di cken s ▁ ; ▁and ▁we ▁may ▁take , ▁for ▁illustration , ▁four ▁passage s ▁from ▁the ▁earlier ▁part ▁of ▁Do mb ey ▁and ▁Son , ▁in ▁which ▁style ▁variation ▁is ▁intrinsic ▁to ▁the ▁novel ' s ▁sat ir ic ▁- ▁epi c ▁picture ▁of ▁Victor ian ▁urban ▁society , ▁concentrating ▁on ▁the ▁capital ist ▁house ▁of ▁Do mb ey .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	DET NOUN ADP NOUN ADP NOUN NOUN PUNCT VERB NUM PUNCT PUNCT PUNCT VERB ADV ADV VERB VERB VERB VERB ADP PROPN PROPN PROPN PUNCT PUNCT CCONJ PRON VERB VERB VERB ADP NOUN NOUN NUM NOUN NOUN ADP DET ADJ NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN ADP ADJ NOUN NOUN VERB ADJ ADP DET NOUN NOUN NOUN ADJ ADJ ADJ PUNCT NOUN NOUN NOUN ADP ADJ ADJ ADJ NOUN NOUN VERB ADP DET ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN
My wife Suzie and I spent some of the cash having an extension put on our house in Willesden and it was also around that time that our children started at private school.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	ADJ NOUN PROPN CCONJ PRON VERB DET ADP DET NOUN VERB DET NOUN VERB ADP ADJ NOUN ADP PROPN CCONJ PRON VERB ADV ADV DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN	▁My ▁wife ▁Su zi e ▁and ▁I ▁spent ▁some ▁of ▁the ▁cash ▁having ▁an ▁extension ▁put ▁on ▁our ▁house ▁in ▁Will es den ▁and ▁it ▁was ▁also ▁around ▁that ▁time ▁that ▁our ▁children ▁started ▁at ▁private ▁school .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN PROPN PROPN PROPN CCONJ PRON VERB DET ADP DET NOUN VERB DET NOUN VERB ADP ADJ NOUN ADP PROPN PROPN PROPN CCONJ PRON VERB ADV ADV DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN NOUN
Helen advised the women to leave the children asleep while they checked on their houses, and Jinny Bennet offered to stay with them and bring them home when they woke.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PROPN VERB DET NOUN PART VERB DET NOUN ADJ ADP PRON VERB ADP ADJ NOUN CCONJ PROPN PROPN VERB PART VERB ADP PRON CCONJ VERB PRON ADV ADV PRON VERB	▁He len ▁advised ▁the ▁women ▁to ▁leave ▁the ▁children ▁asleep ▁while ▁they ▁checked ▁on ▁their ▁houses , ▁and ▁J in ny ▁Ben net ▁offered ▁to ▁stay ▁with ▁them ▁and ▁bring ▁them ▁home ▁when ▁they ▁ wo ke .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB DET NOUN PART VERB DET NOUN ADJ ADP PRON VERB ADP ADJ NOUN NOUN CCONJ PROPN PROPN PROPN PROPN PROPN VERB PART VERB ADP PRON CCONJ VERB PRON ADV ADV PRON VERB VERB VERB VERB
Garden criminals range from gnome - snaffling pranksters to professionals who swoop on country houses at night armed with a crane and a lorry, ready to snatch everything from £ 20,000 orchids down to the last £ 700 Koi carp in the pond.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PROPN NOUN VERB ADP ADJ PUNCT VERB NOUN ADP NOUN NOUN VERB ADP NOUN NOUN ADP NOUN VERB ADP DET NOUN CCONJ DET NOUN ADJ PART VERB NOUN ADP SYM NUM NOUN ADV ADP DET ADJ SYM NUM PROPN NOUN ADP DET NOUN	▁Garden ▁criminals ▁range ▁from ▁g nom e ▁- ▁sn aff ling ▁p rank sters ▁to ▁professionals ▁who ▁sw o op ▁on ▁country ▁houses ▁at ▁night ▁armed ▁with ▁a ▁crane ▁and ▁a ▁lorry , ▁ready ▁to ▁s na tch ▁everything ▁from ▁£ ▁2 0,000 ▁or chi ds ▁down ▁to ▁the ▁last ▁£ ▁700 ▁Ko i ▁carp ▁in ▁the ▁pond .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN NOUN VERB ADP ADJ ADJ ADJ PUNCT VERB VERB VERB NOUN NOUN NOUN ADP NOUN NOUN VERB VERB VERB ADP NOUN NOUN ADP NOUN VERB ADP DET NOUN CCONJ DET NOUN NOUN ADJ PART VERB VERB VERB NOUN ADP SYM NUM NUM NOUN NOUN NOUN ADV ADP DET ADJ SYM NUM PROPN PROPN NOUN ADP DET NOUN NOUN
Work on private houses in the city is revealing a number of elaborate structures : a sixth - century house with peristyle has been located between the theatre and the Temple of Apollo whose decorations include opus sectile paving, wall painting and a second order of Ionic columns.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	VERB ADP ADJ NOUN ADP DET NOUN VERB VERB DET NOUN ADP ADJ NOUN PUNCT DET ADJ PUNCT NOUN NOUN ADP NOUN VERB VERB VERB ADP DET NOUN CCONJ DET PROPN ADP PROPN ADJ NOUN VERB ADJ ADV VERB NOUN NOUN CCONJ DET ADJ NOUN ADP PROPN NOUN	▁Work ▁on ▁private ▁houses ▁in ▁the ▁city ▁is ▁reveal ing ▁a ▁number ▁of ▁elaborate ▁structures ▁ : ▁a ▁sixth ▁- ▁century ▁house ▁with ▁per i style ▁has ▁been ▁located ▁between ▁the ▁theatre ▁and ▁the ▁Te mple ▁of ▁A pol lo ▁whose ▁decoration s ▁include ▁op us ▁sec t ile ▁paving , ▁wall ▁painting ▁and ▁a ▁second ▁order ▁of ▁I onic ▁columns .	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADP ADJ NOUN ADP DET NOUN VERB VERB VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT DET ADJ PUNCT NOUN NOUN ADP NOUN NOUN NOUN VERB VERB VERB ADP DET NOUN CCONJ DET PROPN PROPN ADP PROPN PROPN PROPN ADJ NOUN NOUN VERB ADJ ADJ ADV ADV ADV VERB VERB NOUN NOUN CCONJ DET ADJ NOUN ADP PROPN PROPN NOUN NOUN
Since I installed solar panels on my house, my energy bill has been cut in half.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	ADP PRON VERB ADJ NOUN ADP ADJ NOUN ADJ NOUN NOUN VERB VERB VERB ADP NOUN	▁Since ▁I ▁installed ▁solar ▁panels ▁on ▁my ▁house , ▁my ▁energy ▁bill ▁has ▁been ▁cut ▁in ▁half .	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADJ NOUN ADP ADJ NOUN NOUN ADJ NOUN NOUN VERB VERB VERB ADP NOUN NOUN
Ask a neighbour to keep an eye on your house.	0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	VERB DET NOUN PART VERB DET NOUN ADP ADJ NOUN	▁Ask ▁a ▁neighbour ▁to ▁keep ▁an ▁eye ▁on ▁your ▁house .	0 0 0 0 0 0 0 1 0 1 1	VERB DET NOUN PART VERB DET NOUN ADP ADJ NOUN NOUN
