Oh yes, and I suppose I 'd better come clean.	0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	INTJ INTJ CCONJ PRON VERB PRON VERB ADV VERB ADJ	▁O h ▁yes , ▁and ▁I ▁suppose ▁I ▁' d ▁better ▁come ▁clean .	0 0 0 0 0 0 0 0 0 0 0 1 1 1	INTJ INTJ INTJ INTJ CCONJ PRON VERB PRON VERB VERB ADV VERB ADJ ADJ
Precisely this question was raised at an earlier stage in our discussions, and I pointed out then that the Government had not come clean at all on the issue of freight and what would happen to freight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADV DET NOUN VERB VERB ADP DET ADJ NOUN ADP ADJ NOUN CCONJ PRON VERB PART ADV ADP DET PROPN VERB ADV VERB ADJ ADV ADV ADP DET NOUN ADP NOUN CCONJ NOUN VERB VERB ADP NOUN	▁Pre c ise ly ▁this ▁question ▁was ▁raised ▁at ▁an ▁earlier ▁stage ▁in ▁our ▁discussions , ▁and ▁I ▁pointed ▁out ▁then ▁that ▁the ▁Government ▁had ▁not ▁come ▁clean ▁at ▁all ▁on ▁the ▁issue ▁of ▁freight ▁and ▁what ▁would ▁happen ▁to ▁freight .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADV DET NOUN VERB VERB ADP DET ADJ NOUN ADP ADJ NOUN NOUN CCONJ PRON VERB PART ADV ADP DET PROPN VERB ADV VERB ADJ ADV ADV ADP DET NOUN ADP NOUN CCONJ NOUN VERB VERB ADP NOUN NOUN
What we 'd like them to do is come clean sit round a table and talk about running it properly	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	NOUN PRON VERB VERB PRON PART VERB VERB VERB ADJ VERB ADP DET NOUN CCONJ NOUN ADP VERB PRON ADV	▁What ▁we ▁' d ▁like ▁them ▁to ▁do ▁is ▁come ▁clean ▁sit ▁round ▁a ▁table ▁and ▁talk ▁about ▁running ▁it ▁properly	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	NOUN PRON VERB VERB VERB PRON PART VERB VERB VERB ADJ VERB ADP DET NOUN CCONJ NOUN ADP VERB PRON ADV
I have explained why I think that the Government should come clean on the financing of the project and why the traffic and congestion implications of the proposals will be enormously painful for the King's Cross area.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	PRON VERB VERB ADV PRON VERB ADP DET PROPN VERB VERB ADJ ADP DET NOUN ADP DET NOUN CCONJ ADV DET NOUN CCONJ NOUN NOUN ADP DET NOUN VERB VERB ADV ADJ ADP DET PROPN PROPN NOUN	▁I ▁have ▁explained ▁why ▁I ▁think ▁that ▁the ▁Government ▁should ▁come ▁clean ▁on ▁the ▁financing ▁of ▁the ▁project ▁and ▁why ▁the ▁traffic ▁and ▁congestion ▁implications ▁of ▁the ▁proposals ▁will ▁be ▁enormously ▁painful ▁for ▁the ▁King ' s ▁Cross ▁area .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV PRON VERB ADP DET PROPN VERB VERB ADJ ADP DET NOUN ADP DET NOUN CCONJ ADV DET NOUN CCONJ NOUN NOUN ADP DET NOUN VERB VERB ADV ADJ ADP DET PROPN PROPN PROPN PROPN NOUN NOUN
‘ I 've never met her,’ she replied quietly, and deciding that now was the time to come clean — albeit that she would be lying in her teeth, ‘ She, Miss Pankracova, arranged an interview for — er — me, with Mr Vendelin Gajdusek for last Friday, only he —’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	PUNCT PRON VERB ADV VERB ADJ PRON VERB ADV CCONJ VERB ADP ADV VERB DET NOUN PART VERB ADJ PUNCT ADP ADP PRON VERB VERB VERB ADP ADJ NOUN PUNCT PRON PROPN PROPN VERB DET NOUN ADP PUNCT INTJ PUNCT PRON ADP PROPN PROPN PROPN ADP ADJ PROPN ADV PRON ADV	▁ ‘ ▁I ▁' ve ▁never ▁met ▁her , ’ ▁she ▁replied ▁quiet ly , ▁and ▁deciding ▁that ▁now ▁was ▁the ▁time ▁to ▁come ▁clean ▁ — ▁al beit ▁that ▁she ▁would ▁be ▁lying ▁in ▁her ▁teeth , ▁ ‘ ▁She , ▁Miss ▁Pan kra c ova , ▁arranged ▁an ▁interview ▁for ▁ — ▁er ▁ — ▁me , ▁with ▁Mr ▁V ende lin ▁G aj d use k ▁for ▁last ▁Friday , ▁only ▁he ▁ —’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB ADV VERB ADJ ADJ ADJ PRON VERB ADV ADV ADV CCONJ VERB ADP ADV VERB DET NOUN PART VERB ADJ PUNCT PUNCT ADP ADP ADP PRON VERB VERB VERB ADP ADJ NOUN NOUN PUNCT PUNCT PRON PRON PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP PUNCT PUNCT INTJ PUNCT PUNCT PRON PRON ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP ADJ PROPN PROPN ADV PRON ADV ADV
Will the Secretary of State come clean and say why his Government have the worst jobs record of any post - war Government in Britain?	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	VERB DET PROPN ADP PROPN VERB ADJ CCONJ VERB ADV ADJ PROPN VERB DET ADJ NOUN NOUN ADP DET NOUN PUNCT NOUN PROPN ADP PROPN	▁Will ▁the ▁Secretary ▁of ▁State ▁come ▁clean ▁and ▁say ▁why ▁his ▁Government ▁have ▁the ▁worst ▁jobs ▁record ▁of ▁any ▁post ▁- ▁war ▁Government ▁in ▁Britain ?	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB DET PROPN ADP PROPN VERB ADJ CCONJ VERB ADV ADJ PROPN VERB DET ADJ NOUN NOUN ADP DET NOUN PUNCT NOUN PROPN ADP PROPN PROPN
( The authorities in Belgrade have yet to come clean on the Albanians civilians executed and buried on police and military bases in Serbia. )	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	PUNCT DET NOUN ADP PROPN VERB ADV PART VERB ADJ ADP DET PROPN NOUN VERB CCONJ VERB ADP NOUN CCONJ ADJ NOUN ADP PROPN PUNCT	▁( ▁The ▁authorities ▁in ▁Belgrade ▁have ▁yet ▁to ▁come ▁clean ▁on ▁the ▁Albanian s ▁civilians ▁executed ▁and ▁buried ▁on ▁police ▁and ▁military ▁bases ▁in ▁Serbia . ▁ )	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT DET NOUN ADP PROPN VERB ADV PART VERB ADJ ADP DET PROPN PROPN NOUN VERB CCONJ VERB ADP NOUN CCONJ ADJ NOUN ADP PROPN PROPN PUNCT PUNCT
That is how he ducks out of his responsibilities and will not come clean — Now I shall sit down.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	come clean	figurative	identical	DET VERB ADV PRON VERB ADP ADP ADJ NOUN CCONJ VERB ADV VERB ADJ PUNCT ADV PRON VERB VERB PART	▁That ▁is ▁how ▁he ▁ducks ▁out ▁of ▁his ▁ responsibilities ▁and ▁will ▁not ▁come ▁clean ▁ — ▁Now ▁I ▁shall ▁sit ▁down .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	DET VERB ADV PRON VERB ADP ADP ADJ NOUN NOUN CCONJ VERB ADV VERB ADJ PUNCT PUNCT ADV PRON VERB VERB PART PART
For the rest, if it does blow up into an open accusation, he 'll have to come clean.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	ADP DET NOUN ADP PRON VERB VERB PART ADP DET ADJ NOUN PRON VERB VERB PART VERB ADJ	▁For ▁the ▁rest , ▁if ▁it ▁does ▁blow ▁up ▁into ▁an ▁open ▁accusation , ▁he ▁' ll ▁have ▁to ▁come ▁clean .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP DET NOUN NOUN ADP PRON VERB VERB PART ADP DET ADJ NOUN NOUN PRON VERB VERB VERB PART VERB ADJ ADJ
D'Arcy was throwing down a direct challenge for him to come clean, and he knew it.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	come clean	figurative	identical	PROPN VERB VERB PART DET ADJ NOUN ADP PRON PART VERB ADJ CCONJ PRON VERB PRON	▁D ' Ar cy ▁was ▁throw ing ▁down ▁a ▁direct ▁challenge ▁for ▁him ▁to ▁come ▁clean , ▁and ▁he ▁knew ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB VERB VERB PART DET ADJ NOUN ADP PRON PART VERB ADJ ADJ CCONJ PRON VERB PRON PRON
Whelan comes clean	0 1 1	come clean	figurative	inflection	PROPN VERB ADJ	▁W he lan ▁comes ▁clean	0 0 0 1 1	PROPN PROPN PROPN VERB ADJ
The dreaded bank manager often turns out to be highly sympathetic, once a customer comes clean.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	come clean	figurative	inflection	DET VERB NOUN NOUN ADV VERB PART PART VERB ADV ADJ ADV DET NOUN VERB ADJ	▁The ▁d read ed ▁bank ▁manager ▁often ▁turns ▁out ▁to ▁be ▁highly ▁sympathetic , ▁once ▁a ▁customer ▁comes ▁clean .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	DET VERB VERB VERB NOUN NOUN ADV VERB PART PART VERB ADV ADJ ADJ ADV DET NOUN VERB ADJ ADJ
