And she still didn't know what was on Luke Hunter's mind.	0 0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ PRON ADV VERB VERB NOUN VERB ADP PROPN PROPN NOUN	▁And ▁she ▁still ▁did n ' t ▁know ▁what ▁was ▁on ▁L uke ▁Hun ter ' s ▁mind .	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1	CCONJ PRON ADV VERB VERB VERB VERB VERB NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN
Broomhead Smith had other things on his mind besides the horse.	0 0 0 0 0 1 1 1 0 0 0	on someone's mind	figurative	possessive	PROPN PROPN VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN	▁B room head ▁Smith ▁had ▁other ▁things ▁on ▁his ▁mind ▁besides ▁the ▁horse .	0 0 0 0 0 0 0 1 1 1 0 0 0 0	PROPN PROPN PROPN PROPN VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN NOUN
Bio - technological concerns are also on Laurel Katz's mind in her show at Postmasters ( 19 March to17 April ).	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PROPN PUNCT ADJ NOUN VERB ADV ADP PROPN PROPN NOUN ADP ADJ NOUN ADP PROPN PUNCT NUM PROPN NOUN PROPN PUNCT	▁Bio ▁- ▁technological ▁concerns ▁are ▁also ▁on ▁L aure l ▁Kat z ' s ▁mind ▁in ▁her ▁show ▁at ▁Post master s ▁( ▁19 ▁March ▁to 17 ▁April ▁ ).	0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PUNCT ADJ NOUN VERB ADV ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP ADJ NOUN ADP PROPN PROPN PROPN PUNCT NUM PROPN NOUN NOUN PROPN PUNCT PUNCT
They had been much on Rose Hilaire's mind because the buyer from one store, Morgan's of Leeds, had shown signs of wanting to move away to a manufacturer offering lower costs.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PRON VERB VERB ADJ ADP PROPN PROPN NOUN ADP DET NOUN ADP NUM NOUN PROPN ADP PROPN VERB VERB NOUN ADP VERB PART VERB ADV ADP DET NOUN VERB ADJ NOUN	▁They ▁had ▁been ▁much ▁on ▁Rose ▁H il aire ' s ▁mind ▁because ▁the ▁buyer ▁from ▁one ▁store , ▁M organ ' s ▁of ▁Le ed s , ▁had ▁shown ▁signs ▁of ▁wanting ▁to ▁move ▁away ▁to ▁a ▁manufacturer ▁offering ▁lower ▁costs .	0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP DET NOUN ADP NUM NOUN NOUN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN VERB VERB NOUN ADP VERB PART VERB ADV ADP DET NOUN VERB ADJ NOUN NOUN
Things are always on your mind.	0 0 0 1 1 1	on someone's mind	figurative	possessive	NOUN VERB ADV ADP ADJ NOUN	▁Things ▁are ▁always ▁on ▁your ▁mind .	0 0 0 1 1 1 1	NOUN VERB ADV ADP ADJ NOUN NOUN
The Duke and Duchess were old by this time and salvation uppermost on the Duke's mind, it would seem.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	on someone's mind	figurative	combined-other	DET PROPN CCONJ PROPN VERB ADJ ADP DET NOUN CCONJ NOUN NOUN ADP DET PROPN NOUN PRON VERB VERB	▁The ▁D uke ▁and ▁D uches s ▁were ▁old ▁by ▁this ▁time ▁and ▁salvation ▁upper most ▁on ▁the ▁D uke ' s ▁mind , ▁it ▁would ▁seem .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 0	DET PROPN PROPN CCONJ PROPN PROPN PROPN VERB ADJ ADP DET NOUN CCONJ NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN NOUN NOUN PRON VERB VERB VERB
still I think it's the fact erm you know y you 're not she's got a problem on her mind she's not been well you 're not taking her serious	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV PRON VERB PRON DET NOUN INTJ PRON VERB PRON PRON VERB ADV PRON VERB DET NOUN ADP ADJ NOUN PRON ADV VERB INTJ PRON VERB ADV VERB PRON ADJ	▁still ▁I ▁think ▁it ' s ▁the ▁fact ▁er m ▁you ▁know ▁y ▁you ▁' re ▁not ▁she ' s ▁got ▁a ▁problem ▁on ▁her ▁mind ▁she ' s ▁not ▁been ▁well ▁you ▁' re ▁not ▁taking ▁her ▁serious	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB PRON PRON PRON DET NOUN INTJ INTJ PRON VERB PRON PRON VERB VERB ADV PRON PRON PRON VERB DET NOUN ADP ADJ NOUN PRON PRON PRON ADV VERB INTJ PRON VERB VERB ADV VERB PRON ADJ
Well and he wrote me this letter saying erm saying I, I realise that there's been something on your mind recently and I hope you can talk to me about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	INTJ CCONJ PRON VERB PRON DET NOUN VERB NOUN VERB PRON PRON VERB ADP ADV VERB NOUN ADP ADJ NOUN ADV CCONJ PRON VERB PRON VERB VERB ADP PRON ADP PRON	▁Well ▁and ▁he ▁wrote ▁me ▁this ▁letter ▁saying ▁er m ▁saying ▁I , ▁I ▁realise ▁that ▁there ' s ▁been ▁something ▁on ▁your ▁mind ▁recently ▁and ▁I ▁hope ▁you ▁can ▁talk ▁to ▁me ▁about ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	INTJ CCONJ PRON VERB PRON DET NOUN VERB NOUN NOUN VERB PRON PRON PRON VERB ADP ADV ADV ADV VERB NOUN ADP ADJ NOUN ADV CCONJ PRON VERB PRON VERB VERB ADP PRON ADP PRON PRON
The only thing on our minds was getting it over with.	0 0 0 1 1 1 0 0 0 0 0	on someone's mind	figurative	combined-inflection	DET ADJ NOUN ADP ADJ NOUN VERB VERB PRON PART ADP	▁The ▁only ▁thing ▁on ▁our ▁minds ▁was ▁gett ing ▁it ▁over ▁with .	0 0 0 1 1 1 0 0 0 0 0 0 0	DET ADJ NOUN ADP ADJ NOUN VERB VERB VERB PRON PART ADP ADP
I listened but if it's of no evidential value there is no point in listening because I 've got so much on my mind at that time erm to to sort out that threat in there that I certainly can't recall what was exactly said or even along the lines of what was said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON VERB CCONJ ADP PRON ADP DET ADJ NOUN ADV VERB DET NOUN ADP NOUN ADP PRON VERB VERB ADV ADJ ADP ADJ NOUN ADP DET NOUN NOUN PART PART VERB PART DET NOUN ADP ADV ADJ PRON ADV VERB VERB NOUN VERB ADV VERB CCONJ ADV ADP DET NOUN ADP NOUN VERB VERB	▁I ▁listened ▁but ▁if ▁it ' s ▁of ▁no ▁evident ial ▁value ▁there ▁is ▁no ▁point ▁in ▁listening ▁because ▁I ▁' ve ▁got ▁so ▁much ▁on ▁my ▁mind ▁at ▁that ▁time ▁er m ▁to ▁to ▁sort ▁out ▁that ▁threat ▁in ▁there ▁that ▁I ▁certainly ▁can ' t ▁recall ▁what ▁was ▁exactly ▁said ▁or ▁even ▁along ▁the ▁lines ▁of ▁what ▁was ▁said .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB CCONJ ADP PRON PRON PRON ADP DET ADJ ADJ NOUN ADV VERB DET NOUN ADP NOUN ADP PRON VERB VERB VERB ADV ADJ ADP ADJ NOUN ADP DET NOUN NOUN NOUN PART PART VERB PART DET NOUN ADP ADV ADJ PRON ADV VERB VERB VERB VERB NOUN VERB ADV VERB CCONJ ADV ADP DET NOUN ADP NOUN VERB VERB VERB
Samuel was declaiming of the ' grave, pompous and awful being ' with great zest when Sir Thomas himself arrived, clad as Bill Sikes, and with murder on his own mind to judge by his face when he took in Samuel's performance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PROPN VERB VERB ADP DET PUNCT ADJ ADJ CCONJ ADJ NOUN PUNCT ADP ADJ NOUN ADV PROPN PROPN PRON VERB VERB ADP PROPN PROPN CCONJ ADP NOUN ADP ADJ ADJ NOUN PART VERB ADP ADJ NOUN ADV PRON VERB PART PROPN NOUN	▁Samuel ▁was ▁de claim ing ▁of ▁the ▁' ▁grave , ▁po mp ous ▁and ▁awful ▁being ▁' ▁with ▁great ▁z est ▁when ▁Sir ▁Thomas ▁himself ▁arrived , ▁clad ▁as ▁Bill ▁Si kes , ▁and ▁with ▁murder ▁on ▁his ▁own ▁mind ▁to ▁judge ▁by ▁his ▁face ▁when ▁he ▁took ▁in ▁Samuel ' s ▁performance .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB VERB VERB ADP DET PUNCT ADJ ADJ ADJ ADJ ADJ CCONJ ADJ NOUN PUNCT ADP ADJ NOUN NOUN ADV PROPN PROPN PRON VERB VERB VERB ADP PROPN PROPN PROPN PROPN CCONJ ADP NOUN ADP ADJ ADJ NOUN PART VERB ADP ADJ NOUN ADV PRON VERB PART PROPN PROPN PROPN NOUN NOUN
That something was weighing on his mind was only too evident, and she quite forgot her own worries in her concern for him.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	DET NOUN VERB VERB ADP ADJ NOUN VERB ADV ADV ADJ CCONJ PRON ADV VERB ADJ ADJ NOUN ADP ADJ NOUN ADP PRON	▁That ▁something ▁was ▁weighing ▁on ▁his ▁mind ▁was ▁only ▁too ▁evident , ▁and ▁she ▁quite ▁for go t ▁her ▁own ▁worries ▁in ▁her ▁concern ▁for ▁him .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB ADP ADJ NOUN VERB ADV ADV ADJ ADJ CCONJ PRON ADV VERB VERB VERB ADJ ADJ NOUN ADP ADJ NOUN ADP PRON PRON
‘ Just got some stuff on my mind,’ she told Josie, and Josie didn't press her further.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PUNCT ADV VERB DET NOUN ADP ADJ PROPN PRON VERB PROPN CCONJ PROPN VERB VERB PRON ADV	▁ ‘ ▁Just ▁got ▁some ▁stuff ▁on ▁my ▁mind , ’ ▁she ▁told ▁Jo s ie , ▁and ▁Jo s ie ▁did n ' t ▁press ▁her ▁further .	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV VERB DET NOUN ADP ADJ PROPN PROPN PROPN PRON VERB PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB VERB VERB VERB VERB PRON ADV ADV
Gently he said, ‘ So I 've got other things on my mind, Gaby.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0	on someone's mind	figurative	possessive	ADV PRON VERB PUNCT ADV PRON VERB VERB ADJ NOUN ADP ADJ NOUN INTJ	▁Gent ly ▁he ▁said , ▁ ‘ ▁So ▁I ▁' ve ▁got ▁other ▁things ▁on ▁my ▁mind , ▁Ga by . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	ADV ADV PRON VERB VERB PUNCT PUNCT ADV PRON VERB VERB VERB ADJ NOUN ADP ADJ NOUN NOUN INTJ INTJ INTJ INTJ
The vision of my ghost was playing on my mind.	0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	DET NOUN ADP ADJ NOUN VERB VERB ADP ADJ NOUN	▁The ▁vision ▁of ▁my ▁g host ▁was ▁playing ▁on ▁my ▁mind .	0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN ADP ADJ NOUN NOUN VERB VERB ADP ADJ NOUN NOUN
I 'd like to spend a couple of winters in sports PR and marketing, while my name is still on people's minds before I retire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	on someone's mind	figurative	combined-inflection	PRON VERB VERB PART VERB DET NOUN ADP NOUN ADP NOUN NOUN CCONJ NOUN ADP ADJ NOUN VERB ADV ADP NOUN NOUN ADP PRON VERB	▁I ▁' d ▁like ▁to ▁spend ▁a ▁couple ▁of ▁winter s ▁in ▁sports ▁PR ▁and ▁marketing , ▁while ▁my ▁name ▁is ▁still ▁on ▁people ' s ▁minds ▁before ▁I ▁retire .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	PRON VERB VERB VERB PART VERB DET NOUN ADP NOUN NOUN ADP NOUN NOUN CCONJ NOUN NOUN ADP ADJ NOUN VERB ADV ADP NOUN NOUN NOUN NOUN ADP PRON VERB VERB
But this fog plays strange tricks on a woman's mind.	0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ DET NOUN VERB ADJ NOUN ADP DET NOUN NOUN	▁But ▁this ▁fog ▁plays ▁strange ▁trick s ▁on ▁a ▁woman ' s ▁mind .	0 0 0 0 0 0 0 1 0 1 1 1 1 1	CCONJ DET NOUN VERB ADJ NOUN NOUN ADP DET NOUN NOUN NOUN NOUN NOUN
AT THE end of a long and exhausting working day Kate retired to her room with one thing only on her mind, and that was a need for a cool shower.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	on someone's mind	literal	possessive	ADP DET NOUN ADP DET ADJ CCONJ ADJ VERB NOUN PROPN VERB ADP ADJ NOUN ADP NUM NOUN ADV ADP ADJ NOUN CCONJ DET VERB DET NOUN ADP DET ADJ NOUN	▁AT ▁THE ▁end ▁of ▁a ▁long ▁and ▁exhaust ing ▁working ▁day ▁K ate ▁retired ▁to ▁her ▁room ▁with ▁one ▁thing ▁only ▁on ▁her ▁mind , ▁and ▁that ▁was ▁a ▁need ▁for ▁a ▁cool ▁shower .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP DET ADJ CCONJ ADJ ADJ VERB NOUN PROPN PROPN VERB ADP ADJ NOUN ADP NUM NOUN ADV ADP ADJ NOUN NOUN CCONJ DET VERB DET NOUN ADP DET ADJ NOUN NOUN
But when the 28-year - old Luton osteopath becomes Britain's only competitor in this month's Pentjak Silat World Championships in Indonesia, harming an opponent will be the last thing on his mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	CCONJ ADV DET NUM PUNCT ADJ PROPN NOUN VERB PROPN ADJ NOUN ADP DET NOUN PROPN PROPN PROPN PROPN ADP PROPN VERB DET NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN	▁But ▁when ▁the ▁28 - year ▁- ▁old ▁Lu ton ▁osteo path ▁becomes ▁Britain ' s ▁only ▁competitor ▁in ▁this ▁month ' s ▁Pen t ja k ▁Sila t ▁World ▁Cham p ion ships ▁in ▁Indonesia , ▁harm ing ▁an ▁opp on ent ▁will ▁be ▁the ▁last ▁thing ▁on ▁his ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ ADV DET NUM NUM NUM PUNCT ADJ PROPN PROPN NOUN NOUN VERB PROPN PROPN PROPN ADJ NOUN ADP DET NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN VERB VERB DET NOUN NOUN NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN NOUN
Death was very much on my mind, yet I could not tear my attention away from the cavortings of those two inhuman beings.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	NOUN VERB ADV ADJ ADP ADJ NOUN CCONJ PRON VERB ADV VERB ADJ NOUN ADV ADP DET NOUN ADP DET NUM ADJ NOUN	▁Death ▁was ▁very ▁much ▁on ▁my ▁mind , ▁yet ▁I ▁could ▁not ▁tear ▁my ▁attention ▁away ▁from ▁the ▁ca vor ting s ▁of ▁those ▁two ▁inhuman ▁beings .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB ADV ADJ ADP ADJ NOUN NOUN CCONJ PRON VERB ADV VERB ADJ NOUN ADV ADP DET NOUN NOUN NOUN NOUN ADP DET NUM ADJ NOUN NOUN
MOSCOW – My great - grandfather, Nikita ~ Khrushchev, has been on my mind recently.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	on someone's mind	figurative	possessive	PROPN PUNCT ADJ ADJ PUNCT NOUN PROPN PUNCT PROPN VERB VERB ADP ADJ NOUN ADV	▁MO SC OW ▁ – ▁My ▁great ▁- ▁grandfather , ▁N ik ita ▁ ~ ▁Kh rus h che v , ▁has ▁been ▁on ▁my ▁mind ▁recently .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	PROPN PROPN PROPN PUNCT PUNCT ADJ ADJ PUNCT NOUN NOUN PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADP ADJ NOUN ADV ADV
Harold Wilson obviously had something on his mind and he told us that if we watched the television news we would hear something that he was sure would be of interest to us.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PROPN PROPN ADV VERB NOUN ADP ADJ NOUN CCONJ PRON VERB PRON ADP ADP PRON VERB DET NOUN NOUN PRON VERB VERB NOUN ADJ PRON VERB ADJ VERB VERB ADP NOUN ADP PRON	▁Har old ▁Wilson ▁obviously ▁had ▁something ▁on ▁his ▁mind ▁and ▁he ▁told ▁us ▁that ▁if ▁we ▁watch ed ▁the ▁television ▁new s ▁we ▁would ▁hear ▁something ▁that ▁he ▁was ▁sure ▁would ▁be ▁of ▁interest ▁to ▁us .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN ADV VERB NOUN ADP ADJ NOUN CCONJ PRON VERB PRON ADP ADP PRON VERB VERB DET NOUN NOUN NOUN PRON VERB VERB NOUN ADJ PRON VERB ADJ VERB VERB ADP NOUN ADP PRON PRON
Only a drift of her stayed on the solemn air of the dining room — a drift of Parma violet and a heavy load on Nicandra's mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	ADV DET NOUN ADP ADJ VERB ADP DET ADJ NOUN ADP DET NOUN NOUN PUNCT DET NOUN ADP PROPN NOUN CCONJ DET ADJ NOUN ADP PROPN NOUN	▁Only ▁a ▁drift ▁of ▁her ▁stayed ▁on ▁the ▁solemn ▁air ▁of ▁the ▁din ing ▁room ▁ — ▁a ▁drift ▁of ▁Par ma ▁ violet ▁and ▁a ▁heavy ▁load ▁on ▁N ic and ra ' s ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1	ADV DET NOUN ADP ADJ VERB ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN PUNCT PUNCT DET NOUN ADP PROPN PROPN NOUN NOUN CCONJ DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN
Open season for debs with books on their mind Susannah Herbert joins the girls at a grooming session for the Berkeley Dress Show	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADJ NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PROPN PROPN VERB DET NOUN ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN	▁Open ▁season ▁for ▁de b s ▁with ▁books ▁on ▁their ▁mind ▁Su s anna h ▁Her bert ▁join s ▁the ▁girls ▁at ▁a ▁g room ing ▁session ▁for ▁the ▁Berk e ley ▁D res s ▁S how	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN ADP NOUN NOUN NOUN ADP NOUN ADP ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
It was as if Creed had something more important on his mind.	0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADP ADP PROPN VERB NOUN ADV ADJ ADP ADJ NOUN	▁It ▁was ▁as ▁if ▁C re ed ▁had ▁something ▁more ▁important ▁on ▁his ▁mind .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADP ADP PROPN PROPN PROPN VERB NOUN ADV ADJ ADP ADJ NOUN NOUN
She looked at him thoughtfully, wondering if he had something on his mind.	0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADP PRON ADV VERB ADP PRON VERB NOUN ADP ADJ NOUN	▁She ▁looked ▁at ▁him ▁thought fully , ▁wonder ing ▁if ▁he ▁had ▁something ▁on ▁his ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADP PRON ADV ADV ADV VERB VERB ADP PRON VERB NOUN ADP ADJ NOUN NOUN
EXPECTANT parents have many worries on their mind aside from the naming of the child.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PROPN NOUN VERB ADJ NOUN ADP ADJ NOUN ADV ADP DET NOUN ADP DET NOUN	▁EXP EC T ANT ▁parents ▁have ▁many ▁worries ▁on ▁their ▁mind ▁aside ▁from ▁the ▁na ming ▁of ▁the ▁child .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN VERB ADJ NOUN ADP ADJ NOUN ADV ADP DET NOUN NOUN ADP DET NOUN NOUN
The man had escape on his mind, not dalliance.	0 0 0 0 1 1 1 0 0	on someone's mind	figurative	possessive	DET NOUN VERB NOUN ADP ADJ NOUN ADV NOUN	▁The ▁man ▁had ▁escape ▁on ▁his ▁mind , ▁not ▁d al liance .	0 0 0 0 1 1 1 1 0 0 0 0 0	DET NOUN VERB NOUN ADP ADJ NOUN NOUN ADV NOUN NOUN NOUN NOUN
The whole episode left its mark on William's mind.	0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	DET ADJ NOUN VERB ADJ NOUN ADP PROPN NOUN	▁The ▁whole ▁episode ▁left ▁its ▁mark ▁on ▁William ' s ▁mind .	0 0 0 0 0 0 1 1 1 1 1 1	DET ADJ NOUN VERB ADJ NOUN ADP PROPN PROPN PROPN NOUN NOUN
He had his back to us and other things on his mind by the look of him.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	on someone's mind	literal	possessive	PRON VERB ADJ NOUN ADP PRON CCONJ ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP PRON	▁He ▁had ▁his ▁back ▁to ▁us ▁and ▁other ▁things ▁on ▁his ▁mind ▁by ▁the ▁look ▁of ▁him .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PRON VERB ADJ NOUN ADP PRON CCONJ ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP PRON PRON
