Er a complete dead loss about which way to go and turn basically.	0 0 0 0 0 0 0 1 1 1 0 0 0	way to go	literal	identical	INTJ DET ADJ ADJ NOUN ADP ADJ NOUN PART VERB CCONJ VERB ADV	▁Er ▁a ▁complete ▁dead ▁loss ▁about ▁which ▁way ▁to ▁go ▁and ▁turn ▁basic ally .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	INTJ DET ADJ ADJ NOUN ADP ADJ NOUN PART VERB CCONJ VERB ADV ADV ADV
Placard - wise, however, the gays have some way to go.	0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	NOUN PUNCT ADJ ADV DET NOUN VERB DET NOUN PART VERB	▁Pla card ▁- ▁wise , ▁however , ▁the ▁g ay s ▁have ▁some ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN PUNCT ADJ ADJ ADV ADV DET NOUN NOUN NOUN VERB DET NOUN PART VERB VERB
These bones are a pointer, telling us which way to go!’	0 0 0 0 0 0 0 0 1 1 1	way to go	literal	dashes	DET NOUN VERB DET NOUN VERB PRON ADJ NOUN ADP NOUN	▁These ▁bones ▁are ▁a ▁point er , ▁telling ▁us ▁which ▁way ▁to ▁go ! ’	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	DET NOUN VERB DET NOUN NOUN NOUN VERB PRON ADJ NOUN ADP NOUN NOUN NOUN
Excuse me, what is the shortest way to go to the station?	0 0 0 0 0 0 1 1 1 0 0 0	way to go	literal	identical	VERB PRON NOUN VERB DET ADJ NOUN PART VERB ADP DET NOUN	▁Exc use ▁me , ▁what ▁is ▁the ▁shortest ▁way ▁to ▁go ▁to ▁the ▁station ?	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	VERB VERB PRON PRON NOUN VERB DET ADJ NOUN PART VERB ADP DET NOUN NOUN
They must be from the brickworks, she thought if she thought anything, and she was still chewing with a circular motion when one of them jumped out of the lane, wild eyes over a black mustache, reached the fire in two jumps, stood before, behind, and beside the fire all ~ at ~ once, cursing, scared, not knowing which way to go, unable to turn back, for behind him Long and Thin were running down the lane.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PRON VERB VERB ADP DET NOUN PRON VERB ADP PRON VERB NOUN CCONJ PRON VERB ADV VERB ADP DET ADJ NOUN ADV NUM ADP PRON VERB ADP ADP DET NOUN ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADP NUM NOUN VERB ADV ADV CCONJ ADP DET NOUN DET PUNCT ADP PUNCT ADV NOUN ADJ ADV VERB ADJ NOUN PART VERB ADJ PART VERB ADV ADP ADP PRON ADV CCONJ PROPN VERB VERB ADP DET NOUN	▁They ▁must ▁be ▁from ▁the ▁brick works , ▁she ▁thought ▁if ▁she ▁thought ▁anything , ▁and ▁she ▁was ▁still ▁chew ing ▁with ▁a ▁circular ▁motion ▁when ▁one ▁of ▁them ▁jump ed ▁out ▁of ▁the ▁lane , ▁wild ▁eyes ▁over ▁a ▁black ▁must ache , ▁reached ▁the ▁fire ▁in ▁two ▁jump s , ▁stood ▁before , ▁behind , ▁and ▁be side ▁the ▁fire ▁all ▁ ~ ▁at ▁ ~ ▁once , ▁cur s ing , ▁scar ed , ▁not ▁knowing ▁which ▁way ▁to ▁go , ▁unable ▁to ▁turn ▁back , ▁for ▁behind ▁him ▁Long ▁and ▁Th in ▁were ▁running ▁down ▁the ▁lane .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP DET NOUN NOUN NOUN PRON VERB ADP PRON VERB NOUN NOUN CCONJ PRON VERB ADV VERB VERB ADP DET ADJ NOUN ADV NUM ADP PRON VERB VERB ADP ADP DET NOUN NOUN ADJ NOUN ADP DET ADJ NOUN NOUN NOUN VERB DET NOUN ADP NUM NOUN NOUN NOUN VERB ADV ADV ADV ADV CCONJ ADP ADP DET NOUN DET PUNCT PUNCT ADP PUNCT PUNCT ADV ADV NOUN NOUN NOUN NOUN ADJ ADJ ADJ ADV VERB ADJ NOUN PART VERB VERB ADJ PART VERB ADV ADV ADP ADP PRON ADV CCONJ PROPN PROPN VERB VERB ADP DET NOUN NOUN
If he wants anybody to lead him to the so - called English plotters, it's the very best possible way to go about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	way to go	literal	identical	ADP PRON VERB NOUN PART VERB PRON ADP DET ADV PUNCT VERB ADJ NOUN PRON DET ADV ADJ ADJ NOUN PART VERB ADP PRON	▁If ▁he ▁wants ▁anybody ▁to ▁lead ▁him ▁to ▁the ▁so ▁- ▁called ▁English ▁plot ters , ▁it ' s ▁the ▁very ▁best ▁possible ▁way ▁to ▁go ▁about ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADP PRON VERB NOUN PART VERB PRON ADP DET ADV PUNCT VERB ADJ NOUN NOUN NOUN PRON PRON PRON DET ADV ADJ ADJ NOUN PART VERB ADP PRON PRON
So far, we 've actually managed to characterise about 1600 of that 50,000 and so we 've got a very long way to go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	ADV ADV PRON VERB ADV VERB PART VERB ADV NUM ADP DET NUM CCONJ ADV PRON VERB VERB DET ADV ADJ NOUN PART VERB	▁So ▁far , ▁we ▁' ve ▁actually ▁managed ▁to ▁character ise ▁about ▁1600 ▁of ▁that ▁5 0,000 ▁and ▁so ▁we ▁' ve ▁got ▁a ▁very ▁long ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADV ADV PRON VERB VERB ADV VERB PART VERB VERB ADV NUM ADP DET NUM NUM CCONJ ADV PRON VERB VERB VERB DET ADV ADJ NOUN PART VERB VERB
It brings him into joint second place with Jackie Stewart in the league table of grand prix victories, but there is still some way to go before Senna matches the 44 won by Alain Prost, the man the media love Senna to hate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PRON VERB PRON ADP ADJ ADJ NOUN ADP PROPN PROPN ADP DET NOUN NOUN ADP ADJ NOUN NOUN CCONJ ADV VERB ADV DET NOUN PART VERB ADP PROPN VERB DET NUM VERB ADP PROPN PROPN DET NOUN DET NOUN VERB PROPN PART VERB	▁It ▁bring s ▁him ▁into ▁joint ▁second ▁place ▁with ▁Jack ie ▁Ste wart ▁in ▁the ▁league ▁table ▁of ▁grand ▁p rix ▁ vic to ries , ▁but ▁there ▁is ▁still ▁some ▁way ▁to ▁go ▁before ▁S enna ▁matches ▁the ▁44 ▁won ▁by ▁A lain ▁Pro st , ▁the ▁man ▁the ▁media ▁love ▁S enna ▁to ▁hate .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON ADP ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN ADP DET NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ ADV VERB ADV DET NOUN PART VERB ADP PROPN PROPN VERB DET NUM VERB ADP PROPN PROPN PROPN PROPN PROPN DET NOUN DET NOUN VERB PROPN PROPN PART VERB VERB
‘ There's a long way to go before we break down the ‘ them up at Salisbury attitude’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PUNCT ADV DET ADJ NOUN PART VERB ADP PRON VERB PART DET PRON PRON PART ADP PROPN PROPN	▁ ‘ ▁There ' s ▁a ▁long ▁way ▁to ▁go ▁before ▁we ▁break ▁down ▁the ▁ ‘ ▁them ▁up ▁at ▁Salis bur y ▁attitude ’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV ADV ADV DET ADJ NOUN PART VERB ADP PRON VERB PART DET PRON PRON PRON PART ADP PROPN PROPN PROPN PROPN PROPN
You can make hard work of an easy job if you don't know the right way to go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	PRON VERB VERB ADJ NOUN ADP DET ADJ NOUN ADP PRON VERB VERB DET ADJ NOUN PART VERB	▁You ▁can ▁make ▁hard ▁work ▁of ▁an ▁easy ▁job ▁if ▁you ▁don ' t ▁know ▁the ▁right ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB ADJ NOUN ADP DET ADJ NOUN ADP PRON VERB VERB VERB VERB DET ADJ NOUN PART VERB VERB
Ordinary wild plants, it seems, are weedier than crops, but both have a long way to go to catch up with the real pests.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	way to go	literal	identical	ADJ ADJ NOUN PRON VERB VERB ADJ ADP NOUN CCONJ DET VERB DET ADJ NOUN PART VERB PART VERB PART ADP DET ADJ NOUN	▁Ordinary ▁wild ▁plants , ▁it ▁seems , ▁are ▁we ed ier ▁than ▁crops , ▁but ▁both ▁have ▁a ▁long ▁way ▁to ▁go ▁to ▁catch ▁up ▁with ▁the ▁real ▁pests .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADJ ADJ NOUN NOUN PRON VERB VERB VERB ADJ ADJ ADJ ADP NOUN NOUN CCONJ DET VERB DET ADJ NOUN PART VERB PART VERB PART ADP DET ADJ NOUN NOUN
Way to go!	1 1 1	way to go	figurative	case	NOUN PART VERB	▁Way ▁to ▁go !	1 1 1 1	NOUN PART VERB VERB
We have some way to go, but we are actively working on the plan.’	0 0 0 1 1 1 0 0 0 0 0 0 0 0	way to go	literal	identical	PRON VERB DET NOUN PART VERB CCONJ PRON VERB ADV VERB ADP DET NOUN	▁We ▁have ▁some ▁way ▁to ▁go , ▁but ▁we ▁are ▁actively ▁working ▁on ▁the ▁plan . ’	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN PART VERB VERB CCONJ PRON VERB ADV VERB ADP DET NOUN NOUN NOUN
If you 're like me you 've still got a fair way to go!	0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	ADP PRON VERB ADP PRON PRON VERB ADV VERB DET ADJ NOUN PART VERB	▁If ▁you ▁' re ▁like ▁me ▁you ▁' ve ▁still ▁got ▁a ▁fair ▁way ▁to ▁go !	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB VERB ADP PRON PRON VERB VERB ADV VERB DET ADJ NOUN PART VERB VERB
decision but it is difficult to know which way to go, when you 're actually up you know, I, I wouldn't say you 're a hundred percent but I wouldn't say	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	NOUN CCONJ PRON VERB ADJ PART VERB ADJ NOUN PART VERB ADV PRON VERB ADV ADV PRON VERB PRON PRON VERB VERB PRON VERB DET NUM NOUN CCONJ PRON VERB VERB	▁decision ▁but ▁it ▁is ▁difficult ▁to ▁know ▁which ▁way ▁to ▁go , ▁when ▁you ▁' re ▁actually ▁up ▁you ▁know , ▁I , ▁I ▁would n ' t ▁say ▁you ▁' re ▁a ▁hundred ▁percent ▁but ▁I ▁would n ' t ▁say	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN CCONJ PRON VERB ADJ PART VERB ADJ NOUN PART VERB VERB ADV PRON VERB VERB ADV ADV PRON VERB VERB PRON PRON PRON VERB VERB VERB VERB VERB PRON VERB VERB DET NUM NOUN CCONJ PRON VERB VERB VERB VERB VERB
never quite know which way to go,	0 0 0 0 1 1 1	way to go	literal	identical	ADV ADV VERB ADJ NOUN PART VERB	▁never ▁quite ▁know ▁which ▁way ▁to ▁go ,	0 0 0 0 1 1 1 1	ADV ADV VERB ADJ NOUN PART VERB VERB
The Oxenhope Straw Race has a long way to go before it reaches its centenary, but the aims of the people who organise it and take part are the same as those who in the nineteenth century began the hospital sings at Holmfirth and Mapplewell.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	DET PROPN PROPN PROPN VERB DET ADJ NOUN PART VERB ADP PRON VERB ADJ NOUN CCONJ DET NOUN ADP DET NOUN NOUN VERB PRON CCONJ VERB NOUN VERB DET ADJ ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN NOUN ADP PROPN CCONJ PROPN	▁The ▁Ox en hop e ▁Stra w ▁R ace ▁has ▁a ▁long ▁way ▁to ▁go ▁before ▁it ▁reaches ▁its ▁cent en ary , ▁but ▁the ▁aims ▁of ▁the ▁people ▁who ▁organise ▁it ▁and ▁take ▁part ▁are ▁the ▁same ▁as ▁those ▁who ▁in ▁the ▁n ineteenth ▁century ▁began ▁the ▁hospital ▁s ing s ▁at ▁Holm f ir th ▁and ▁Map ple well .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET ADJ NOUN PART VERB ADP PRON VERB ADJ NOUN NOUN NOUN NOUN CCONJ DET NOUN ADP DET NOUN NOUN VERB PRON CCONJ VERB NOUN VERB DET ADJ ADP DET NOUN ADP DET ADJ ADJ NOUN VERB DET NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN
After all we are only half way through this year's Charity of the Year programme and there is still a long way to go if we are to raise enough to fully fund the training of a Macmillan Nurse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADP DET PRON VERB ADV ADJ NOUN ADP DET NOUN PROPN ADP DET PROPN NOUN CCONJ ADV VERB ADV DET ADJ NOUN PART VERB ADP PRON VERB PART VERB ADV PART ADV VERB DET NOUN ADP DET PROPN PROPN	▁After ▁all ▁we ▁are ▁only ▁half ▁way ▁through ▁this ▁year ' s ▁Char ity ▁of ▁the ▁Year ▁programme ▁and ▁there ▁is ▁still ▁a ▁long ▁way ▁to ▁go ▁if ▁we ▁are ▁to ▁raise ▁enough ▁to ▁fully ▁fund ▁the ▁training ▁of ▁a ▁Mac m illan ▁Nur se .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET PRON VERB ADV ADJ NOUN ADP DET NOUN NOUN NOUN PROPN PROPN ADP DET PROPN NOUN CCONJ ADV VERB ADV DET ADJ NOUN PART VERB ADP PRON VERB PART VERB ADV PART ADV VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN
We give them advices about the way to go, the correct prices, many things.	0 0 0 0 0 0 1 1 1 0 0 0 0 0	way to go	literal	identical	PRON VERB PRON NOUN ADP DET NOUN PART VERB DET ADJ NOUN ADJ NOUN	▁We ▁give ▁them ▁advice s ▁about ▁the ▁way ▁to ▁go , ▁the ▁correct ▁prices , ▁many ▁things .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PRON VERB PRON NOUN NOUN ADP DET NOUN PART VERB VERB DET ADJ NOUN NOUN ADJ NOUN NOUN
Thankfully, ‘ Dirty’, the Sonics ' recent Geffen album, entered the UK Top Ten during the first week of release and, even if it has a long way to go to equal the sales of ‘ Nevermind’, things could be taking a turn for the better.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADV PUNCT NOUN DET PROPN PART ADJ PROPN NOUN VERB DET PROPN PROPN PROPN ADP DET ADJ NOUN ADP NOUN CCONJ ADV ADP PRON VERB DET ADJ NOUN PART VERB PART VERB DET NOUN ADP ADJ PROPN NOUN VERB VERB VERB DET NOUN ADP DET ADJ	▁Thank fully , ▁ ‘ ▁D ir ty ’ , ▁the ▁Son ics ▁' ▁recent ▁G ef fen ▁al b um , ▁entered ▁the ▁UK ▁Top ▁Ten ▁during ▁the ▁first ▁week ▁of ▁release ▁and , ▁even ▁if ▁it ▁has ▁a ▁long ▁way ▁to ▁go ▁to ▁equal ▁the ▁sales ▁of ▁ ‘ ▁Never min d ’ , ▁things ▁could ▁be ▁taking ▁a ▁turn ▁for ▁the ▁better .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV PUNCT PUNCT NOUN NOUN NOUN NOUN NOUN DET PROPN PROPN PART ADJ PROPN PROPN PROPN NOUN NOUN NOUN NOUN VERB DET PROPN PROPN PROPN ADP DET ADJ NOUN ADP NOUN CCONJ CCONJ ADV ADP PRON VERB DET ADJ NOUN PART VERB PART VERB DET NOUN ADP ADJ ADJ PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB VERB DET NOUN ADP DET ADJ ADJ
All of a sudden it seemed to be the wrong time and the wrong way to go about it, what with it being the day of the old man's funeral and everything …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	DET ADP ADV ADJ PRON VERB PART VERB DET ADJ NOUN CCONJ DET ADJ NOUN PART VERB ADP PRON NOUN ADP PRON VERB DET NOUN ADP DET ADJ NOUN NOUN CCONJ NOUN PUNCT	▁All ▁of ▁a ▁sudden ▁it ▁seemed ▁to ▁be ▁the ▁wrong ▁time ▁and ▁the ▁wrong ▁way ▁to ▁go ▁about ▁it , ▁what ▁with ▁it ▁being ▁the ▁day ▁of ▁the ▁old ▁man ' s ▁funeral ▁and ▁everything ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADP ADV ADJ PRON VERB PART VERB DET ADJ NOUN CCONJ DET ADJ NOUN PART VERB ADP PRON PRON NOUN ADP PRON VERB DET NOUN ADP DET ADJ NOUN NOUN NOUN NOUN CCONJ NOUN PUNCT
‘ We 've a very long way to go.’	0 0 0 0 0 0 1 1 1	way to go	literal	dashes	PUNCT PRON VERB DET ADV ADJ NOUN ADP NOUN	▁ ‘ ▁We ▁' ve ▁a ▁very ▁long ▁way ▁to ▁go . ’	0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT PRON VERB VERB DET ADV ADJ NOUN ADP NOUN NOUN NOUN
‘ I didn't know which way to go, and I heard someone crying,’ answered Mary.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	way to go	literal	identical	PUNCT PRON VERB VERB ADJ NOUN PART VERB CCONJ PRON VERB NOUN PROPN VERB PROPN	▁ ‘ ▁I ▁did n ' t ▁know ▁which ▁way ▁to ▁go , ▁and ▁I ▁heard ▁someone ▁cry ing , ’ ▁answered ▁Mary .	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB VERB VERB ADJ NOUN PART VERB VERB CCONJ PRON VERB NOUN PROPN PROPN PROPN PROPN VERB PROPN PROPN
Still I imagine many men would say what a way to go.	0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	ADV PRON VERB ADJ NOUN VERB VERB NOUN DET NOUN PART VERB	▁Still ▁I ▁imagine ▁many ▁men ▁would ▁say ▁what ▁a ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 1 1 1 1	ADV PRON VERB ADJ NOUN VERB VERB NOUN DET NOUN PART VERB VERB
It's the only way to go : the mass - produced organic biodegradable surfboard.’	0 0 0 1 1 1 0 0 0 0 0 0 0 0	way to go	literal	identical	PRON DET ADJ NOUN PART VERB PUNCT DET ADV PUNCT VERB ADJ ADJ NOUN	▁It ' s ▁the ▁only ▁way ▁to ▁go ▁ : ▁the ▁mass ▁- ▁produced ▁organic ▁biodegradable ▁sur f board . ’	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON DET ADJ NOUN PART VERB PUNCT PUNCT DET ADV PUNCT VERB ADJ ADJ NOUN NOUN NOUN NOUN NOUN
Although this may seem a very tedious way to go about things, it is the only sure method of success.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADP DET VERB VERB DET ADV ADJ NOUN PART VERB ADP NOUN PRON VERB DET ADJ ADJ NOUN ADP NOUN	▁Although ▁this ▁may ▁seem ▁a ▁very ▁ ted ious ▁way ▁to ▁go ▁about ▁things , ▁it ▁is ▁the ▁only ▁sure ▁method ▁of ▁success .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET VERB VERB DET ADV ADJ ADJ ADJ NOUN PART VERB ADP NOUN NOUN PRON VERB DET ADJ ADJ NOUN ADP NOUN NOUN
However, there is still some way to go.	0 0 0 0 0 1 1 1	way to go	literal	identical	ADV ADV VERB ADV DET NOUN PART VERB	▁However , ▁there ▁is ▁still ▁some ▁way ▁to ▁go .	0 0 0 0 0 0 1 1 1 1	ADV ADV ADV VERB ADV DET NOUN PART VERB VERB
However there is still a long way to go and I would like to ask all Assay readers to keep the fund raising ideas and, most importantly, the money coming in!	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADV ADV VERB ADV DET ADJ NOUN PART VERB CCONJ PRON VERB VERB PART VERB DET ADJ NOUN PART VERB DET NOUN VERB NOUN CCONJ ADV ADV DET NOUN VERB ADV	▁However ▁there ▁is ▁still ▁a ▁long ▁way ▁to ▁go ▁and ▁I ▁would ▁like ▁to ▁ask ▁all ▁Assay ▁readers ▁to ▁keep ▁the ▁fund ▁raising ▁ideas ▁and , ▁most ▁importantly , ▁the ▁money ▁coming ▁in !	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV VERB ADV DET ADJ NOUN PART VERB CCONJ PRON VERB VERB PART VERB DET ADJ NOUN PART VERB DET NOUN VERB NOUN CCONJ CCONJ ADV ADV ADV DET NOUN VERB ADV ADV
The approach to management is not quite so lackadaisical as it once was, but there is still a long way to go, particularly in employment policies within the companies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	way to go	literal	identical	DET NOUN ADP NOUN VERB ADV ADV ADV ADJ ADP PRON ADV VERB CCONJ ADV VERB ADV DET ADJ NOUN PART VERB ADV ADP NOUN NOUN ADP DET NOUN	▁The ▁approach ▁to ▁management ▁is ▁not ▁quite ▁so ▁lack ada is ical ▁as ▁it ▁once ▁was , ▁but ▁there ▁is ▁still ▁a ▁long ▁way ▁to ▁go , ▁particularly ▁in ▁employment ▁policies ▁within ▁the ▁companies .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	DET NOUN ADP NOUN VERB ADV ADV ADV ADJ ADJ ADJ ADJ ADP PRON ADV VERB VERB CCONJ ADV VERB ADV DET ADJ NOUN PART VERB VERB ADV ADP NOUN NOUN ADP DET NOUN NOUN
The team members are busy raising money in a variety of ways to go into a fund towards the costs but do need all the help they can get, any ideas, suggestions would be most welcome.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	inflection	DET NOUN NOUN VERB ADJ VERB NOUN ADP DET NOUN ADP NOUN PART VERB ADP DET NOUN ADP DET NOUN CCONJ VERB VERB ADJ DET NOUN PRON VERB VERB DET NOUN NOUN VERB VERB ADV ADJ	▁The ▁team ▁members ▁are ▁busy ▁raising ▁money ▁in ▁a ▁variety ▁of ▁ways ▁to ▁go ▁into ▁a ▁fund ▁towards ▁the ▁costs ▁but ▁do ▁need ▁all ▁the ▁help ▁they ▁can ▁get , ▁any ▁ideas , ▁suggestions ▁would ▁be ▁most ▁welcome .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADJ VERB NOUN ADP DET NOUN ADP NOUN PART VERB ADP DET NOUN ADP DET NOUN CCONJ VERB VERB ADJ DET NOUN PRON VERB VERB VERB DET NOUN NOUN NOUN VERB VERB ADV ADJ ADJ
Sometimes there's no way to go but up …	0 0 0 1 1 1 0 0 0	way to go	literal	identical	ADV ADV DET NOUN PART VERB CCONJ ADV PUNCT	▁Sometimes ▁there ' s ▁no ▁way ▁to ▁go ▁but ▁up ▁...	0 0 0 0 0 1 1 1 0 0 0	ADV ADV ADV ADV DET NOUN PART VERB CCONJ ADV PUNCT
Much of the current policy debate remains focused on cutting carbon, but there are many ways to go about repairing the global climate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	way to go	literal	inflection	ADJ ADP DET ADJ NOUN NOUN VERB ADJ ADP VERB NOUN CCONJ ADV VERB ADJ NOUN PART VERB ADP VERB DET ADJ NOUN	▁Much ▁of ▁the ▁current ▁policy ▁debate ▁remains ▁focused ▁on ▁cutting ▁carbon , ▁but ▁there ▁are ▁many ▁ways ▁to ▁go ▁about ▁repair ing ▁the ▁global ▁climate .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	ADJ ADP DET ADJ NOUN NOUN VERB ADJ ADP VERB NOUN NOUN CCONJ ADV VERB ADJ NOUN PART VERB ADP VERB VERB DET ADJ NOUN NOUN
