As you know, I ' ve lost my job, so I ' m having trouble making ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	inflection	ADP PRON VERB PRON PUNCT VERB VERB ADJ NOUN CCONJ PRON PUNCT VERB VERB NOUN VERB NOUN VERB	▁As ▁you ▁know , ▁I ▁' ▁ve ▁lost ▁my ▁job , ▁so ▁I ▁' ▁m ▁having ▁trouble ▁making ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB VERB PRON PUNCT VERB VERB ADJ NOUN NOUN CCONJ PRON PUNCT VERB VERB NOUN VERB NOUN VERB VERB
There would be a rise of some 20,000 in the number of retail jobs — because more small shopkeepers could make ends meet — but shopworkers ' average annual wages would fall by £ 170, for they would miss out on higher Sunday pay - rates.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	ADV VERB VERB DET NOUN ADP DET NUM ADP DET NOUN ADP ADJ NOUN PUNCT ADP ADJ ADJ NOUN VERB VERB NOUN VERB PUNCT CCONJ NOUN PART ADJ ADJ NOUN VERB VERB ADP SYM NUM ADP PRON VERB VERB PART ADP ADJ PROPN NOUN PUNCT NOUN	▁There ▁would ▁be ▁a ▁rise ▁of ▁some ▁2 0,000 ▁in ▁the ▁number ▁of ▁retail ▁jobs ▁ — ▁because ▁more ▁small ▁shop keeper s ▁could ▁make ▁ends ▁meet ▁ — ▁but ▁shop workers ▁' ▁average ▁annual ▁wages ▁would ▁fall ▁by ▁£ ▁170 , ▁for ▁they ▁would ▁miss ▁out ▁on ▁higher ▁Sunday ▁pay ▁- ▁rates .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB VERB DET NOUN ADP DET NUM NUM ADP DET NOUN ADP ADJ NOUN PUNCT PUNCT ADP ADJ ADJ NOUN NOUN NOUN VERB VERB NOUN VERB PUNCT PUNCT CCONJ NOUN NOUN PART ADJ ADJ NOUN VERB VERB ADP SYM NUM NUM ADP PRON VERB VERB PART ADP ADJ PROPN NOUN PUNCT NOUN NOUN
Nevertheless, there remains a nagging sense that universities are luxuries now that ordinary people are struggling to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADV ADV VERB DET ADJ NOUN ADP NOUN VERB NOUN ADV ADP ADJ NOUN VERB VERB PART VERB NOUN VERB	▁Nevertheless , ▁there ▁remains ▁a ▁n agging ▁sense ▁that ▁universities ▁are ▁lux ur ies ▁now ▁that ▁ordinary ▁people ▁are ▁struggling ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADV ADV VERB DET ADJ ADJ NOUN ADP NOUN VERB NOUN NOUN NOUN ADV ADP ADJ NOUN VERB VERB PART VERB NOUN VERB VERB
We know that many people in Britain who are on poverty wages, even if they are in more regular forms of work, simply can not make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON VERB ADP ADJ NOUN ADP PROPN NOUN VERB ADP NOUN NOUN ADV ADP PRON VERB ADP ADV ADJ NOUN ADP NOUN ADV VERB ADV VERB NOUN VERB	▁We ▁know ▁that ▁many ▁people ▁in ▁Britain ▁who ▁are ▁on ▁poverty ▁wages , ▁even ▁if ▁they ▁are ▁in ▁more ▁regular ▁forms ▁of ▁work , ▁simply ▁can ▁not ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADP ADJ NOUN ADP PROPN NOUN VERB ADP NOUN NOUN NOUN ADV ADP PRON VERB ADP ADV ADJ NOUN ADP NOUN NOUN ADV VERB ADV VERB NOUN VERB VERB
They have to struggle desperately every day to make ends meet.	0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON VERB PART VERB ADV DET NOUN PART VERB NOUN VERB	▁They ▁have ▁to ▁struggle ▁desperately ▁every ▁day ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB PART VERB ADV DET NOUN PART VERB NOUN VERB VERB
Farmers normally convert their farm bit by bit, in order to make ends meet until the conversion is complete.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	make ends meet	figurative	identical	NOUN ADV VERB ADJ NOUN NOUN ADP NOUN ADP NOUN PART VERB NOUN VERB ADP DET NOUN VERB ADJ	▁Farmers ▁normally ▁convert ▁their ▁farm ▁bit ▁by ▁bit , ▁in ▁order ▁to ▁make ▁ends ▁meet ▁until ▁the ▁conversion ▁is ▁complete .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	NOUN ADV VERB ADJ NOUN NOUN ADP NOUN NOUN ADP NOUN PART VERB NOUN VERB ADP DET NOUN VERB ADJ ADJ
He had had three treasurers of England already, good men every one, and two treasurers of his own household, and none of them had made ends meet yet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	make ends meet	figurative	inflection	PRON VERB VERB NUM NOUN ADP PROPN ADV ADJ NOUN DET NUM CCONJ NUM NOUN ADP ADJ ADJ NOUN CCONJ NOUN ADP PRON VERB VERB NOUN VERB ADV	▁He ▁had ▁had ▁three ▁treasure rs ▁of ▁England ▁already , ▁good ▁men ▁every ▁one , ▁and ▁two ▁treasure rs ▁of ▁his ▁own ▁household , ▁and ▁none ▁of ▁them ▁had ▁made ▁ends ▁meet ▁yet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	PRON VERB VERB NUM NOUN NOUN ADP PROPN ADV ADV ADJ NOUN DET NUM NUM CCONJ NUM NOUN NOUN ADP ADJ ADJ NOUN NOUN CCONJ NOUN ADP PRON VERB VERB NOUN VERB ADV ADV
He only mentioned his wife to tell me he 'd just bought her something new to wear and he tried to give me the impression his brother - in - law was something of a poor fish because he couldn't make ends meet.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	dashes	PRON ADV VERB ADJ NOUN PART VERB PRON PRON VERB ADV VERB ADJ NOUN ADJ PART VERB CCONJ PRON VERB PART VERB PRON DET NOUN ADJ NOUN PUNCT ADP PUNCT NOUN VERB NOUN ADP DET ADJ NOUN ADP PRON VERB VERB NOUN PROPN	▁He ▁only ▁mentioned ▁his ▁wife ▁to ▁tell ▁me ▁he ▁' d ▁just ▁bought ▁her ▁something ▁new ▁to ▁wear ▁and ▁he ▁tried ▁to ▁give ▁me ▁the ▁impression ▁his ▁brother ▁- ▁in ▁- ▁law ▁was ▁something ▁of ▁a ▁poor ▁fish ▁because ▁he ▁could n ' t ▁make ▁ends ▁meet . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON ADV VERB ADJ NOUN PART VERB PRON PRON VERB VERB ADV VERB ADJ NOUN ADJ PART VERB CCONJ PRON VERB PART VERB PRON DET NOUN ADJ NOUN PUNCT ADP PUNCT NOUN VERB NOUN ADP DET ADJ NOUN ADP PRON VERB VERB VERB VERB VERB NOUN PROPN PROPN PROPN
Consequently, they had the worry of juggling finances and trying to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADV PRON VERB DET NOUN ADP VERB NOUN CCONJ VERB PART VERB NOUN VERB	▁Consequently , ▁they ▁had ▁the ▁worry ▁of ▁ju gg ling ▁finances ▁and ▁trying ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADV PRON VERB DET NOUN ADP VERB VERB VERB NOUN CCONJ VERB PART VERB NOUN VERB VERB
That should be on the national Exchequer, not on those locally who are trying to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	DET VERB VERB ADP DET ADJ PROPN ADV ADP DET ADV NOUN VERB VERB PART VERB NOUN VERB	▁That ▁should ▁be ▁on ▁the ▁national ▁Ex che quer , ▁not ▁on ▁those ▁locally ▁who ▁are ▁trying ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET VERB VERB ADP DET ADJ PROPN PROPN PROPN PROPN ADV ADP DET ADV NOUN VERB VERB PART VERB NOUN VERB VERB
With the theatre now under financial siege, these are the only shows now possible to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADP DET NOUN ADV ADP ADJ NOUN DET VERB DET ADJ NOUN ADV ADJ PART VERB NOUN VERB	▁With ▁the ▁theatre ▁now ▁under ▁financial ▁si ege , ▁these ▁are ▁the ▁only ▁shows ▁now ▁possible ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP DET NOUN ADV ADP ADJ NOUN NOUN NOUN DET VERB DET ADJ NOUN ADV ADJ PART VERB NOUN VERB VERB
She no longer had the money to make ends meet.	0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON ADV ADV VERB DET NOUN PART VERB NOUN VERB	▁She ▁no ▁longer ▁had ▁the ▁money ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 1 1 1 1	PRON ADV ADV VERB DET NOUN PART VERB NOUN VERB VERB
In the fight to make ends meet, she was obliged to surround herself with people.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	ADP DET NOUN PART VERB NOUN VERB PRON VERB VERB PART VERB PRON ADP NOUN	▁In ▁the ▁fight ▁to ▁make ▁ends ▁meet , ▁she ▁was ▁obliged ▁to ▁surround ▁herself ▁with ▁people .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	ADP DET NOUN PART VERB NOUN VERB VERB PRON VERB VERB PART VERB PRON ADP NOUN NOUN
As a small company of 15 boys we find it hard to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADP DET ADJ NOUN ADP NUM NOUN PRON VERB PRON ADJ PART VERB NOUN VERB	▁As ▁a ▁small ▁company ▁of ▁15 ▁boys ▁we ▁find ▁it ▁hard ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP DET ADJ NOUN ADP NUM NOUN PRON VERB PRON ADJ PART VERB NOUN VERB VERB
You do get a lot of tension trying to make ends meet …	0 0 0 0 0 0 0 0 0 1 1 1 0	make ends meet	figurative	identical	PRON VERB VERB DET NOUN ADP NOUN VERB PART VERB NOUN VERB PUNCT	▁You ▁do ▁get ▁a ▁lot ▁of ▁tension ▁trying ▁to ▁make ▁ends ▁meet ▁...	0 0 0 0 0 0 0 0 0 1 1 1 0	PRON VERB VERB DET NOUN ADP NOUN VERB PART VERB NOUN VERB PUNCT
Those borrowers finding difficulty in making ends meet when in work couldn't afford their homeloan payments when they were made redundant.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	inflection	DET NOUN VERB NOUN ADP VERB NOUN VERB ADV ADP NOUN VERB VERB ADJ NOUN NOUN ADV PRON VERB VERB ADJ	▁T hose ▁borrowers ▁finding ▁difficulty ▁in ▁making ▁ends ▁meet ▁when ▁in ▁work ▁could n ' t ▁afford ▁their ▁home lo an ▁payments ▁when ▁they ▁were ▁made ▁redundant .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET DET NOUN VERB NOUN ADP VERB NOUN VERB ADV ADP NOUN VERB VERB VERB VERB VERB ADJ NOUN NOUN NOUN NOUN ADV PRON VERB VERB ADJ ADJ
‘ While waiting for drama roles I did actually have to make ends meet in other ways such as selling advertising space.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	PUNCT ADP VERB ADP NOUN NOUN PRON VERB ADV VERB PART VERB NOUN VERB ADP ADJ NOUN ADJ ADP VERB NOUN NOUN	▁ ‘ ▁While ▁waiting ▁for ▁drama ▁roles ▁I ▁did ▁actually ▁have ▁to ▁make ▁ends ▁meet ▁in ▁other ▁ways ▁such ▁as ▁selling ▁advertising ▁space .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP VERB ADP NOUN NOUN PRON VERB ADV VERB PART VERB NOUN VERB ADP ADJ NOUN ADJ ADP VERB NOUN NOUN NOUN
These days, most women have to work to make ends meet and that means time away from their much - loved children and men.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	DET NOUN ADJ NOUN VERB PART VERB PART VERB NOUN VERB CCONJ DET VERB NOUN ADV ADP ADJ ADV PUNCT VERB NOUN CCONJ NOUN	▁These ▁days , ▁most ▁women ▁have ▁to ▁work ▁to ▁make ▁ends ▁meet ▁and ▁that ▁means ▁time ▁away ▁from ▁their ▁much ▁- ▁love d ▁children ▁and ▁men .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN ADJ NOUN VERB PART VERB PART VERB NOUN VERB CCONJ DET VERB NOUN ADV ADP ADJ ADV PUNCT VERB VERB NOUN CCONJ NOUN NOUN
Despite the opportunities opened out from the late eighteenth century by an expanding grain trade, a marked increase in the land available, and a steady rise in labour and money dues extracted from the peasantry, the nobility found it difficult to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADP DET NOUN VERB PART ADP DET ADJ ADJ NOUN ADP DET VERB NOUN NOUN DET ADJ NOUN ADP DET NOUN ADJ CCONJ DET ADJ NOUN ADP NOUN CCONJ NOUN NOUN VERB ADP DET NOUN DET NOUN VERB PRON ADJ PART VERB NOUN VERB	▁D espite ▁the ▁opportunities ▁opened ▁out ▁from ▁the ▁late ▁eighteen th ▁century ▁by ▁an ▁expanding ▁grain ▁trade , ▁a ▁marked ▁increase ▁in ▁the ▁land ▁available , ▁and ▁a ▁steady ▁rise ▁in ▁labour ▁and ▁money ▁due s ▁extracted ▁from ▁the ▁peas ant ry , ▁the ▁no bility ▁found ▁it ▁difficult ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP ADP DET NOUN VERB PART ADP DET ADJ ADJ ADJ NOUN ADP DET VERB NOUN NOUN NOUN DET ADJ NOUN ADP DET NOUN ADJ ADJ CCONJ DET ADJ NOUN ADP NOUN CCONJ NOUN NOUN NOUN VERB ADP DET NOUN NOUN NOUN NOUN DET NOUN NOUN VERB PRON ADJ PART VERB NOUN VERB VERB
It was no wonder that the journal had no easy task making ends meet.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	inflection	PRON VERB DET NOUN ADP DET NOUN VERB DET ADJ NOUN NOUN NOUN VERB	▁It ▁was ▁no ▁wonder ▁that ▁the ▁journal ▁had ▁no ▁easy ▁task ▁making ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB DET NOUN ADP DET NOUN VERB DET ADJ NOUN NOUN NOUN VERB VERB
The financial markets may be in retreat and the pound may be on a slippery slope, but it's not just the insolvency practitioners and bailiffs that are doing well ; some companies in sectors as diverse as retailing, restaurants and medical equipment are also doing more than just make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	DET ADJ NOUN VERB VERB ADP NOUN CCONJ DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ PRON ADV ADV DET NOUN NOUN CCONJ NOUN ADJ VERB VERB ADV PUNCT DET NOUN ADP NOUN ADV ADJ ADP NOUN NOUN CCONJ ADJ NOUN VERB ADV VERB ADJ ADP ADV VERB NOUN VERB	▁The ▁financial ▁markets ▁may ▁be ▁in ▁retreat ▁and ▁the ▁pound ▁may ▁be ▁on ▁a ▁slip per y ▁slope , ▁but ▁it ' s ▁not ▁just ▁the ▁insolvency ▁practitioners ▁and ▁bail iff s ▁that ▁are ▁doing ▁well ▁ ; ▁some ▁companies ▁in ▁sectors ▁as ▁diverse ▁as ▁retail ing , ▁restaurants ▁and ▁medical ▁equipment ▁are ▁also ▁doing ▁more ▁than ▁just ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET ADJ NOUN VERB VERB ADP NOUN CCONJ DET NOUN VERB VERB ADP DET ADJ ADJ ADJ NOUN NOUN CCONJ PRON PRON PRON ADV ADV DET NOUN NOUN CCONJ NOUN NOUN NOUN ADJ VERB VERB ADV PUNCT PUNCT DET NOUN ADP NOUN ADV ADJ ADP NOUN NOUN NOUN NOUN CCONJ ADJ NOUN VERB ADV VERB ADJ ADP ADV VERB NOUN VERB VERB
Women are up well before dawn and may have only five or six hours sleep a night in the effort to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	NOUN VERB ADV ADV ADP NOUN CCONJ VERB VERB ADV NUM CCONJ NUM NOUN VERB DET NOUN ADP DET NOUN PART VERB NOUN VERB	▁Women ▁are ▁up ▁well ▁before ▁dawn ▁and ▁may ▁have ▁only ▁five ▁or ▁six ▁hours ▁sleep ▁a ▁night ▁in ▁the ▁effort ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN VERB ADV ADV ADP NOUN CCONJ VERB VERB ADV NUM CCONJ NUM NOUN VERB DET NOUN ADP DET NOUN PART VERB NOUN VERB VERB
Mary can't make ends meet on her pension.	0 0 1 1 1 0 0 0	make ends meet	figurative	identical	PROPN VERB VERB NOUN VERB ADP ADJ NOUN	▁Mary ▁can ' t ▁make ▁ends ▁meet ▁on ▁her ▁pension .	0 0 0 0 1 1 1 0 0 0 0	PROPN VERB VERB VERB VERB NOUN VERB ADP ADJ NOUN NOUN
The level of the basic retirement pension is such that those who rely on it must either live a frugal existence ( Holman, 1986 ), take part time jobs for as long as possible to make ends meet or claim income support.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	make ends meet	figurative	identical	DET NOUN ADP DET ADJ NOUN NOUN VERB ADJ ADP DET NOUN VERB ADP PRON VERB CCONJ VERB DET ADJ NOUN PUNCT PROPN NUM PUNCT VERB NOUN NOUN NOUN ADP ADV ADV ADP ADJ PART VERB NOUN VERB CCONJ VERB NOUN NOUN	▁The ▁level ▁of ▁the ▁basic ▁retirement ▁pension ▁is ▁such ▁that ▁those ▁who ▁rely ▁on ▁it ▁must ▁either ▁live ▁a ▁f rug al ▁existence ▁( ▁H olman , ▁1986 ▁ ), ▁take ▁part ▁time ▁jobs ▁for ▁as ▁long ▁as ▁possible ▁to ▁make ▁ends ▁meet ▁or ▁claim ▁income ▁support .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	DET NOUN ADP DET ADJ NOUN NOUN VERB ADJ ADP DET NOUN VERB ADP PRON VERB CCONJ VERB DET ADJ ADJ ADJ NOUN PUNCT PROPN PROPN PROPN NUM PUNCT PUNCT VERB NOUN NOUN NOUN ADP ADV ADV ADP ADJ PART VERB NOUN VERB CCONJ VERB NOUN NOUN NOUN
The recent fixed - rate mortgage offers, such as those from the Halifax ( fixed rate at 10.80 % for five years ) and National Westminster Bank ( 10.95 % for two years ) may look attractive if one was paying 15.75 % in 1989 and found it all but impossible to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	DET ADJ VERB PUNCT NOUN NOUN VERB ADJ ADP DET ADP DET PROPN PUNCT VERB NOUN ADP NUM NOUN ADP NUM NOUN PUNCT CCONJ PROPN PROPN PROPN PUNCT NUM NOUN ADP NUM NOUN PUNCT VERB VERB ADJ ADP NUM VERB VERB NUM NOUN ADP NUM CCONJ VERB PRON DET CCONJ ADJ PART VERB NOUN VERB	▁The ▁recent ▁fixed ▁- ▁rate ▁mortgage ▁offers , ▁such ▁as ▁those ▁from ▁the ▁H ali fax ▁( ▁fixed ▁rate ▁at ▁10. 80 ▁% ▁for ▁five ▁years ▁ ) ▁and ▁National ▁West min ster ▁Bank ▁( ▁10. 95 ▁% ▁for ▁two ▁years ▁ ) ▁may ▁look ▁attractive ▁if ▁one ▁was ▁paying ▁15 .75 ▁% ▁in ▁1989 ▁and ▁found ▁it ▁all ▁but ▁impossible ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET ADJ VERB PUNCT NOUN NOUN VERB VERB ADJ ADP DET ADP DET PROPN PROPN PROPN PUNCT VERB NOUN ADP NUM NUM NOUN ADP NUM NOUN PUNCT PUNCT CCONJ PROPN PROPN PROPN PROPN PROPN PUNCT NUM NUM NOUN ADP NUM NOUN PUNCT PUNCT VERB VERB ADJ ADP NUM VERB VERB NUM NUM NOUN ADP NUM CCONJ VERB PRON DET CCONJ ADJ PART VERB NOUN VERB VERB
Things have been getting steadily worse — all our investments are down — and long before this last attack of Daddy's, it was almost impossible to make both ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	make ends meet	figurative	inflection	NOUN VERB VERB VERB ADV ADJ PUNCT ADJ ADJ NOUN VERB ADV PUNCT CCONJ ADV ADP DET ADJ NOUN ADP NOUN PRON VERB ADV ADJ PART VERB DET NOUN VERB	▁Things ▁have ▁been ▁gett ing ▁steadily ▁worse ▁ — ▁all ▁our ▁investments ▁are ▁down ▁ — ▁and ▁long ▁before ▁this ▁last ▁attack ▁of ▁D add y ' s , ▁it ▁was ▁almost ▁impossible ▁to ▁make ▁both ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	NOUN VERB VERB VERB VERB ADV ADJ PUNCT PUNCT ADJ ADJ NOUN VERB ADV PUNCT PUNCT CCONJ ADV ADP DET ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN PRON VERB ADV ADJ PART VERB DET NOUN VERB VERB
Tom could barely make ends meet when he was in his early twenties.	0 0 0 1 1 1 0 0 0 0 0 0 0	make ends meet	figurative	identical	PROPN VERB ADV VERB NOUN VERB ADV PRON VERB ADP ADJ ADJ NOUN	▁Tom ▁could ▁barely ▁make ▁ends ▁meet ▁when ▁he ▁was ▁in ▁his ▁early ▁t went ies .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PROPN VERB ADV VERB NOUN VERB ADV PRON VERB ADP ADJ ADJ NOUN NOUN NOUN NOUN
But while the arguments continue in Westminster, families such as the Grassies's are hoping the reforms will make it easier rather than harder to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	CCONJ ADP DET NOUN VERB ADP PROPN NOUN ADJ ADP DET PROPN VERB VERB DET NOUN VERB VERB PRON ADJ ADV ADP ADJ PART VERB NOUN VERB	▁But ▁while ▁the ▁arguments ▁continue ▁in ▁West min ster , ▁families ▁such ▁as ▁the ▁Gra s s ies ' s ▁are ▁hoping ▁the ▁reforms ▁will ▁make ▁it ▁easier ▁rather ▁than ▁harder ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ ADP DET NOUN VERB ADP PROPN PROPN PROPN PROPN NOUN ADJ ADP DET PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN VERB VERB PRON ADJ ADV ADP ADJ PART VERB NOUN VERB VERB
We were having to make ends meet.	0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON VERB VERB PART VERB NOUN VERB	▁We ▁were ▁having ▁to ▁make ▁ends ▁meet .	0 0 0 0 1 1 1 1	PRON VERB VERB PART VERB NOUN VERB VERB
