More job losses are in the pipeline.	0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN NOUN VERB ADP DET NOUN	▁More ▁job ▁losses ▁are ▁in ▁the ▁pipeline .	0 0 0 0 1 0 1 1	ADJ NOUN NOUN VERB ADP DET NOUN NOUN
By 1987 the UK had 28 EZs, 6 UDCs and 6 Freeports, with several other ‘ mini - UDCs’ in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP NUM DET PROPN VERB NUM NOUN NUM NOUN CCONJ NUM PROPN ADP ADJ ADJ PUNCT ADJ PUNCT NOUN ADP DET NOUN	▁By ▁1987 ▁the ▁UK ▁had ▁28 ▁ EZ s , ▁6 ▁U DC s ▁and ▁6 ▁Free port s , ▁with ▁several ▁other ▁ ‘ ▁mini ▁- ▁U DC s ’ ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP NUM DET PROPN VERB NUM NOUN NOUN NOUN NOUN NUM NOUN NOUN NOUN CCONJ NUM PROPN PROPN PROPN PROPN ADP ADJ ADJ PUNCT PUNCT ADJ PUNCT NOUN NOUN NOUN NOUN ADP DET NOUN NOUN
The excellent Mell'O’, ably assisted by co - rappers Sparkie & Flint and DJ Pogo, bravely plump for an all - new set that indicates a stunning new LP in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET ADJ NOUN ADV VERB ADP NOUN PUNCT NOUN PROPN CCONJ PROPN CCONJ PROPN PROPN ADV VERB ADP DET ADV PUNCT ADJ NOUN ADJ VERB DET ADJ ADJ PROPN ADP DET NOUN	▁The ▁excellent ▁M ell ' O ’ , ▁ ably ▁assisted ▁by ▁co ▁- ▁ rap pers ▁Spark ie ▁& ▁F lin t ▁and ▁D J ▁Po go , ▁brave ly ▁plum p ▁for ▁an ▁all ▁- ▁new ▁set ▁that ▁indicates ▁a ▁stunning ▁new ▁L P ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET ADJ NOUN NOUN NOUN NOUN NOUN NOUN ADV ADV VERB ADP NOUN PUNCT NOUN NOUN NOUN PROPN PROPN CCONJ PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN ADV ADV VERB VERB ADP DET ADV PUNCT ADJ NOUN ADJ VERB DET ADJ ADJ PROPN PROPN ADP DET NOUN NOUN
Nevertheless, deregulation only applies to occupation agreements made after 15 January 1989, and many potential cases are still in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV NOUN ADV VERB ADP NOUN NOUN VERB ADP NUM PROPN NUM CCONJ ADJ ADJ NOUN VERB ADV ADP DET NOUN	▁Nevertheless , ▁deregulation ▁only ▁applies ▁to ▁occupation ▁agreements ▁made ▁after ▁15 ▁January ▁1989, ▁and ▁many ▁potential ▁cases ▁are ▁still ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADV NOUN ADV VERB ADP NOUN NOUN VERB ADP NUM PROPN NUM CCONJ ADJ ADJ NOUN VERB ADV ADP DET NOUN NOUN
He is also writing to John McGregor, the Education Secretary, urging him not only to abandon the idea of additional CTCs but to hand over those in the pipeline to local authorities.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the pipeline	figurative	identical	PRON VERB ADV VERB ADP PROPN PROPN DET PROPN PROPN VERB PRON ADV ADV PART VERB DET NOUN ADP ADJ NOUN CCONJ PART VERB PART DET ADP DET NOUN ADP ADJ NOUN	▁He ▁is ▁also ▁writing ▁to ▁John ▁McG reg or , ▁the ▁Education ▁Secretary , ▁ urging ▁him ▁not ▁only ▁to ▁abandon ▁the ▁idea ▁of ▁additional ▁C TC s ▁but ▁to ▁hand ▁over ▁those ▁in ▁the ▁pipeline ▁to ▁local ▁authorities .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PRON VERB ADV VERB ADP PROPN PROPN PROPN PROPN PROPN DET PROPN PROPN PROPN VERB VERB PRON ADV ADV PART VERB DET NOUN ADP ADJ NOUN NOUN NOUN CCONJ PART VERB PART DET ADP DET NOUN ADP ADJ NOUN NOUN
City Lives may eventually generate income as material is published — a book based on the interviews is already in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN NOUN VERB ADV VERB NOUN ADP NOUN VERB VERB PUNCT DET NOUN VERB ADP DET NOUN VERB ADV ADP DET NOUN	▁City ▁Live s ▁may ▁eventually ▁generate ▁income ▁as ▁material ▁is ▁published ▁ — ▁a ▁book ▁based ▁on ▁the ▁interview s ▁is ▁already ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN NOUN VERB ADV VERB NOUN ADP NOUN VERB VERB PUNCT PUNCT DET NOUN VERB ADP DET NOUN NOUN VERB ADV ADP DET NOUN NOUN
The Sri Lankan presidential adviser Bradman Weerakoon said on July 6 that UK aid " in the pipeline " was continuing without interruption.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the pipeline	figurative	identical	DET PROPN PROPN ADJ NOUN PROPN PROPN VERB ADP PROPN NUM ADP PROPN NOUN PUNCT ADP DET NOUN PUNCT VERB VERB ADP NOUN	▁The ▁S ri ▁Lanka n ▁presidential ▁adviser ▁B rad man ▁We er ak oon ▁said ▁on ▁July ▁6 ▁that ▁UK ▁aid ▁" ▁in ▁the ▁pipeline ▁" ▁was ▁continuing ▁without ▁interruption .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP PROPN NUM ADP PROPN NOUN PUNCT ADP DET NOUN PUNCT VERB VERB ADP NOUN NOUN
In our medical blocks oxygen was laid on in pipelines, but as surgical patients seldom needed continuous oxygen for long periods, the surgical side still used cylinders.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	literal	deletion-determiner	ADP ADJ ADJ NOUN NOUN VERB VERB PART ADP NOUN CCONJ ADP ADJ NOUN ADV VERB ADJ NOUN ADP ADJ NOUN DET ADJ NOUN ADV VERB NOUN	▁In ▁our ▁medical ▁blocks ▁oxygen ▁was ▁laid ▁on ▁in ▁pipelines , ▁but ▁as ▁surgical ▁patients ▁seldom ▁needed ▁continuous ▁oxygen ▁for ▁long ▁periods , ▁the ▁surgical ▁side ▁still ▁used ▁cylinders .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ ADJ NOUN NOUN VERB VERB PART ADP NOUN NOUN CCONJ ADP ADJ NOUN ADV VERB ADJ NOUN ADP ADJ NOUN NOUN DET ADJ NOUN ADV VERB NOUN NOUN
However, union officials believed more merger proposals were in the pipeline.	0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV NOUN NOUN VERB ADJ NOUN NOUN VERB ADP DET NOUN	▁However , ▁union ▁officials ▁believed ▁more ▁merger ▁proposals ▁were ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADV NOUN NOUN VERB ADJ NOUN NOUN VERB ADP DET NOUN NOUN
Today, this business has a turnover of only £ 10 m a year but there are some interesting new products in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN DET NOUN VERB DET NOUN ADP ADV SYM NUM NOUN DET NOUN CCONJ ADV VERB DET ADJ ADJ NOUN ADP DET NOUN	▁Today , ▁this ▁business ▁has ▁a ▁turnover ▁of ▁only ▁£ ▁10 ▁m ▁a ▁year ▁but ▁there ▁are ▁some ▁interesting ▁new ▁products ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN DET NOUN VERB DET NOUN ADP ADV SYM NUM NOUN DET NOUN CCONJ ADV VERB DET ADJ ADJ NOUN ADP DET NOUN NOUN
A computerised version is in the pipeline along with a training pack.	0 0 0 0 1 0 1 0 0 0 0 0	in the pipeline	figurative	identical	DET ADJ NOUN VERB ADP DET NOUN ADP ADP DET NOUN NOUN	▁A ▁computerised ▁version ▁is ▁in ▁the ▁pipeline ▁along ▁with ▁a ▁training ▁pack .	0 0 0 0 1 0 1 0 0 0 0 0 0	DET ADJ NOUN VERB ADP DET NOUN ADP ADP DET NOUN NOUN NOUN
When does the right hon. Gentleman expect the next tranche of type 23 orders, to which he did not refer in his statement, to be in the pipeline and when can we expect the next round of tendering to start for those?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV VERB DET ADJ NOUN PROPN VERB DET ADJ NOUN ADP NOUN NUM NOUN PART ADJ PRON VERB ADV VERB ADP ADJ NOUN PART VERB ADP DET NOUN CCONJ ADV VERB PRON VERB DET ADJ NOUN ADP VERB PART VERB ADP DET	▁When ▁does ▁the ▁right ▁ hon . ▁Gen tle man ▁expect ▁the ▁next ▁tranche ▁of ▁type ▁23 ▁orders , ▁to ▁which ▁he ▁did ▁not ▁refer ▁in ▁his ▁statement , ▁to ▁be ▁in ▁the ▁pipeline ▁and ▁when ▁can ▁we ▁expect ▁the ▁next ▁round ▁of ▁tendering ▁to ▁start ▁for ▁those ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET ADJ NOUN NOUN NOUN PROPN PROPN PROPN VERB DET ADJ NOUN ADP NOUN NUM NOUN NOUN PART ADJ PRON VERB ADV VERB ADP ADJ NOUN NOUN PART VERB ADP DET NOUN CCONJ ADV VERB PRON VERB DET ADJ NOUN ADP VERB PART VERB ADP DET DET
Somehow he always managed to play off one creditor against another, claiming he was just awaiting payment for some big deal or other that was in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV PRON ADV VERB PART VERB PART NUM NOUN ADP DET VERB PRON VERB ADV VERB NOUN ADP DET ADJ NOUN CCONJ ADJ ADJ VERB ADP DET NOUN	▁Some how ▁he ▁always ▁managed ▁to ▁play ▁off ▁one ▁creditor ▁against ▁another , ▁claiming ▁he ▁was ▁just ▁a waiting ▁payment ▁for ▁some ▁big ▁deal ▁or ▁other ▁that ▁was ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADV PRON ADV VERB PART VERB PART NUM NOUN ADP DET DET VERB PRON VERB ADV VERB VERB NOUN ADP DET ADJ NOUN CCONJ ADJ ADJ VERB ADP DET NOUN NOUN
On Feb. 6 the World Bank for the first time made major loans to Poland for structural adjustment purposes, totalling $ 360,000,000, while indicating that loans in the pipeline could total five times that amount in 1990.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADP PROPN NUM DET PROPN PROPN ADP DET ADJ NOUN VERB ADJ NOUN ADP PROPN ADP ADJ NOUN NOUN VERB SYM NUM ADP VERB ADP NOUN ADP DET NOUN VERB VERB NUM NOUN DET NOUN ADP NUM	▁On ▁Feb . ▁6 ▁the ▁World ▁Bank ▁for ▁the ▁first ▁time ▁made ▁major ▁loans ▁to ▁Poland ▁for ▁structural ▁adjustment ▁purposes , ▁to talling ▁$ ▁36 0,00 0,000 , ▁while ▁indicating ▁that ▁loans ▁in ▁the ▁pipeline ▁could ▁total ▁five ▁times ▁that ▁amount ▁in ▁1990 .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN NUM DET PROPN PROPN ADP DET ADJ NOUN VERB ADJ NOUN ADP PROPN ADP ADJ NOUN NOUN NOUN VERB VERB SYM NUM NUM NUM NUM ADP VERB ADP NOUN ADP DET NOUN VERB VERB NUM NOUN DET NOUN ADP NUM NUM
Yes, yes, our intelligence is that erm planned meetings, in other words, planned violence is in the pipeline for Sardinia, which means the Dutch and English fans.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	INTJ INTJ ADJ NOUN VERB ADP NOUN VERB NOUN ADP ADJ NOUN VERB NOUN VERB ADP DET NOUN ADP PROPN ADJ VERB DET ADJ CCONJ ADJ NOUN	▁Yes , ▁yes , ▁our ▁intelligence ▁is ▁that ▁er m ▁planned ▁meetings , ▁in ▁other ▁words , ▁planned ▁violence ▁is ▁in ▁the ▁pipeline ▁for ▁Sardinia , ▁which ▁means ▁the ▁Dutch ▁and ▁English ▁fans .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ INTJ ADJ NOUN VERB ADP NOUN NOUN VERB NOUN NOUN ADP ADJ NOUN NOUN VERB NOUN VERB ADP DET NOUN ADP PROPN PROPN ADJ VERB DET ADJ CCONJ ADJ NOUN NOUN
And that's where we need to contact what is in the pipeline	0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ DET ADV PRON VERB PART VERB NOUN VERB ADP DET NOUN	▁And ▁that ' s ▁where ▁we ▁need ▁to ▁contact ▁what ▁is ▁in ▁the ▁pipeline	0 0 0 0 0 0 0 0 0 0 0 1 0 1	CCONJ DET DET DET ADV PRON VERB PART VERB NOUN VERB ADP DET NOUN
With more initiatives in the pipeline, this growth in our sphere of influences in the industry will continue to develop and, in time, fuel growth in our membership.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADP ADJ NOUN ADP DET NOUN DET NOUN ADP ADJ NOUN ADP NOUN ADP DET NOUN VERB VERB PART VERB CCONJ ADP NOUN NOUN NOUN ADP ADJ NOUN	▁With ▁more ▁initiatives ▁in ▁the ▁pipeline , ▁this ▁growth ▁in ▁our ▁sphere ▁of ▁influence s ▁in ▁the ▁industry ▁will ▁continue ▁to ▁develop ▁and , ▁in ▁time , ▁fuel ▁growth ▁in ▁our ▁membership .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN ADP DET NOUN NOUN DET NOUN ADP ADJ NOUN ADP NOUN NOUN ADP DET NOUN VERB VERB PART VERB CCONJ CCONJ ADP NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN
Versions for Microsoft Corp's Windows NT and IBM Corp's OS/2 2.0 are also in the pipeline, as are new releases of native Pick and Pick for MD - DOS.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN NUM VERB ADV ADP DET NOUN ADP VERB ADJ NOUN ADP ADJ PROPN CCONJ PROPN ADP PROPN PUNCT PROPN	▁Version s ▁for ▁Microsoft ▁Corp ' s ▁Window s ▁NT ▁and ▁IBM ▁Corp ' s ▁O S /2 ▁2.0 ▁are ▁also ▁in ▁the ▁pipeline , ▁as ▁are ▁new ▁releases ▁of ▁native ▁P ick ▁and ▁P ick ▁for ▁ MD ▁- ▁D OS .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN NUM VERB ADV ADP DET NOUN NOUN ADP VERB ADJ NOUN ADP ADJ PROPN PROPN CCONJ PROPN PROPN ADP PROPN PROPN PUNCT PROPN PROPN PROPN
PLANS to spruce up Middlesbrough's cemeteries are in the pipeline.	0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN PART VERB PART PROPN NOUN VERB ADP DET NOUN	▁PLAN S ▁to ▁sp ru ce ▁up ▁Middle s b rough ' s ▁ce meter ies ▁are ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN PART VERB VERB VERB PART PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN VERB ADP DET NOUN NOUN
Accordingly some have radical developments recently completed, on hand or in the pipeline, and others wish they had.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the pipeline	figurative	identical	ADV DET VERB ADJ NOUN ADV VERB ADP NOUN CCONJ ADP DET NOUN CCONJ NOUN VERB PRON VERB	▁Accordingly ▁some ▁have ▁radical ▁developments ▁recently ▁completed , ▁on ▁hand ▁or ▁in ▁the ▁pipeline , ▁and ▁others ▁wish ▁they ▁had .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	ADV DET VERB ADJ NOUN ADV VERB VERB ADP NOUN CCONJ ADP DET NOUN NOUN CCONJ NOUN VERB PRON VERB VERB
But that's not all — Lynch plans to make his Twin Peaks movie series almost as long as the TV series with a third and possibly fourth in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ DET ADV DET PUNCT PROPN NOUN PART VERB ADJ PROPN PROPN NOUN NOUN ADV ADV ADV ADP DET NOUN NOUN ADP DET ADJ CCONJ ADV ADV ADP DET NOUN	▁But ▁that ' s ▁not ▁all ▁ — ▁L y nch ▁plans ▁to ▁make ▁his ▁Twin ▁Peak s ▁mo vie ▁series ▁almost ▁as ▁long ▁as ▁the ▁TV ▁series ▁with ▁a ▁third ▁and ▁possibly ▁fourth ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ DET DET DET ADV DET PUNCT PUNCT PROPN PROPN PROPN NOUN PART VERB ADJ PROPN PROPN PROPN NOUN NOUN NOUN ADV ADV ADV ADP DET NOUN NOUN ADP DET ADJ CCONJ ADV ADV ADP DET NOUN NOUN
P - Gel is a new semi - fluid adaptation of the same system, with a new intelligent Super - Gel rumoured to be in the technical pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the pipeline	figurative	insertion-other	NOUN PUNCT PROPN VERB DET ADJ NOUN PUNCT NOUN NOUN ADP DET ADJ NOUN ADP DET ADJ ADJ PROPN PUNCT PROPN VERB PART VERB ADP DET ADJ NOUN	▁P ▁- ▁Gel ▁is ▁a ▁new ▁semi ▁- ▁fluid ▁adaptation ▁of ▁the ▁same ▁system , ▁with ▁a ▁new ▁intelligent ▁Super ▁- ▁Gel ▁r umour ed ▁to ▁be ▁in ▁the ▁technical ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	NOUN PUNCT PROPN VERB DET ADJ NOUN PUNCT NOUN NOUN ADP DET ADJ NOUN NOUN ADP DET ADJ ADJ PROPN PUNCT PROPN VERB VERB VERB PART VERB ADP DET ADJ NOUN NOUN
Well the thing if we did it with our as they keep saying there's some, there's so much in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	INTJ DET NOUN ADP PRON VERB PRON ADP ADJ ADP PRON VERB VERB ADV DET ADV ADV ADJ ADP DET NOUN	▁Well ▁the ▁thing ▁if ▁we ▁did ▁it ▁with ▁our ▁as ▁they ▁keep ▁saying ▁there ' s ▁some , ▁there ' s ▁so ▁much ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	INTJ DET NOUN ADP PRON VERB PRON ADP ADJ ADP PRON VERB VERB ADV ADV ADV DET DET ADV ADV ADV ADV ADJ ADP DET NOUN NOUN
And we should just sort of say what is necessary to find out and everybody gets a few telephone numbers or telephone calls check out addresses find out about new ones, get in contact with the district council erm what is in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ PRON VERB ADV ADV ADV VERB NOUN VERB ADJ PART VERB PART CCONJ NOUN VERB DET ADJ NOUN NOUN CCONJ NOUN NOUN VERB PART NOUN VERB PART ADP ADJ NOUN VERB ADP NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADP DET NOUN	▁And ▁we ▁should ▁just ▁sort ▁of ▁say ▁what ▁is ▁necessary ▁to ▁find ▁out ▁and ▁everybody ▁get s ▁a ▁few ▁telephone ▁numbers ▁or ▁telephone ▁calls ▁check ▁out ▁addresses ▁find ▁out ▁about ▁new ▁ones , ▁get ▁in ▁contact ▁with ▁the ▁district ▁council ▁er m ▁what ▁is ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ PRON VERB ADV ADV ADV VERB NOUN VERB ADJ PART VERB PART CCONJ NOUN VERB VERB DET ADJ NOUN NOUN CCONJ NOUN NOUN VERB PART NOUN VERB PART ADP ADJ NOUN NOUN VERB ADP NOUN ADP DET NOUN NOUN NOUN NOUN NOUN VERB ADP DET NOUN NOUN
In the turbulent world of the water industry there could be a few more shocks in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP DET ADJ NOUN ADP DET NOUN NOUN ADV VERB VERB DET ADJ ADJ NOUN ADP DET NOUN	▁In ▁the ▁ tur bul ent ▁world ▁of ▁the ▁water ▁industry ▁there ▁could ▁be ▁a ▁few ▁more ▁shocks ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET ADJ ADJ ADJ ADJ NOUN ADP DET NOUN NOUN ADV VERB VERB DET ADJ ADJ NOUN ADP DET NOUN NOUN
He will, however, have to start defending them and other decisions still in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PRON VERB ADV VERB PART VERB VERB PRON CCONJ ADJ NOUN ADV ADP DET NOUN	▁He ▁will , ▁however , ▁have ▁to ▁start ▁defend ing ▁them ▁and ▁other ▁decisions ▁still ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADV ADV VERB PART VERB VERB VERB PRON CCONJ ADJ NOUN ADV ADP DET NOUN NOUN
Oh she's, oh so it's just in the er pipeline at the moment is it?	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	in the pipeline	figurative	insertion-other	INTJ PRON INTJ ADV PRON ADV ADP DET INTJ NOUN ADP DET NOUN VERB PRON	▁O h ▁she ' s , ▁ oh ▁so ▁it ' s ▁just ▁in ▁the ▁er ▁pipeline ▁at ▁the ▁moment ▁is ▁it ?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	INTJ INTJ PRON PRON PRON PRON INTJ INTJ ADV PRON PRON PRON ADV ADP DET INTJ NOUN ADP DET NOUN VERB PRON PRON
The last grants to pass the great seal ( although others were in the pipeline ) were the appointments of the chief baron of the exchequer and two serjeants at law on 14 and 15 June — a last attempt by the establishment to pretend that it was business as normal.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET ADJ NOUN PART VERB DET ADJ NOUN PUNCT ADP NOUN VERB ADP DET NOUN PUNCT VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ NUM NOUN ADP NOUN ADP NUM CCONJ NUM PROPN PUNCT DET ADJ NOUN ADP DET NOUN PART VERB ADP PRON VERB NOUN ADV ADJ	▁The ▁last ▁grants ▁to ▁pass ▁the ▁great ▁seal ▁( ▁although ▁others ▁were ▁in ▁the ▁pipeline ▁ ) ▁were ▁the ▁appointments ▁of ▁the ▁chief ▁bar on ▁of ▁the ▁ex che quer ▁and ▁two ▁ser je ants ▁at ▁law ▁on ▁14 ▁and ▁15 ▁June ▁ — ▁a ▁last ▁attempt ▁by ▁the ▁establishment ▁to ▁pretend ▁that ▁it ▁was ▁business ▁as ▁normal .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN PART VERB DET ADJ NOUN PUNCT ADP NOUN VERB ADP DET NOUN PUNCT PUNCT VERB DET NOUN ADP DET ADJ NOUN NOUN ADP DET NOUN NOUN NOUN CCONJ NUM NOUN NOUN NOUN ADP NOUN ADP NUM CCONJ NUM PROPN PUNCT PUNCT DET ADJ NOUN ADP DET NOUN PART VERB ADP PRON VERB NOUN ADV ADJ ADJ
Versions for Windows ~ Ç95 and Windows ~ NT are in the pipeline.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN ADP PROPN PUNCT ADJ CCONJ PROPN PUNCT PROPN VERB ADP DET NOUN	▁Version s ▁for ▁Window s ▁ ~ ▁ Ç 95 ▁and ▁Window s ▁ ~ ▁NT ▁are ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN ADP PROPN PROPN PUNCT PUNCT ADJ ADJ ADJ CCONJ PROPN PROPN PUNCT PUNCT PROPN VERB ADP DET NOUN NOUN
