On the face of it, the decision in three cases suggests that the reader's client has little hope.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN ADP NUM NOUN VERB ADP DET NOUN NOUN VERB ADJ NOUN
On the face of it gross profit rates showed a steady decline over the 1960s and a dramatic fall between 1970 and 1975 from 23 per cent to 13 percent ; if capital consumption is taken into account the fall was from 17 to 4 per cent.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADJ NOUN NOUN VERB DET ADJ NOUN ADP DET NOUN CCONJ DET ADJ NOUN ADP NUM CCONJ NUM ADP NUM ADP NOUN ADP NUM NOUN PUNCT ADP NOUN NOUN VERB VERB ADP NOUN DET NOUN VERB ADP NUM PART NUM NOUN NOUN
On the face of it, the absence of such studies is surprising.	1 0 1 1 1 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN ADP ADJ NOUN VERB ADJ
On the face of it, hand - composition in letterpress printing seemed to be well suited to women's " dexterity ".	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON NOUN PUNCT NOUN ADP ADJ NOUN VERB PART VERB ADV ADJ ADP NOUN PUNCT NOUN PUNCT
No one surely needs reminding of the intimate ( and, on the face of it, incongruous ) relationship between advertising and surrealism — the surrealism of Magritte in particular.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN ADV VERB NOUN ADP DET ADJ PUNCT CCONJ ADP DET NOUN ADP PRON ADJ PUNCT NOUN ADP NOUN CCONJ NOUN PUNCT DET NOUN ADP PROPN ADP ADJ
And there's the question of the yellow muslin dress — not on the face of it a central matter but … but again there is this sense of one's fate having been manipulated by another.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ ADV DET NOUN ADP DET ADJ NOUN NOUN PUNCT ADV ADP DET NOUN ADP PRON DET ADJ NOUN CCONJ PUNCT CCONJ ADV ADV VERB DET NOUN ADP NOUN NOUN VERB VERB VERB ADP DET
On the face of it, such high commissions suggest a lack of price competitiveness, but as noted above, large institutional buyers are able to force distributors to share all or part of the selling concession, and prices may thus be lower than they appear.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADJ ADJ NOUN VERB DET NOUN ADP NOUN NOUN CCONJ ADP VERB ADV ADJ ADJ NOUN VERB ADJ PART VERB NOUN PART VERB DET CCONJ NOUN ADP DET VERB NOUN CCONJ NOUN VERB ADV VERB ADJ ADP PRON VERB
So really it's for information Chairman, but it's a watch this space one, I think, because, I think there is probably more behind the steps that have been taken here, as we 're seeing on the face of it at the moment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	on the face of it	figurative	identical	ADV ADV PRON ADP NOUN PROPN CCONJ PRON DET NOUN DET NOUN NUM PRON VERB ADP PRON VERB ADV VERB ADV ADJ ADP DET NOUN ADJ VERB VERB VERB ADV ADP PRON VERB VERB ADP DET NOUN ADP PRON ADP DET NOUN
On the face of it the latter view certainly seems the more rational, since the two states in question appear to contain elements that are inherently irreconcilable.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET ADJ NOUN ADV VERB DET ADV ADJ ADP DET NUM NOUN ADP NOUN VERB PART VERB NOUN ADJ VERB ADV ADJ
It, it is, it, it is seen as a possibility that if you use carry forwards as a way of finding the reductions, A you wouldn't actually reduce a service on the face of it, and you would also, it would also give you a chance to examine where those reductions in services could be found in the coming months, er, rather than take decisions immediately.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PRON PRON VERB PRON PRON VERB VERB ADP DET NOUN ADP ADP PRON VERB VERB PART ADP DET NOUN ADP VERB DET NOUN DET PRON VERB ADV VERB DET NOUN ADP DET NOUN ADP PRON CCONJ PRON VERB ADV PRON VERB ADV VERB PRON DET NOUN PART VERB ADV DET NOUN ADP NOUN VERB VERB VERB ADP DET ADJ NOUN INTJ ADV ADP VERB NOUN ADV
' On the face of it, it seems unlikely, but I suppose it's possible. '	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	PUNCT ADP DET NOUN ADP PRON PRON VERB ADJ CCONJ PRON VERB PRON ADJ PUNCT
The property will thus not be excluded property and may be subject to the ten year charge and, on the face of it, the interim charge ( IHTA 1984, ss64 and 65 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN VERB ADV ADV VERB VERB NOUN CCONJ VERB VERB ADJ ADP DET NUM NOUN NOUN CCONJ ADP DET NOUN ADP PRON DET ADJ NOUN PUNCT PROPN NUM ADV CCONJ NUM PUNCT
On the face of it, the competition remains intense — and so it is where a product meets a similar one head on.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB ADJ PUNCT CCONJ ADV PRON VERB ADV DET NOUN VERB DET ADJ NUM NOUN ADV
On the face of it, she and Prince Charles had very little in common when they re - met in 1979.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON CCONJ PROPN PROPN VERB ADV ADJ ADP ADJ ADV PRON VERB PUNCT VERB ADP NUM
On the face of it, Oi is performing a similar function to early punk — taking rock back to the basics, grafting a class accent on to the music, reviving the original rebel - delinquent cluster — the myth of Elvis - as - hub - cap - thief, a poor white loser up against the Law.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PROPN VERB VERB DET ADJ NOUN ADP ADJ NOUN PUNCT VERB NOUN ADV ADP DET NOUN VERB DET NOUN NOUN ADP ADP DET NOUN VERB DET ADJ ADJ PUNCT NOUN NOUN PUNCT DET NOUN ADP PROPN PUNCT ADP PUNCT NOUN PUNCT NOUN PUNCT NOUN DET ADJ ADJ NOUN PART ADP DET PROPN
With respect to certain other forms of criminal sexual conduct, however, the legislation has, on the face of it, succeeded in ruling out consideration of consent altogether.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP NOUN ADP ADJ ADJ NOUN ADP ADJ ADJ NOUN ADV DET NOUN VERB ADP DET NOUN ADP PRON VERB ADP VERB PART NOUN ADP NOUN ADV
When we look at the mysteries of life we must look also at phenomena that seem, on the face of it, to have little to do with the way that life works.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADV PRON VERB ADP DET NOUN ADP NOUN PRON VERB VERB ADV ADP NOUN ADJ VERB ADP DET NOUN ADP PRON PART VERB ADJ PART VERB ADP DET NOUN ADP NOUN VERB
On the face of it the queen herself was innocent of any involvement.	1 0 1 1 1 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN PRON VERB ADJ ADP DET NOUN
On the face of it, the absence of joint obligations of payment was inconsistent with the existence of a joint tenancy.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN ADP ADJ NOUN ADP NOUN VERB ADJ ADP DET NOUN ADP DET ADJ NOUN
