Ciggie lands gran in dock	0 0 0 1 1	in the dock	figurative	inflection	PROPN VERB NOUN ADP NOUN	▁C ig g ie ▁lands ▁ gran ▁in ▁dock	0 0 0 0 0 0 0 1 1	PROPN PROPN PROPN PROPN VERB NOUN NOUN ADP NOUN
Over in the dock the accused, a gangling boy of about nineteen, was smirking.	0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADP ADP DET NOUN DET VERB DET VERB NOUN ADP ADP NUM VERB VERB	▁Over ▁in ▁the ▁dock ▁the ▁accused , ▁a ▁ gang ling ▁boy ▁of ▁about ▁nine te en , ▁was ▁s mir king .	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP DET NOUN DET VERB VERB DET VERB VERB VERB NOUN ADP ADP NUM NUM NUM NUM VERB VERB VERB VERB VERB
They came out into a wide waterway which ended in docks.	0 0 0 0 0 0 0 0 0 1 1	in the dock	literal	inflection	PRON VERB PART ADP DET ADJ NOUN ADJ VERB ADP NOUN	▁They ▁came ▁out ▁into ▁a ▁wide ▁waterway ▁which ▁ended ▁in ▁dock s .	0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB PART ADP DET ADJ NOUN ADJ VERB ADP NOUN NOUN NOUN
Also in the dock are Brendan McCrory ( 26 ), of Dermothill Road ; Hugh McLaughlin ( 20 ), of Ballymurphy Drive ; Anthony Garland ( 19 ), of Divismore Crescent ; Michael Beck ( 20 ), of Ballymurphy Crescent ; and 18-year - olds Ciaran McAllister, of Divismore Park, and Daniel Pettigrew, New Barnsley Crescent.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADV ADP DET NOUN VERB PROPN PROPN PUNCT NUM PUNCT ADP PROPN PROPN PUNCT PROPN PROPN PUNCT NUM PUNCT ADP PROPN PROPN PUNCT PROPN PROPN PUNCT NUM PUNCT ADP PROPN PROPN PUNCT PROPN PROPN PUNCT NUM PUNCT ADP PROPN PROPN PUNCT CCONJ NUM PUNCT NOUN PROPN PROPN ADP PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN	▁Also ▁in ▁the ▁dock ▁are ▁B ren dan ▁McC r ory ▁( ▁26 ▁ ), ▁of ▁De rm oth ill ▁Road ▁ ; ▁Hugh ▁Mc La ugh lin ▁( ▁20 ▁ ), ▁of ▁B ally mur phy ▁Drive ▁ ; ▁An th ony ▁Gar land ▁( ▁19 ▁ ), ▁of ▁Di vis more ▁C res cent ▁ ; ▁Michael ▁B eck ▁( ▁20 ▁ ), ▁of ▁B ally mur phy ▁C res cent ▁ ; ▁and ▁18 - year ▁- ▁old s ▁C ia ran ▁Mc All ister , ▁of ▁Di vis more ▁Park , ▁and ▁Daniel ▁P etti g rew , ▁New ▁Bar n sley ▁C res cent .	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP DET NOUN VERB PROPN PROPN PROPN PROPN PROPN PROPN PUNCT NUM PUNCT PUNCT ADP PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PUNCT NUM PUNCT PUNCT ADP PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PUNCT NUM PUNCT PUNCT ADP PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PUNCT NUM PUNCT PUNCT ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT CCONJ NUM NUM NUM PUNCT NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
He used to work in the dock's offices.	0 0 0 0 1 0 1 0	in the dock	literal	identical	PRON VERB PART VERB ADP DET NOUN NOUN	▁He ▁used ▁to ▁work ▁in ▁the ▁dock ' s ▁offices .	0 0 0 0 1 0 1 1 1 0 0	PRON VERB PART VERB ADP DET NOUN NOUN NOUN NOUN NOUN
The Lebanese man in the dock says he was invited back to the flat, and it was Kim who threatened him with a knife.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	DET ADJ NOUN ADP DET NOUN VERB PRON VERB VERB ADV ADP DET ADJ CCONJ PRON VERB PROPN NOUN VERB PRON ADP DET NOUN	▁The ▁Lebanese ▁man ▁in ▁the ▁dock ▁says ▁he ▁was ▁invited ▁back ▁to ▁the ▁flat , ▁and ▁it ▁was ▁K im ▁who ▁threatened ▁him ▁with ▁a ▁knife .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP DET NOUN VERB PRON VERB VERB ADV ADP DET ADJ ADJ CCONJ PRON VERB PROPN PROPN NOUN VERB PRON ADP DET NOUN NOUN
‘ There's nothing in the dock except maybe a couple of beer cans and a radio some clumsy bimbo dropped when she was teetering out of a punt in high heels.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	PUNCT ADV NOUN ADP DET NOUN ADP ADV DET NOUN ADP NOUN NOUN CCONJ DET NOUN DET ADJ NOUN VERB ADV PRON VERB VERB ADP ADP DET NOUN ADP ADJ NOUN	▁ ‘ ▁There ' s ▁nothing ▁in ▁the ▁dock ▁except ▁maybe ▁a ▁couple ▁of ▁beer ▁can s ▁and ▁a ▁radio ▁some ▁cl um sy ▁bi m bo ▁dropped ▁when ▁she ▁was ▁tee ter ing ▁out ▁of ▁a ▁p unt ▁in ▁high ▁heel s .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV ADV ADV NOUN ADP DET NOUN ADP ADV DET NOUN ADP NOUN NOUN NOUN CCONJ DET NOUN DET ADJ ADJ ADJ NOUN NOUN NOUN VERB ADV PRON VERB VERB VERB VERB ADP ADP DET NOUN NOUN ADP ADJ NOUN NOUN NOUN
Four in dock on car scam charges	0 1 1 0 0 0 0	in the dock	literal	inflection	NUM ADP NOUN ADP NOUN NOUN NOUN	▁Four ▁in ▁dock ▁on ▁car ▁s cam ▁charges	0 1 1 0 0 0 0 0	NUM ADP NOUN ADP NOUN NOUN NOUN NOUN
Nex anyway it's quite near Portsmouth and we heard that the first Queen Elizabeth ship, they don't say it's the first but they call this one the Q E Two but there was a Q E One, you see at one time and so we took a coach from there to Southampton because we heard that she was in dock there and so we went and there were crowds of people and all in a queue waiting to go in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	NOUN ADV PRON ADV ADP PROPN CCONJ PRON VERB ADP DET ADJ PROPN PROPN NOUN PRON VERB VERB PRON DET ADJ CCONJ PRON VERB DET NOUN DET NOUN NOUN NUM CCONJ ADV VERB DET NOUN NOUN NUM PRON VERB ADP NUM NOUN CCONJ ADV PRON VERB DET NOUN ADP ADV ADP PROPN ADP PRON VERB ADP PRON VERB ADP NOUN ADV CCONJ ADV PRON VERB CCONJ ADV VERB NOUN ADP NOUN CCONJ DET ADP DET NOUN VERB PART VERB ADV	▁Nex ▁anyway ▁it ' s ▁quite ▁near ▁Port s mouth ▁and ▁we ▁heard ▁that ▁the ▁first ▁Queen ▁Eli za b eth ▁ship , ▁they ▁don ' t ▁say ▁it ' s ▁the ▁first ▁but ▁they ▁call ▁this ▁one ▁the ▁Q ▁E ▁Two ▁but ▁there ▁was ▁a ▁Q ▁E ▁One , ▁you ▁see ▁at ▁one ▁time ▁and ▁so ▁we ▁took ▁a ▁coach ▁from ▁there ▁to ▁South ampton ▁because ▁we ▁heard ▁that ▁she ▁was ▁in ▁dock ▁there ▁and ▁so ▁we ▁went ▁and ▁there ▁were ▁crowd s ▁of ▁people ▁and ▁all ▁in ▁a ▁queue ▁waiting ▁to ▁go ▁in .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN ADV PRON PRON PRON ADV ADP PROPN PROPN PROPN CCONJ PRON VERB ADP DET ADJ PROPN PROPN PROPN PROPN PROPN NOUN NOUN PRON VERB VERB VERB VERB PRON PRON PRON DET ADJ CCONJ PRON VERB DET NOUN DET NOUN NOUN NUM CCONJ ADV VERB DET NOUN NOUN NUM NUM PRON VERB ADP NUM NOUN CCONJ ADV PRON VERB DET NOUN ADP ADV ADP PROPN PROPN ADP PRON VERB ADP PRON VERB ADP NOUN ADV CCONJ ADV PRON VERB CCONJ ADV VERB NOUN NOUN ADP NOUN CCONJ DET ADP DET NOUN VERB PART VERB ADV ADV
Hugh Fraser predictably had been most anxious to join his friend and colleague in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	PROPN PROPN ADV VERB VERB ADV ADJ PART VERB ADJ NOUN CCONJ NOUN ADP DET NOUN	▁Hugh ▁Fra ser ▁predict ably ▁had ▁been ▁most ▁anxious ▁to ▁join ▁his ▁friend ▁and ▁colleague ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN ADV ADV VERB VERB ADV ADJ PART VERB ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN
It is still open today it ain't in some docks.	0 0 0 0 0 0 0 1 0 1	in the dock	literal	determiner-broad	PRON VERB ADV ADJ NOUN PRON VERB ADP DET NOUN	▁It ▁is ▁still ▁open ▁today ▁it ▁a in ' t ▁in ▁some ▁dock s .	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB ADV ADJ NOUN PRON VERB VERB VERB VERB ADP DET NOUN NOUN NOUN
When prostitute Carol Clarke was found dumped in a canal in Sharpness docks in Gloucestershire in March police interrogated crew members from visiting ships and searched through her extensive list of clients.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	determiner-broad	ADV VERB PROPN PROPN VERB VERB VERB ADP DET NOUN ADP PROPN NOUN ADP PROPN ADP PROPN NOUN VERB NOUN NOUN ADP VERB NOUN CCONJ VERB ADP ADJ ADJ NOUN ADP NOUN	▁When ▁pro stitute ▁Car ol ▁Clar ke ▁was ▁found ▁dumped ▁in ▁a ▁can al ▁in ▁Sharp ness ▁dock s ▁in ▁G lo uc ester shire ▁in ▁March ▁police ▁inter rog ated ▁crew ▁members ▁from ▁visiting ▁ships ▁and ▁search ed ▁through ▁her ▁extensive ▁list ▁of ▁clients .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB VERB PROPN PROPN PROPN PROPN VERB VERB VERB ADP DET NOUN NOUN ADP PROPN PROPN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN NOUN VERB VERB VERB NOUN NOUN ADP VERB NOUN CCONJ VERB VERB ADP ADJ ADJ NOUN ADP NOUN NOUN
He writes of ‘ the little town Portadown, with its comfortable unpretending houses, its squares and market - place, its pretty quay, with craft along the river, a steamer building in the dock close to mills and warehouses — a pleasant conclusion to this ten miles ' drive ( from Armagh).’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	PRON VERB ADP PUNCT DET ADJ NOUN PROPN ADP ADJ ADJ ADJ NOUN ADJ NOUN CCONJ NOUN PUNCT NOUN ADJ ADV ADV ADP NOUN ADP DET NOUN DET NOUN NOUN ADP DET NOUN ADV ADP NOUN CCONJ NOUN PUNCT DET ADJ NOUN ADP DET NUM NOUN PART NOUN PUNCT ADP PROPN	▁He ▁write s ▁of ▁ ‘ ▁the ▁little ▁town ▁Port a down , ▁with ▁its ▁comfortable ▁un pre t ending ▁houses , ▁its ▁square s ▁and ▁market ▁- ▁place , ▁its ▁pretty ▁qua y , ▁with ▁craft ▁along ▁the ▁river , ▁a ▁steam er ▁building ▁in ▁the ▁dock ▁close ▁to ▁mills ▁and ▁warehouses ▁ — ▁a ▁pleasant ▁conclusion ▁to ▁this ▁ten ▁miles ▁' ▁drive ▁( ▁from ▁Arm agh ). ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP PUNCT PUNCT DET ADJ NOUN PROPN PROPN PROPN PROPN ADP ADJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN ADJ NOUN NOUN CCONJ NOUN PUNCT NOUN NOUN ADJ ADV ADV ADV ADV ADP NOUN ADP DET NOUN NOUN DET NOUN NOUN NOUN ADP DET NOUN ADV ADP NOUN CCONJ NOUN PUNCT PUNCT DET ADJ NOUN ADP DET NUM NOUN PART NOUN PUNCT ADP PROPN PROPN PROPN PROPN
It is a major move in the dock industry.	0 0 0 0 0 1 0 1 0	in the dock	literal	identical	PRON VERB DET ADJ NOUN ADP DET NOUN NOUN	▁It ▁is ▁a ▁major ▁move ▁in ▁the ▁dock ▁industry .	0 0 0 0 0 1 0 1 0 0	PRON VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN
They were found as workmen dug foundations for a new county court being built in Gloucester docks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	determiner-broad	PRON VERB VERB ADP NOUN VERB NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP PROPN NOUN	▁They ▁were ▁found ▁as ▁work men ▁du g ▁foundations ▁for ▁a ▁new ▁county ▁court ▁being ▁built ▁in ▁G lo uc ester ▁dock s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1	PRON VERB VERB ADP NOUN NOUN VERB VERB NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN NOUN
A narrow boat and butty took over three - quarters of an hour to negotiate the locks, however, and an inclined plane was eventually built to speed up traffic by lifting boats in movable docks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	determiner-broad	DET ADJ NOUN CCONJ NOUN VERB PART NUM PUNCT NOUN ADP DET NOUN PART VERB DET NOUN ADV CCONJ DET ADJ NOUN VERB ADV VERB PART VERB PART NOUN ADP VERB NOUN ADP ADJ NOUN	▁A ▁narrow ▁boat ▁and ▁but ty ▁took ▁over ▁three ▁- ▁quarters ▁of ▁an ▁hour ▁to ▁negotiate ▁the ▁locks , ▁however , ▁and ▁an ▁in clined ▁plane ▁was ▁eventually ▁built ▁to ▁speed ▁up ▁traffic ▁by ▁lifting ▁boats ▁in ▁movable ▁dock s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	DET ADJ NOUN CCONJ NOUN NOUN VERB PART NUM PUNCT NOUN ADP DET NOUN PART VERB DET NOUN NOUN ADV ADV CCONJ DET ADJ ADJ NOUN VERB ADV VERB PART VERB PART NOUN ADP VERB NOUN ADP ADJ NOUN NOUN NOUN
I said, ‘ What happens to the rubbish lying in the dock when you roll up the curtain?’	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the dock	literal	identical	PRON VERB PUNCT NOUN VERB ADP DET ADJ NOUN ADP DET NOUN ADV PRON VERB PART DET NOUN	▁I ▁said , ▁ ‘ ▁What ▁happens ▁to ▁the ▁rubbish ▁lying ▁in ▁the ▁dock ▁when ▁you ▁roll ▁up ▁the ▁curtain ? ’	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	PRON VERB VERB PUNCT PUNCT NOUN VERB ADP DET ADJ NOUN ADP DET NOUN ADV PRON VERB PART DET NOUN NOUN NOUN
John Paul Rous stood nervously in the dock at Oxford Magistrates Court as details of his charge were read out.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP PROPN PROPN PROPN ADP NOUN ADP ADJ NOUN VERB VERB PART	▁John ▁Paul ▁R ous ▁stood ▁nervous ly ▁in ▁the ▁dock ▁at ▁Oxford ▁Mag ist rates ▁Court ▁as ▁details ▁of ▁his ▁charge ▁were ▁read ▁out .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB ADV ADV ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP NOUN ADP ADJ NOUN VERB VERB PART PART
The judge agreed and F and his two brothers changed places in the dock.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	DET NOUN VERB CCONJ PROPN CCONJ ADJ NUM NOUN VERB NOUN ADP DET NOUN	▁The ▁judge ▁agreed ▁and ▁F ▁and ▁his ▁two ▁brothers ▁changed ▁places ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN VERB CCONJ PROPN CCONJ ADJ NUM NOUN VERB NOUN ADP DET NOUN NOUN
Alan's car was in dock, so Willy, the only other car owner, agreed to drive.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	PROPN NOUN VERB ADP NOUN ADV ADV DET ADJ ADJ NOUN NOUN VERB PART VERB	▁A lan ' s ▁car ▁was ▁in ▁dock , ▁so ▁Will y , ▁the ▁only ▁other ▁car ▁owner , ▁agreed ▁to ▁drive .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN VERB ADP NOUN NOUN ADV ADV ADV ADV DET ADJ ADJ NOUN NOUN NOUN VERB PART VERB VERB
Of the 6111 recorded as working in the Royal docks, 5093 ( 83.3 per cent ) lived in Canning Town or Plaistow.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-inflection	ADP DET NUM VERB ADP VERB ADP DET PROPN NOUN NUM PUNCT NUM NOUN NOUN PUNCT VERB ADP PROPN PROPN CCONJ PROPN	▁Of ▁the ▁6 111 ▁recorded ▁as ▁working ▁in ▁the ▁Royal ▁dock s , ▁50 93 ▁( ▁83 .3 ▁per ▁cent ▁ ) ▁lived ▁in ▁Can ning ▁Town ▁or ▁Pla ist ow .	0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NUM NUM VERB ADP VERB ADP DET PROPN NOUN NOUN NOUN NUM NUM PUNCT NUM NUM NOUN NOUN PUNCT PUNCT VERB ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN
Ships are now built in modules rather than built in a whole from the base up in a dry dock, ' he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	in the dock	literal	combined-other	NOUN VERB ADV VERB ADP NOUN ADV ADP VERB ADP DET NOUN ADP DET NOUN PART ADP DET ADJ NOUN PUNCT PRON VERB	▁Ships ▁are ▁now ▁built ▁in ▁modules ▁rather ▁than ▁built ▁in ▁a ▁whole ▁from ▁the ▁base ▁up ▁in ▁a ▁dry ▁dock , ▁' ▁he ▁said .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0	NOUN VERB ADV VERB ADP NOUN ADV ADP VERB ADP DET NOUN ADP DET NOUN PART ADP DET ADJ NOUN NOUN PUNCT PRON VERB VERB
In the hey - day of trade in the docks there were 15 major corn warehouses, two dock basins and a complex network of rail lines covering some 22 acres.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	ADP DET ADJ PUNCT NOUN ADP NOUN ADP DET NOUN ADV VERB NUM ADJ NOUN NOUN NUM NOUN NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN VERB DET NUM NOUN	▁In ▁the ▁he y ▁- ▁day ▁of ▁trade ▁in ▁the ▁dock s ▁there ▁were ▁15 ▁major ▁corn ▁warehouses , ▁two ▁dock ▁basin s ▁and ▁a ▁complex ▁network ▁of ▁rail ▁lines ▁covering ▁some ▁22 ▁a cre s .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ ADJ PUNCT NOUN ADP NOUN ADP DET NOUN NOUN ADV VERB NUM ADJ NOUN NOUN NOUN NUM NOUN NOUN NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN VERB DET NUM NOUN NOUN NOUN NOUN
No, but it is in the fish dock.	0 0 0 0 1 0 0 1	in the dock	literal	insertion-other	INTJ CCONJ PRON VERB ADP DET NOUN NOUN	▁No , ▁but ▁it ▁is ▁in ▁the ▁fish ▁dock .	0 0 0 0 0 1 0 0 1 1	INTJ INTJ CCONJ PRON VERB ADP DET NOUN NOUN NOUN
Well I think it was I mean that erm we when you dredge from the Causeway I 'd say near the Harbourmaster's office and we dredged all the way to Botterman's Bay just below Pinmill and that Botterman's Bay was that's a place where they had and that's where the big ships used to moor then and they used to get .. be lightened, like all grain goods and that used to be loaded into barges by hand and then when it goes so light they used to the fish with about three thousand grain in 'em and then they used to fill them up in the dock, on the same method.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the dock	literal	identical	INTJ PRON VERB PRON VERB PRON VERB ADP NOUN PRON ADV PRON VERB ADP DET PROPN PRON VERB VERB ADP DET PROPN NOUN CCONJ PRON VERB ADJ DET NOUN ADP PROPN PROPN ADV ADP PROPN CCONJ ADP PROPN PROPN VERB DET DET NOUN ADV PRON VERB CCONJ DET ADV DET ADJ NOUN VERB PART VERB ADV CCONJ PRON VERB PART VERB PUNCT VERB VERB ADP DET NOUN NOUN CCONJ ADJ VERB PART VERB VERB ADP NOUN ADP NOUN CCONJ ADV ADV PRON VERB ADV NOUN PRON VERB ADP DET NOUN ADP ADV NUM NUM NOUN ADP PRON CCONJ ADV PRON VERB PART VERB PRON PART ADP DET NOUN ADP DET ADJ NOUN	▁Well ▁I ▁think ▁it ▁was ▁I ▁mean ▁that ▁er m ▁we ▁when ▁you ▁dr edge ▁from ▁the ▁Cause way ▁I ▁' d ▁say ▁near ▁the ▁Har b our master ' s ▁office ▁and ▁we ▁dr edge d ▁all ▁the ▁way ▁to ▁Bo t term an ' s ▁Bay ▁just ▁below ▁Pin mill ▁and ▁that ▁Bo t term an ' s ▁Bay ▁was ▁that ' s ▁a ▁place ▁where ▁they ▁had ▁and ▁that ' s ▁where ▁the ▁big ▁ships ▁used ▁to ▁mo or ▁then ▁and ▁they ▁used ▁to ▁get ▁ . . ▁be ▁light ened , ▁like ▁all ▁grain ▁goods ▁and ▁that ▁used ▁to ▁be ▁loaded ▁into ▁bar ges ▁by ▁hand ▁and ▁then ▁when ▁it ▁goes ▁so ▁light ▁they ▁used ▁to ▁the ▁fish ▁with ▁about ▁three ▁thousand ▁grain ▁in ▁' em ▁and ▁then ▁they ▁used ▁to ▁fill ▁them ▁up ▁in ▁the ▁dock , ▁on ▁the ▁same ▁method .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	INTJ PRON VERB PRON VERB PRON VERB ADP NOUN NOUN PRON ADV PRON VERB VERB ADP DET PROPN PROPN PRON VERB VERB VERB ADP DET PROPN PROPN PROPN PROPN PROPN PROPN NOUN CCONJ PRON VERB VERB VERB ADJ DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADV ADP PROPN PROPN CCONJ ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET DET DET DET NOUN ADV PRON VERB CCONJ DET DET DET ADV DET ADJ NOUN VERB PART VERB VERB ADV CCONJ PRON VERB PART VERB PUNCT PUNCT PUNCT VERB VERB VERB VERB ADP DET NOUN NOUN CCONJ ADJ VERB PART VERB VERB ADP NOUN NOUN ADP NOUN CCONJ ADV ADV PRON VERB ADV NOUN PRON VERB ADP DET NOUN ADP ADV NUM NUM NOUN ADP PRON PRON CCONJ ADV PRON VERB PART VERB PRON PART ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN
The 9 others in the dock face a combination of charges ranging from conspiracy to pervert the course of justice to assault.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	DET NUM NOUN ADP DET NOUN VERB DET NOUN ADP NOUN VERB ADP NOUN PART VERB DET NOUN ADP NOUN PART VERB	▁The ▁9 ▁others ▁in ▁the ▁dock ▁face ▁a ▁combination ▁of ▁charges ▁ranging ▁from ▁con spira cy ▁to ▁per vert ▁the ▁course ▁of ▁justice ▁to ▁assault .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NUM NOUN ADP DET NOUN VERB DET NOUN ADP NOUN VERB ADP NOUN NOUN NOUN PART VERB VERB DET NOUN ADP NOUN PART VERB VERB
