‘ You mean, you knew all along, but you let me make a fool of myself?’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB PRON VERB ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV	▁ ‘ ▁You ▁mean , ▁you ▁knew ▁all ▁along , ▁but ▁you ▁let ▁me ▁make ▁a ▁fool ▁of ▁myself ? ’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB PRON VERB ADV ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV ADV ADV
The benefits, the law and the villages all along the edge of eighty eight are so enormous that we must try and sustain, and I 'm very hopeful that, would, with the good will of the whole of us we can improve the quality of life for everyone.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	DET NOUN DET NOUN CCONJ DET NOUN ADV ADP DET NOUN ADP NUM NUM VERB ADV ADJ ADP PRON VERB VERB CCONJ VERB CCONJ PRON VERB ADV ADJ ADP VERB ADP DET ADJ NOUN ADP DET NOUN ADP PRON PRON VERB VERB DET NOUN ADP NOUN ADP NOUN	▁The ▁benefits , ▁the ▁law ▁and ▁the ▁villages ▁all ▁along ▁the ▁edge ▁of ▁eight y ▁eight ▁are ▁so ▁enormous ▁that ▁we ▁must ▁try ▁and ▁sustain , ▁and ▁I ▁' m ▁very ▁hopeful ▁that , ▁would , ▁with ▁the ▁good ▁will ▁of ▁the ▁whole ▁of ▁us ▁we ▁can ▁improve ▁the ▁quality ▁of ▁life ▁for ▁everyone .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN DET NOUN CCONJ DET NOUN ADV ADP DET NOUN ADP NUM NUM NUM VERB ADV ADJ ADP PRON VERB VERB CCONJ VERB VERB CCONJ PRON VERB VERB ADV ADJ ADP ADP VERB VERB ADP DET ADJ NOUN ADP DET NOUN ADP PRON PRON VERB VERB DET NOUN ADP NOUN ADP NOUN NOUN
It's all along the back isn't it?	0 1 1 0 0 0 0	all along	literal	identical	PRON DET ADP DET NOUN VERB PRON	▁It ' s ▁all ▁along ▁the ▁back ▁is n ' t ▁it ?	0 0 0 1 1 0 0 0 0 0 0 0 0	PRON PRON PRON DET ADP DET NOUN VERB VERB VERB VERB PRON PRON
John Delaney knew now that all along it had been hunting them, that it was still hunting them, waiting for the right moment to pick them off at will, one at a time.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN PROPN VERB ADV ADP DET ADP PRON VERB VERB VERB PRON ADP PRON VERB ADV VERB PRON VERB ADP DET ADJ NOUN PART VERB PRON PART ADP NOUN NUM ADP DET NOUN	▁John ▁Del ane y ▁knew ▁now ▁that ▁all ▁along ▁it ▁had ▁been ▁hunting ▁them , ▁that ▁it ▁was ▁still ▁hunting ▁them , ▁waiting ▁for ▁the ▁right ▁moment ▁to ▁pick ▁them ▁off ▁at ▁will , ▁one ▁at ▁a ▁time .	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB ADV ADP DET ADP PRON VERB VERB VERB PRON PRON ADP PRON VERB ADV VERB PRON PRON VERB ADP DET ADJ NOUN PART VERB PRON PART ADP NOUN NOUN NUM ADP DET NOUN NOUN
‘ I had insisted all along that we could not return until that was the case and that having waited so long, waiting a little longer would not matter.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB VERB ADV ADP ADP PRON VERB ADV VERB ADP DET VERB DET NOUN CCONJ ADP VERB VERB ADV ADV VERB DET ADJ ADJ VERB ADV VERB	▁ ‘ ▁I ▁had ▁insisted ▁all ▁along ▁that ▁we ▁could ▁not ▁return ▁until ▁that ▁was ▁the ▁case ▁and ▁that ▁having ▁waited ▁so ▁long , ▁waiting ▁a ▁little ▁longer ▁would ▁not ▁matter .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB ADV ADP ADP PRON VERB ADV VERB ADP DET VERB DET NOUN CCONJ ADP VERB VERB ADV ADV ADV VERB DET ADJ ADJ VERB ADV VERB VERB
Once GM's union agreed to the plan, a bandwagon rolled : within a year 8,000 new plans had been written, all along the same lines.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	all along	literal	identical	ADV PROPN NOUN VERB ADP DET NOUN DET NOUN VERB PUNCT ADP DET NOUN NUM ADJ NOUN VERB VERB VERB ADV ADP DET ADJ NOUN	▁Once ▁GM ' s ▁union ▁agreed ▁to ▁the ▁plan , ▁a ▁band w agon ▁rolled ▁ : ▁within ▁a ▁year ▁8, 000 ▁new ▁plans ▁had ▁been ▁written , ▁all ▁along ▁the ▁same ▁lines .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	ADV PROPN PROPN PROPN NOUN VERB ADP DET NOUN NOUN DET NOUN NOUN NOUN VERB PUNCT PUNCT ADP DET NOUN NUM NUM ADJ NOUN VERB VERB VERB VERB ADV ADP DET ADJ NOUN NOUN
What's different about it is that we possess, the G M B London Region, possess sworn statements from managers and ex Chief Officers that conclusively demonstrate that what the trade union has been saying all along, what the G M B's been saying all along, about victimization, financial mismanagement and corruption, have in ta in fact taken place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	NOUN ADJ ADP PRON VERB ADP PRON VERB DET NOUN PROPN PROPN PROPN PROPN VERB VERB NOUN ADP NOUN CCONJ NUM PROPN PROPN ADJ ADV VERB ADP NOUN DET NOUN NOUN VERB VERB VERB ADV ADV NOUN DET NOUN PROPN PROPN VERB VERB ADV ADV ADP NOUN ADJ NOUN CCONJ NOUN VERB ADP PART ADP NOUN VERB NOUN	▁What ' s ▁different ▁about ▁it ▁is ▁that ▁we ▁possess , ▁the ▁G ▁M ▁B ▁London ▁Region , ▁possess ▁sworn ▁statements ▁from ▁managers ▁and ▁ex ▁Chief ▁Officer s ▁that ▁conclusive ly ▁demonstrate ▁that ▁what ▁the ▁trade ▁union ▁has ▁been ▁saying ▁all ▁along , ▁what ▁the ▁G ▁M ▁B ' s ▁been ▁saying ▁all ▁along , ▁about ▁victim ization , ▁financial ▁mismanagement ▁and ▁corruption , ▁have ▁in ▁ta ▁in ▁fact ▁taken ▁place .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN ADJ ADP PRON VERB ADP PRON VERB VERB DET NOUN PROPN PROPN PROPN PROPN PROPN VERB VERB NOUN ADP NOUN CCONJ NUM PROPN PROPN PROPN ADJ ADV ADV VERB ADP NOUN DET NOUN NOUN VERB VERB VERB ADV ADV ADV NOUN DET NOUN PROPN PROPN PROPN PROPN VERB VERB ADV ADV ADV ADP NOUN NOUN NOUN ADJ NOUN CCONJ NOUN NOUN VERB ADP PART ADP NOUN VERB NOUN NOUN
JB : I painted mostly in my own time, and it's been like that all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	NOUN PUNCT PRON VERB ADV ADP ADJ ADJ NOUN CCONJ PRON VERB ADP DET ADV ADV	▁J B ▁ : ▁I ▁painted ▁most ly ▁in ▁my ▁own ▁time , ▁and ▁it ' s ▁been ▁like ▁that ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	NOUN NOUN PUNCT PUNCT PRON VERB ADV ADV ADP ADJ ADJ NOUN NOUN CCONJ PRON PRON PRON VERB ADP DET ADV ADV ADV
All along, Astorre had been longing to get the campaign over and done with.	1 1 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	case	ADV ADV PROPN VERB VERB VERB PART VERB DET NOUN ADV CCONJ VERB ADP	▁All ▁along , ▁As tor re ▁had ▁been ▁long ing ▁to ▁get ▁the ▁campaign ▁over ▁and ▁done ▁with .	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV PROPN PROPN PROPN VERB VERB VERB VERB PART VERB DET NOUN ADV CCONJ VERB ADP ADP
Rain said to Maurin, in French now that there was no need to exclude Durance from their conversation : ‘ You 've known all along, haven't you?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	figurative	identical	NOUN VERB ADP PROPN ADP PROPN ADV ADP ADV VERB DET NOUN PART VERB PROPN ADP ADJ NOUN PUNCT PUNCT PRON VERB VERB DET ADV VERB PRON	▁Rain ▁said ▁to ▁Ma urin , ▁in ▁French ▁now ▁that ▁there ▁was ▁no ▁need ▁to ▁exclude ▁Dur ance ▁from ▁their ▁conversation ▁ : ▁ ‘ ▁You ▁' ve ▁known ▁all ▁along , ▁have n ' t ▁you ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	NOUN VERB ADP PROPN PROPN PROPN ADP PROPN ADV ADP ADV VERB DET NOUN PART VERB PROPN PROPN ADP ADJ NOUN PUNCT PUNCT PUNCT PUNCT PRON VERB VERB VERB DET ADV ADV VERB VERB VERB VERB PRON PRON
They 've got a series of almost like ethnic murals that somebody's done all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB VERB DET NOUN ADP ADV ADP ADJ NOUN ADP NOUN VERB ADV ADV	▁They ▁' ve ▁got ▁a ▁series ▁of ▁almost ▁like ▁ethnic ▁m ural s ▁that ▁somebody ' s ▁done ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB VERB DET NOUN ADP ADV ADP ADJ NOUN NOUN NOUN ADP NOUN NOUN NOUN VERB ADV ADV ADV
‘ So you were right all along,’ she murmured.	0 0 0 0 0 1 1 0 0	all along	figurative	dashes	PUNCT ADV PRON VERB ADV ADV INTJ PRON VERB	▁ ‘ ▁So ▁you ▁were ▁right ▁all ▁along , ’ ▁she ▁ mur mur ed .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	PUNCT PUNCT ADV PRON VERB ADV ADV INTJ INTJ INTJ PRON VERB VERB VERB VERB VERB
The position would have been very different in the case of a payment made some years before which was sought to be recovered because a court in another case had ruled that the regulation under which the demand had been made had all along been ultra vires.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	all along	figurative	identical	DET NOUN VERB VERB VERB ADV ADJ ADP DET NOUN ADP DET NOUN VERB DET NOUN ADP ADJ VERB VERB PART VERB VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP ADJ DET NOUN VERB VERB VERB VERB ADV ADV VERB ADJ NOUN	▁The ▁position ▁would ▁have ▁been ▁very ▁different ▁in ▁the ▁case ▁of ▁a ▁payment ▁made ▁some ▁years ▁before ▁which ▁was ▁sought ▁to ▁be ▁recovered ▁because ▁a ▁court ▁in ▁another ▁case ▁had ▁ruled ▁that ▁the ▁regulation ▁under ▁which ▁the ▁demand ▁had ▁been ▁made ▁had ▁all ▁along ▁been ▁ultra ▁vir es .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	DET NOUN VERB VERB VERB ADV ADJ ADP DET NOUN ADP DET NOUN VERB DET NOUN ADP ADJ VERB VERB PART VERB VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP ADJ DET NOUN VERB VERB VERB VERB ADV ADV VERB ADJ NOUN NOUN NOUN
The man will swiftly think that the Duke knew all along.	0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	DET NOUN VERB ADV VERB ADP DET PROPN VERB ADV ADV	▁The ▁man ▁will ▁swiftly ▁think ▁that ▁the ▁D uke ▁knew ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 1 1 1	DET NOUN VERB ADV VERB ADP DET PROPN PROPN VERB ADV ADV ADV
The reaction function g(U ) then merely becomes a formalization of what Pigou and other classical writers had been saying all along, namely, that downward revisions of the money wage rate would eradicate the phenomenon of general unemployment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	DET NOUN NOUN PROPN PUNCT ADV ADV VERB DET NOUN ADP NOUN PROPN CCONJ ADJ ADJ NOUN VERB VERB VERB ADV ADV ADV ADP ADJ NOUN ADP DET NOUN NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN	▁The ▁reaction ▁function ▁g ( U ▁ ) ▁then ▁mere ly ▁becomes ▁a ▁formal ization ▁of ▁what ▁Pig ou ▁and ▁other ▁classical ▁writer s ▁had ▁been ▁saying ▁all ▁along , ▁namely , ▁that ▁downward ▁revisions ▁of ▁the ▁money ▁wage ▁rate ▁would ▁eradicate ▁the ▁phenomenon ▁of ▁general ▁unemployment .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN PROPN PROPN PROPN PUNCT PUNCT ADV ADV ADV VERB DET NOUN NOUN ADP NOUN PROPN PROPN CCONJ ADJ ADJ NOUN NOUN VERB VERB VERB ADV ADV ADV ADV ADV ADP ADJ NOUN ADP DET NOUN NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN NOUN
Now it turns out that the Government knew all along what they were up to but told them to lie.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADV PRON VERB PART ADP DET PROPN VERB ADV ADP NOUN PRON VERB ADV ADP CCONJ VERB PRON PART VERB	▁Now ▁it ▁turns ▁out ▁that ▁the ▁Government ▁knew ▁all ▁along ▁what ▁they ▁were ▁up ▁to ▁but ▁told ▁them ▁to ▁lie .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB PART ADP DET PROPN VERB ADV ADP NOUN PRON VERB ADV ADP CCONJ VERB PRON PART VERB VERB
Ford ( 1988 ) by contrast believes that the insights of counselling are needed all along the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	PROPN PUNCT NUM PUNCT ADP NOUN VERB ADP DET NOUN ADP NOUN VERB VERB ADV ADP DET NOUN	▁Ford ▁( ▁1988 ▁ ) ▁by ▁contrast ▁believes ▁that ▁the ▁insight s ▁of ▁counselling ▁are ▁needed ▁all ▁along ▁the ▁way .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	PROPN PUNCT NUM PUNCT PUNCT ADP NOUN VERB ADP DET NOUN NOUN ADP NOUN VERB VERB ADV ADP DET NOUN NOUN
But how many people do you know who smile broadly at you, and speak in a calm and controlled manner, when all along they are fuming inside and never show it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	all along	figurative	identical	CCONJ ADV ADJ NOUN VERB PRON VERB NOUN VERB ADV ADP PRON CCONJ VERB ADP DET NOUN CCONJ ADJ NOUN ADV ADV ADP PRON VERB VERB ADV CCONJ ADV VERB PRON	▁But ▁how ▁many ▁people ▁do ▁you ▁know ▁who ▁smile ▁broadly ▁at ▁you , ▁and ▁speak ▁in ▁a ▁calm ▁and ▁controlled ▁manner , ▁when ▁all ▁along ▁they ▁are ▁fu ming ▁inside ▁and ▁never ▁show ▁it ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ ADV ADJ NOUN VERB PRON VERB NOUN VERB ADV ADP PRON PRON CCONJ VERB ADP DET NOUN CCONJ ADJ NOUN NOUN ADV ADV ADP PRON VERB VERB VERB ADV CCONJ ADV VERB PRON PRON
I experienced a moment of complete terror in which my mind raced — I had been discovered after all ; it was obvious that I had a limp ; everyone could see it ; they 'd seen it all along and had chosen this moment to hit me with it, my weakest moment …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN ADP ADJ ADJ NOUN VERB PUNCT PRON VERB VERB VERB ADV ADV PUNCT PRON VERB ADJ ADP PRON VERB DET ADJ PUNCT NOUN VERB VERB PRON PUNCT PRON VERB VERB PRON DET ADV CCONJ VERB VERB DET NOUN PART VERB PRON ADP PRON ADJ ADJ NOUN PUNCT	▁I ▁experienced ▁a ▁moment ▁of ▁complete ▁terror ▁in ▁which ▁my ▁mind ▁race d ▁ — ▁I ▁had ▁been ▁discovered ▁after ▁all ▁ ; ▁it ▁was ▁obvious ▁that ▁I ▁had ▁a ▁l imp ▁ ; ▁everyone ▁could ▁see ▁it ▁ ; ▁they ▁' d ▁seen ▁it ▁all ▁along ▁and ▁had ▁chosen ▁this ▁moment ▁to ▁hit ▁me ▁with ▁it , ▁my ▁weak est ▁moment ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP ADJ NOUN ADP ADJ ADJ NOUN VERB VERB PUNCT PUNCT PRON VERB VERB VERB ADV ADV PUNCT PUNCT PRON VERB ADJ ADP PRON VERB DET ADJ ADJ PUNCT PUNCT NOUN VERB VERB PRON PUNCT PUNCT PRON VERB VERB VERB PRON DET ADV CCONJ VERB VERB DET NOUN PART VERB PRON ADP PRON PRON ADJ ADJ ADJ NOUN PUNCT
Interest - rate spreads for Italy and Spain are widening again, while borrowing costs for Portugal and Greece remained high all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	NOUN PUNCT NOUN NOUN ADP PROPN CCONJ PROPN VERB VERB ADV ADP VERB NOUN ADP PROPN CCONJ PROPN VERB ADJ ADV ADV	▁Interest ▁- ▁rate ▁spreads ▁for ▁Italy ▁and ▁Spain ▁are ▁widening ▁again , ▁while ▁borrowing ▁costs ▁for ▁Portugal ▁and ▁Greece ▁remained ▁high ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	NOUN PUNCT NOUN NOUN ADP PROPN CCONJ PROPN VERB VERB ADV ADV ADP VERB NOUN ADP PROPN CCONJ PROPN VERB ADJ ADV ADV ADV
Delaney had a split second to realise that all along it had been setting up a trap for them.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN VERB DET NOUN ADV PART VERB ADP DET ADP PRON VERB VERB VERB PART DET NOUN ADP PRON	▁Del ane y ▁had ▁a ▁split ▁second ▁to ▁realise ▁that ▁all ▁along ▁it ▁had ▁been ▁setting ▁up ▁a ▁trap ▁for ▁them .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB DET NOUN ADV PART VERB ADP DET ADP PRON VERB VERB VERB PART DET NOUN ADP PRON PRON
Of course, Jim had instantly seen what I 'd missed all along with my stupid envy.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	ADV ADV PROPN VERB ADV VERB NOUN PRON VERB VERB DET ADV ADP ADJ ADJ NOUN	▁Of ▁course , ▁J im ▁had ▁in stantly ▁seen ▁what ▁I ▁' d ▁missed ▁all ▁along ▁with ▁my ▁stupid ▁en vy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	ADV ADV ADV PROPN PROPN VERB ADV ADV VERB NOUN PRON VERB VERB VERB DET ADV ADP ADJ ADJ NOUN NOUN NOUN
Thomas found himself ill - equipped to answer this bidding call effectively : This doubt of myself is the more powerful, because I see how all along my senses are so powerful.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	all along	figurative	identical	PROPN VERB PRON ADV PUNCT VERB PART VERB DET NOUN NOUN ADV PUNCT DET NOUN ADP PRON VERB DET ADV ADJ ADP PRON VERB ADV ADV ADP ADJ NOUN VERB ADV ADJ	▁Thomas ▁found ▁himself ▁ill ▁- ▁equipped ▁to ▁answer ▁this ▁bidding ▁call ▁effectively ▁ : ▁This ▁doubt ▁of ▁myself ▁is ▁the ▁more ▁powerful , ▁because ▁I ▁see ▁how ▁all ▁along ▁my ▁sense s ▁are ▁so ▁powerful .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	PROPN VERB PRON ADV PUNCT VERB PART VERB DET NOUN NOUN ADV PUNCT PUNCT DET NOUN ADP PRON VERB DET ADV ADJ ADJ ADP PRON VERB ADV ADV ADP ADJ NOUN NOUN VERB ADV ADJ ADJ
German defences were sited in depth all along the ridge, giving them an uninterrupted view of British movements.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	ADJ NOUN VERB VERB ADP NOUN DET ADP DET NOUN VERB PRON DET ADJ NOUN ADP ADJ NOUN	▁German ▁defence s ▁were ▁site d ▁in ▁depth ▁all ▁along ▁the ▁rid ge , ▁giving ▁them ▁an ▁uninterrupted ▁view ▁of ▁British ▁movements .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN VERB VERB VERB ADP NOUN DET ADP DET NOUN NOUN NOUN VERB PRON DET ADJ NOUN ADP ADJ NOUN NOUN
Of course, deep inside me, I knew all along that they knew.	0 0 0 0 0 0 0 1 1 0 0 0	all along	figurative	identical	ADV ADV ADV ADP PRON PRON VERB ADV ADP ADP PRON VERB	▁Of ▁course , ▁deep ▁inside ▁me , ▁I ▁knew ▁all ▁along ▁that ▁they ▁knew .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	ADV ADV ADV ADV ADP PRON PRON PRON VERB ADV ADP ADP PRON VERB VERB
What is surprising about the electoral result is not that Mr. Lagos won ( after all he was the favorite all along ), but that Mr. Lavin was able to mount such an effective challenge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	NOUN VERB ADJ ADP DET ADJ NOUN VERB ADV ADP PROPN PROPN VERB PUNCT ADV ADV PRON VERB DET ADJ DET ADV PUNCT CCONJ ADP PROPN PROPN VERB ADJ PART VERB ADJ DET ADJ NOUN	▁What ▁is ▁surprising ▁about ▁the ▁elector al ▁result ▁is ▁not ▁that ▁Mr . ▁L ago s ▁won ▁( ▁after ▁all ▁he ▁was ▁the ▁favor ite ▁all ▁along ▁ ), ▁but ▁that ▁Mr . ▁La vin ▁was ▁able ▁to ▁mount ▁such ▁an ▁effective ▁challenge .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB ADJ ADP DET ADJ ADJ NOUN VERB ADV ADP PROPN PROPN PROPN PROPN PROPN VERB PUNCT ADV ADV PRON VERB DET ADJ ADJ DET ADV PUNCT PUNCT CCONJ ADP PROPN PROPN PROPN PROPN VERB ADJ PART VERB ADJ DET ADJ NOUN NOUN
He had known all along that it must be his fault.	0 0 0 1 1 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB DET ADP ADP PRON VERB VERB ADJ NOUN	▁He ▁had ▁known ▁all ▁along ▁that ▁it ▁must ▁be ▁his ▁fault .	0 0 0 1 1 0 0 0 0 0 0 0	PRON VERB VERB DET ADP ADP PRON VERB VERB ADJ NOUN NOUN
‘ I was right all along.	0 0 0 0 1 1	all along	figurative	identical	PUNCT PRON VERB ADV ADV ADV	▁ ‘ ▁I ▁was ▁right ▁all ▁along .	0 0 0 0 0 1 1 1	PUNCT PUNCT PRON VERB ADV ADV ADV ADV
All along here?this There's a sign on this, this shelf I think.	1 1 0 0 0 0 0 0 0 0 0 0	all along	literal	case	DET ADP PRON ADV DET NOUN ADP DET DET NOUN PRON VERB	▁All ▁along ▁here ? this ▁There ' s ▁a ▁sign ▁on ▁this , ▁this ▁shelf ▁I ▁think .	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADP PRON PRON PRON ADV ADV ADV DET NOUN ADP DET DET DET NOUN PRON VERB VERB
Enoch Powell had been right all along.	0 0 0 0 0 1 1	all along	figurative	identical	PROPN PROPN VERB VERB ADV ADV ADV	▁En och ▁Po well ▁had ▁been ▁right ▁all ▁along .	0 0 0 0 0 0 0 1 1 1	PROPN PROPN PROPN PROPN VERB VERB ADV ADV ADV ADV
