The swimming is safe and very tempting in the lake's crystal clear waters.	0 0 0 0 0 0 0 0 0 0 1 1 0	crystal clear	figurative	identical	DET NOUN VERB ADJ CCONJ ADV ADJ ADP DET NOUN NOUN ADJ NOUN	▁The ▁swimming ▁is ▁safe ▁and ▁very ▁tempt ing ▁in ▁the ▁lake ' s ▁crystal ▁clear ▁waters .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	DET NOUN VERB ADJ CCONJ ADV ADJ ADJ ADP DET NOUN NOUN NOUN NOUN ADJ NOUN NOUN
What"this meant is made crystal clear by the description of an army on the march in the Chartson des Lorrains :	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET VERB VERB VERB NOUN ADJ ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN NOUN PUNCT	▁What " this ▁meant ▁is ▁made ▁crystal ▁clear ▁by ▁the ▁description ▁of ▁an ▁army ▁on ▁the ▁march ▁in ▁the ▁Chart son ▁des ▁L or rain s ▁ :	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET DET DET VERB VERB VERB NOUN ADJ ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN NOUN NOUN NOUN NOUN PUNCT PUNCT
six or seven foot deep and they 're crystal clear.	0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	NUM CCONJ NUM NOUN ADJ CCONJ PRON VERB NOUN ADJ	▁six ▁or ▁seven ▁foot ▁deep ▁and ▁they ▁' re ▁crystal ▁clear .	0 0 0 0 0 0 0 0 0 1 1 1	NUM CCONJ NUM NOUN ADJ CCONJ PRON VERB VERB NOUN ADJ ADJ
I I would have put the apostrophe between the l and the s, but erm, I 'd be prepared to, I 'd be persuaded that it wasn't crystal clear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	PRON PRON VERB VERB VERB DET NOUN ADP DET NOUN CCONJ DET NOUN CCONJ INTJ PRON VERB VERB ADJ ADP PRON VERB VERB VERB ADP PRON VERB NOUN ADJ	▁I ▁I ▁would ▁have ▁put ▁the ▁a post rop he ▁between ▁the ▁l ▁and ▁the ▁s , ▁but ▁er m , ▁I ▁' d ▁be ▁prepared ▁to , ▁I ▁' d ▁be ▁persuaded ▁that ▁it ▁was n ' t ▁crystal ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON PRON VERB VERB VERB DET NOUN NOUN NOUN NOUN ADP DET NOUN CCONJ DET NOUN NOUN CCONJ INTJ INTJ INTJ PRON VERB VERB VERB ADJ ADP ADP PRON VERB VERB VERB VERB ADP PRON VERB VERB VERB VERB NOUN ADJ ADJ
The backbone of WOW!is a crystal clear structural syllabus which provides students with a systematic and thorough foundation in grammar — from the simple present to the third conditional.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN ADP NOUN DET NOUN ADJ ADJ NOUN ADJ VERB NOUN ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PUNCT ADP DET ADJ NOUN ADP DET ADJ ADJ	▁The ▁backbone ▁of ▁W OW ! is ▁a ▁crystal ▁clear ▁structural ▁syllab us ▁which ▁provides ▁students ▁with ▁a ▁systematic ▁and ▁thorough ▁foundation ▁in ▁gram mar ▁ — ▁from ▁the ▁simple ▁present ▁to ▁the ▁third ▁conditional .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP NOUN NOUN NOUN NOUN DET NOUN ADJ ADJ NOUN NOUN ADJ VERB NOUN ADP DET ADJ CCONJ ADJ NOUN ADP NOUN NOUN PUNCT PUNCT ADP DET ADJ NOUN ADP DET ADJ ADJ ADJ
You 've got to make that crystal clear!’ said the soprano voice.	0 0 0 0 0 0 1 1 0 0 0 0	crystal clear	figurative	dashes	PRON VERB VERB PART VERB ADP NOUN PROPN VERB DET NOUN NOUN	▁You ▁' ve ▁got ▁to ▁make ▁that ▁crystal ▁clear ! ’ ▁said ▁the ▁so pra no ▁voice .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PRON VERB VERB VERB PART VERB ADP NOUN PROPN PROPN PROPN VERB DET NOUN NOUN NOUN NOUN NOUN
We may see it even in political fundamentalism — where the teachings of a reformer are still seen as the crystal clear teachings which are the pure source of revelation, and from which deviation is heresy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	PRON VERB VERB PRON ADV ADP ADJ NOUN PUNCT ADV DET NOUN ADP DET NOUN VERB ADV VERB ADP DET NOUN ADJ NOUN ADJ VERB DET ADJ NOUN ADP NOUN CCONJ ADP ADJ NOUN VERB NOUN	▁We ▁may ▁see ▁it ▁even ▁in ▁political ▁fundamental ism ▁ — ▁where ▁the ▁teaching s ▁of ▁a ▁reform er ▁are ▁still ▁seen ▁as ▁the ▁crystal ▁clear ▁teaching s ▁which ▁are ▁the ▁pure ▁source ▁of ▁re vel ation , ▁and ▁from ▁which ▁deviation ▁is ▁here sy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON ADV ADP ADJ NOUN NOUN PUNCT PUNCT ADV DET NOUN NOUN ADP DET NOUN NOUN VERB ADV VERB ADP DET NOUN ADJ NOUN NOUN ADJ VERB DET ADJ NOUN ADP NOUN NOUN NOUN NOUN CCONJ ADP ADJ NOUN VERB NOUN NOUN NOUN
Rising out of crystal clear water, the Scottish island of Iona has a strange calming influence on all who go there.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	VERB ADP ADP NOUN ADJ NOUN DET ADJ NOUN ADP PROPN VERB DET ADJ ADJ NOUN ADP DET NOUN VERB ADV	▁Ris ing ▁out ▁of ▁crystal ▁clear ▁water , ▁the ▁Scottish ▁island ▁of ▁I ona ▁has ▁a ▁strange ▁calm ing ▁influence ▁on ▁all ▁who ▁go ▁there .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP ADP NOUN ADJ NOUN NOUN DET ADJ NOUN ADP PROPN PROPN VERB DET ADJ ADJ ADJ NOUN ADP DET NOUN VERB ADV ADV
Sammy Wilson, the DUP press officer, dissociated the party from Seawright's remarks : ‘ The DUP has always made it crystal clear — as Protestants we believe in civil and religious liberty for all men, and no one should be persecuted for their religious beliefs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	PROPN PROPN DET PROPN NOUN NOUN VERB DET NOUN ADP PROPN NOUN PUNCT PUNCT DET PROPN VERB ADV VERB PRON NOUN ADJ PUNCT ADP PROPN PRON VERB ADP ADJ CCONJ ADJ NOUN ADP DET NOUN CCONJ DET NOUN VERB VERB VERB ADP ADJ ADJ NOUN	▁Sam my ▁Wilson , ▁the ▁D UP ▁press ▁officer , ▁dissociate d ▁the ▁party ▁from ▁Sea w right ' s ▁remarks ▁ : ▁ ‘ ▁The ▁D UP ▁has ▁always ▁made ▁it ▁crystal ▁clear ▁ — ▁as ▁Pro test ants ▁we ▁believe ▁in ▁civil ▁and ▁religious ▁liberty ▁for ▁all ▁men , ▁and ▁no ▁one ▁should ▁be ▁persecuted ▁for ▁their ▁religious ▁belief s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN DET PROPN PROPN NOUN NOUN NOUN VERB VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN PUNCT PUNCT PUNCT PUNCT DET PROPN PROPN VERB ADV VERB PRON NOUN ADJ PUNCT PUNCT ADP PROPN PROPN PROPN PRON VERB ADP ADJ CCONJ ADJ NOUN ADP DET NOUN NOUN CCONJ DET NOUN VERB VERB VERB ADP ADJ ADJ NOUN NOUN NOUN
Wild is served admirably by his producer and recording engineer : the piano tone is both crystal - clear and powerfully meaty.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	crystal clear	figurative	dashes	PROPN VERB VERB ADV ADP ADJ NOUN CCONJ NOUN NOUN PUNCT DET NOUN NOUN VERB CCONJ NOUN PUNCT ADJ CCONJ ADV NOUN	▁Wild ▁is ▁served ▁ad mir ably ▁by ▁his ▁producer ▁and ▁recording ▁engineer ▁ : ▁the ▁p iano ▁to ne ▁is ▁both ▁crystal ▁- ▁clear ▁and ▁powerful ly ▁meat y .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PROPN VERB VERB ADV ADV ADV ADP ADJ NOUN CCONJ NOUN NOUN PUNCT PUNCT DET NOUN NOUN NOUN NOUN VERB CCONJ NOUN PUNCT ADJ CCONJ ADV ADV NOUN NOUN NOUN
There is a crystal clear Catch 22 situation here.	0 0 0 1 1 0 0 0 0	crystal clear	figurative	identical	ADV VERB DET NOUN ADJ VERB NUM NOUN ADV	▁There ▁is ▁a ▁crystal ▁clear ▁Catch ▁22 ▁situation ▁here .	0 0 0 1 1 0 0 0 0 0	ADV VERB DET NOUN ADJ VERB NUM NOUN ADV ADV
It is true that the exact nature of this equitable interest was not crystal clear, for the members could not, while the firm was a going concern, lay claim to any particular asset or prevent the directors from disposing of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	PRON VERB ADJ ADP DET ADJ NOUN ADP DET ADJ NOUN VERB ADV NOUN ADJ ADP DET NOUN VERB ADV ADP DET NOUN VERB DET VERB NOUN VERB NOUN ADP DET ADJ NOUN CCONJ VERB DET NOUN ADP VERB ADP PRON	▁It ▁is ▁true ▁that ▁the ▁exact ▁nature ▁of ▁this ▁equitable ▁interest ▁was ▁not ▁crystal ▁clear , ▁for ▁the ▁members ▁could ▁not , ▁while ▁the ▁firm ▁was ▁a ▁going ▁concern , ▁lay ▁claim ▁to ▁any ▁particular ▁asset ▁or ▁prevent ▁the ▁directors ▁from ▁dispos ing ▁of ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADP DET ADJ NOUN ADP DET ADJ NOUN VERB ADV NOUN ADJ ADJ ADP DET NOUN VERB ADV ADV ADP DET NOUN VERB DET VERB NOUN NOUN VERB NOUN ADP DET ADJ NOUN CCONJ VERB DET NOUN ADP VERB VERB ADP PRON PRON
Especially when he had made it crystal - clear where he stood with her.	0 0 0 0 0 0 1 0 1 0 0 0 0 0	crystal clear	figurative	dashes	ADV ADV PRON VERB VERB PRON NOUN PUNCT ADJ ADV PRON VERB ADP PRON	▁Especially ▁when ▁he ▁had ▁made ▁it ▁crystal ▁- ▁clear ▁where ▁he ▁stood ▁with ▁her .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	ADV ADV PRON VERB VERB PRON NOUN PUNCT ADJ ADV PRON VERB ADP PRON PRON
Some things are crystal - clear, yet the rest keep lurking in the fog.	0 0 0 1 0 1 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	DET NOUN VERB NOUN PUNCT ADJ CCONJ DET NOUN VERB VERB ADP DET NOUN	▁Some ▁things ▁are ▁crystal ▁- ▁clear , ▁yet ▁the ▁rest ▁keep ▁lu rk ing ▁in ▁the ▁fog .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB NOUN PUNCT ADJ ADJ CCONJ DET NOUN VERB VERB VERB VERB ADP DET NOUN NOUN
Can I make it quite crystal clear to my own mind, long term pension benefits it doesn't come automatically it only comes if you surrender part of your own pension thus making provision for.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	VERB PRON VERB PRON ADV NOUN ADJ ADP ADJ ADJ NOUN ADJ NOUN NOUN NOUN PRON VERB VERB ADV PRON ADV VERB ADP PRON VERB NOUN ADP ADJ ADJ NOUN ADV VERB NOUN ADP	▁Can ▁I ▁make ▁it ▁quite ▁crystal ▁clear ▁to ▁my ▁own ▁mind , ▁long ▁term ▁pension ▁benefits ▁it ▁does n ' t ▁come ▁automatically ▁it ▁only ▁comes ▁if ▁you ▁surrender ▁part ▁of ▁your ▁own ▁pension ▁thus ▁making ▁provision ▁for .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB PRON VERB PRON ADV NOUN ADJ ADP ADJ ADJ NOUN NOUN ADJ NOUN NOUN NOUN PRON VERB VERB VERB VERB VERB ADV PRON ADV VERB ADP PRON VERB NOUN ADP ADJ ADJ NOUN ADV VERB NOUN ADP ADP
Don't expect everything to be crystal clear, or cut and dried for Monday's one of those times when you have to take the lead and not wait for folk to spell things out in words of one syllable.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	VERB VERB NOUN PART VERB NOUN ADJ CCONJ VERB CCONJ VERB ADP PROPN NUM ADP DET NOUN ADV PRON VERB PART VERB DET NOUN CCONJ ADV VERB ADP NOUN PART VERB NOUN PART ADP NOUN ADP NUM NOUN	▁Don ' t ▁expect ▁everything ▁to ▁be ▁crystal ▁clear , ▁or ▁cut ▁and ▁dried ▁for ▁Monday ' s ▁one ▁of ▁those ▁times ▁when ▁you ▁have ▁to ▁take ▁the ▁lead ▁and ▁not ▁wait ▁for ▁fol k ▁to ▁spell ▁things ▁out ▁in ▁words ▁of ▁one ▁syllab le .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB VERB NOUN PART VERB NOUN ADJ ADJ CCONJ VERB CCONJ VERB ADP PROPN PROPN PROPN NUM ADP DET NOUN ADV PRON VERB PART VERB DET NOUN CCONJ ADV VERB ADP NOUN NOUN PART VERB NOUN PART ADP NOUN ADP NUM NOUN NOUN NOUN
Even if Rainbow has entered the jaws of the enemy, the house rules regarding gender are crystal clear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	ADV ADP PROPN VERB VERB DET NOUN ADP DET NOUN DET NOUN NOUN VERB NOUN VERB NOUN ADJ	▁Even ▁if ▁Rain bow ▁has ▁entered ▁the ▁jaw s ▁of ▁the ▁enemy , ▁the ▁house ▁rules ▁regarding ▁gender ▁are ▁crystal ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADV ADP PROPN PROPN VERB VERB DET NOUN NOUN ADP DET NOUN NOUN DET NOUN NOUN VERB NOUN VERB NOUN ADJ ADJ
Aberdeenshire farmers, who know a thing or six about land, will tell you that ‘ a mile o ' Dons worth twa o ' Dee’ and whilst the Dee is crystal clear, Don tends to be more coloured and weedy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	PROPN NOUN NOUN VERB DET NOUN CCONJ NUM ADP NOUN VERB VERB PRON ADP PUNCT DET NOUN NOUN PUNCT NOUN ADJ NOUN X PUNCT NOUN CCONJ ADP DET PROPN VERB NOUN ADJ PROPN VERB PART VERB ADV ADJ CCONJ ADJ	▁A ber de en shire ▁farmers , ▁who ▁know ▁a ▁thing ▁or ▁six ▁about ▁land , ▁will ▁tell ▁you ▁that ▁ ‘ ▁a ▁ mile ▁o ▁' ▁Don s ▁worth ▁t wa ▁o ▁' ▁De e ’ ▁and ▁whilst ▁the ▁De e ▁is ▁crystal ▁clear , ▁Don ▁tend s ▁to ▁be ▁more ▁coloured ▁and ▁we ed y .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN VERB DET NOUN CCONJ NUM ADP NOUN NOUN VERB VERB PRON ADP PUNCT PUNCT DET NOUN NOUN NOUN PUNCT NOUN NOUN ADJ NOUN NOUN X PUNCT NOUN NOUN NOUN CCONJ ADP DET PROPN PROPN VERB NOUN ADJ ADJ PROPN VERB VERB PART VERB ADV ADJ CCONJ ADJ ADJ ADJ ADJ
The openness, the warmth and the humour, simply people's humanity, I have seen everywhere have made one thing crystal clear : Africa's true wealth is its people.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN DET NOUN CCONJ DET NOUN ADV NOUN NOUN PRON VERB VERB ADV VERB VERB NUM NOUN NOUN ADJ PUNCT PROPN ADJ NOUN VERB ADJ NOUN	▁The ▁openness , ▁the ▁warm th ▁and ▁the ▁h umour , ▁simply ▁people ' s ▁humanity , ▁I ▁have ▁seen ▁everywhere ▁have ▁made ▁one ▁thing ▁crystal ▁clear ▁ : ▁Africa ' s ▁true ▁wealth ▁is ▁its ▁people .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN DET NOUN NOUN CCONJ DET NOUN NOUN NOUN ADV NOUN NOUN NOUN NOUN NOUN PRON VERB VERB ADV VERB VERB NUM NOUN NOUN ADJ PUNCT PUNCT PROPN PROPN PROPN ADJ NOUN VERB ADJ NOUN NOUN
Is not it crystal clear that the Government are willingly in collusion with those stores that are using salami tactics bit by bit — before Christmas, between Christmas and the new year and after the new year — and which so handsomely contribute to Conservative party funds?	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	VERB ADV PRON NOUN ADJ ADP DET PROPN VERB ADV ADP NOUN ADP DET NOUN ADJ VERB VERB ADJ NOUN VERB ADP NOUN PUNCT ADP PROPN ADP PROPN CCONJ DET ADJ NOUN CCONJ ADP DET ADJ NOUN PUNCT CCONJ ADJ ADV ADV VERB ADP ADJ NOUN NOUN	▁Is ▁not ▁it ▁crystal ▁clear ▁that ▁the ▁Government ▁are ▁willing ly ▁in ▁co llus ion ▁with ▁those ▁stores ▁that ▁are ▁using ▁sal ami ▁tactic s ▁bit ▁by ▁bit ▁ — ▁before ▁Christmas , ▁between ▁Christmas ▁and ▁the ▁new ▁year ▁and ▁after ▁the ▁new ▁year ▁ — ▁and ▁which ▁so ▁hand some ly ▁contribute ▁to ▁C onservative ▁party ▁funds ?	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADV PRON NOUN ADJ ADP DET PROPN VERB ADV ADV ADP NOUN NOUN NOUN ADP DET NOUN ADJ VERB VERB ADJ ADJ NOUN NOUN VERB ADP NOUN PUNCT PUNCT ADP PROPN PROPN ADP PROPN CCONJ DET ADJ NOUN CCONJ ADP DET ADJ NOUN PUNCT PUNCT CCONJ ADJ ADV ADV ADV ADV VERB ADP ADJ ADJ NOUN NOUN NOUN
How wonderful it was to be able to stop a car on impulse and bathe in a pool of crystal - clear water!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	crystal clear	figurative	dashes	ADV ADJ PRON VERB PART VERB ADJ PART VERB DET NOUN ADP NOUN CCONJ VERB ADP DET NOUN ADP NOUN PUNCT ADJ NOUN	▁How ▁wonderful ▁it ▁was ▁to ▁be ▁able ▁to ▁stop ▁a ▁car ▁on ▁impulse ▁and ▁bath e ▁in ▁a ▁pool ▁of ▁crystal ▁- ▁clear ▁water !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	ADV ADJ PRON VERB PART VERB ADJ PART VERB DET NOUN ADP NOUN CCONJ VERB VERB ADP DET NOUN ADP NOUN PUNCT ADJ NOUN NOUN
The river was fast - flowing, crystal - clear and swarming with catfish and barbel ; we had plenty of hooks and line and caught sixty in one day.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	DET NOUN VERB ADV PUNCT VERB NOUN PUNCT ADJ CCONJ VERB ADP NOUN CCONJ VERB PUNCT PRON VERB NOUN ADP NOUN CCONJ NOUN CCONJ VERB NUM ADP NUM NOUN	▁The ▁river ▁was ▁fast ▁- ▁flow ing , ▁crystal ▁- ▁clear ▁and ▁sw arm ing ▁with ▁cat fish ▁and ▁bar bel ▁ ; ▁we ▁had ▁plenty ▁of ▁hooks ▁and ▁line ▁and ▁caught ▁sixty ▁in ▁one ▁day .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV PUNCT VERB VERB VERB NOUN PUNCT ADJ CCONJ VERB VERB VERB ADP NOUN NOUN CCONJ VERB VERB PUNCT PUNCT PRON VERB NOUN ADP NOUN CCONJ NOUN CCONJ VERB NUM ADP NUM NOUN NOUN
Rhythm was controlled over the long paragraphs ; articulation crystal - clear.	0 0 0 0 0 0 0 0 0 1 0 1	crystal clear	figurative	dashes	PROPN VERB VERB ADP DET ADJ NOUN PUNCT NOUN NOUN PUNCT ADJ	▁R hy th m ▁was ▁controlled ▁over ▁the ▁long ▁paragraphs ▁ ; ▁articulat ion ▁crystal ▁- ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN VERB VERB ADP DET ADJ NOUN PUNCT PUNCT NOUN NOUN NOUN PUNCT ADJ ADJ
The weather bureau was predicting light rain and snow flurries and the cirrus was thickening, but over San Antonio, Texas, three and a half hours later, the night was crystal clear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	DET NOUN NOUN VERB VERB ADJ NOUN CCONJ NOUN NOUN CCONJ DET NOUN VERB NOUN CCONJ ADP PROPN PROPN PROPN NUM CCONJ DET NOUN NOUN ADV DET NOUN VERB NOUN ADJ	▁The ▁weather ▁bureau ▁was ▁predict ing ▁light ▁rain ▁and ▁snow ▁flu r ries ▁and ▁the ▁cirr us ▁was ▁thicken ing , ▁but ▁over ▁San ▁Antonio , ▁T ex as , ▁three ▁and ▁a ▁half ▁hours ▁later , ▁the ▁night ▁was ▁crystal ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	DET NOUN NOUN VERB VERB VERB ADJ NOUN CCONJ NOUN NOUN NOUN NOUN CCONJ DET NOUN NOUN VERB NOUN NOUN NOUN CCONJ ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN NUM CCONJ DET NOUN NOUN ADV ADV DET NOUN VERB NOUN ADJ ADJ
I could however moan on about the likelihood of anyone ever wanting to listen to this collection straight through at one sitting, or that Miss Battle could have done rather more in the way of characterising each aria ( and her diction is also hardly crystal clear ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	crystal clear	figurative	identical	PRON VERB ADV VERB ADP ADP DET NOUN ADP NOUN ADV VERB PART VERB ADP DET NOUN ADV ADV ADP NUM NOUN CCONJ ADP PROPN PROPN VERB VERB VERB ADV ADV ADP DET NOUN ADP VERB DET NOUN PUNCT CCONJ ADJ NOUN VERB ADV ADV NOUN ADJ PUNCT	▁I ▁could ▁however ▁mo an ▁on ▁about ▁the ▁likelihood ▁of ▁anyone ▁ever ▁wanting ▁to ▁listen ▁to ▁this ▁collection ▁straight ▁through ▁at ▁one ▁sitting , ▁or ▁that ▁Miss ▁Ba ttle ▁could ▁have ▁done ▁rather ▁more ▁in ▁the ▁way ▁of ▁character ising ▁each ▁a ria ▁( ▁and ▁her ▁di ction ▁is ▁also ▁hardly ▁crystal ▁clear ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	PRON VERB ADV VERB VERB ADP ADP DET NOUN ADP NOUN ADV VERB PART VERB ADP DET NOUN ADV ADV ADP NUM NOUN NOUN CCONJ ADP PROPN PROPN PROPN VERB VERB VERB ADV ADV ADP DET NOUN ADP VERB VERB DET NOUN NOUN PUNCT CCONJ ADJ NOUN NOUN VERB ADV ADV NOUN ADJ PUNCT PUNCT
True, they are filter - feeders, but not in the sense of turning a dirty, unmaintained, pea - soup pond crystal clear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	ADJ PRON VERB NOUN PUNCT NOUN CCONJ ADV ADP DET NOUN ADP VERB DET ADJ ADJ NOUN PUNCT NOUN NOUN NOUN ADJ	▁True , ▁they ▁are ▁filter ▁- ▁feeder s , ▁but ▁not ▁in ▁the ▁sense ▁of ▁turning ▁a ▁dirty , ▁un main tained , ▁pea ▁- ▁so up ▁pond ▁crystal ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADJ ADJ PRON VERB NOUN PUNCT NOUN NOUN NOUN CCONJ ADV ADP DET NOUN ADP VERB DET ADJ ADJ ADJ ADJ ADJ ADJ NOUN PUNCT NOUN NOUN NOUN NOUN ADJ ADJ
Everything crystal clear but refusing to make sense.	0 1 1 0 0 0 0 0	crystal clear	figurative	identical	NOUN NOUN ADJ CCONJ VERB PART VERB NOUN	▁Everything ▁crystal ▁clear ▁but ▁refus ing ▁to ▁make ▁sense .	0 1 1 0 0 0 0 0 0 0	NOUN NOUN ADJ CCONJ VERB VERB PART VERB NOUN NOUN
