She smiled again, which Mark again returned, even though he was not in the running.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB ADV ADJ PROPN ADV VERB ADV ADP PRON VERB ADV ADP DET NOUN	▁She ▁smile d ▁again , ▁which ▁Mark ▁again ▁returned , ▁even ▁though ▁he ▁was ▁not ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADV ADV ADJ PROPN ADV VERB VERB ADV ADP PRON VERB ADV ADP DET NOUN NOUN
Two senior boys have expressed an interest in attending a course to enable them to participate more in the running of the club ( the J.G.V.A. has agreed to pay their fees ) a volunteer Diane Prior has joined the staff, Laura Brown has been given a date for mini bus driving test, two staff members have attended a Youth Work Conference for South West Edinburgh — G. Lightheart has ordered new equipment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	NUM ADJ NOUN VERB VERB DET NOUN ADP VERB DET NOUN PART VERB PRON PART VERB ADV ADP DET NOUN ADP DET NOUN PUNCT DET PROPN VERB VERB PART VERB ADJ NOUN PUNCT DET NOUN PROPN PROPN VERB VERB DET NOUN PROPN PROPN VERB VERB VERB DET NOUN ADP ADJ NOUN NOUN NOUN NUM NOUN NOUN VERB VERB DET PROPN PROPN PROPN ADP PROPN PROPN PROPN PUNCT PROPN PROPN VERB VERB ADJ NOUN	▁Two ▁senior ▁boys ▁have ▁expressed ▁an ▁interest ▁in ▁attending ▁a ▁course ▁to ▁enable ▁them ▁to ▁participate ▁more ▁in ▁the ▁running ▁of ▁the ▁club ▁( ▁the ▁J . G . V . A . ▁has ▁agreed ▁to ▁pay ▁their ▁fees ▁ ) ▁a ▁volunteer ▁Di ane ▁Prior ▁has ▁joined ▁the ▁staff , ▁La ura ▁Brown ▁has ▁been ▁given ▁a ▁date ▁for ▁mini ▁bus ▁driving ▁test , ▁two ▁staff ▁members ▁have ▁attended ▁a ▁Youth ▁Work ▁Conference ▁for ▁South ▁West ▁Edinburgh ▁ — ▁G . ▁Light heart ▁has ▁ordered ▁new ▁equipment .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM ADJ NOUN VERB VERB DET NOUN ADP VERB DET NOUN PART VERB PRON PART VERB ADV ADP DET NOUN ADP DET NOUN PUNCT DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB PART VERB ADJ NOUN PUNCT PUNCT DET NOUN PROPN PROPN PROPN VERB VERB DET NOUN NOUN PROPN PROPN PROPN VERB VERB VERB DET NOUN ADP ADJ NOUN NOUN NOUN NOUN NUM NOUN NOUN VERB VERB DET PROPN PROPN PROPN ADP PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN VERB VERB ADJ NOUN NOUN
Relocation is bound to cause a certain amount of disruption in the running of the business.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	NOUN VERB VERB PART VERB DET ADJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN	▁Re location ▁is ▁bound ▁to ▁cause ▁a ▁certain ▁amount ▁of ▁disruption ▁in ▁the ▁running ▁of ▁the ▁business .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	NOUN NOUN VERB VERB PART VERB DET ADJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN NOUN
But they very soon did, for within a few days, on October 19, Keith made a speech in Edgbaston which demonstrated almost unbelievable ineptitude for someone in the running for the Leadership.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	figurative	identical	CCONJ PRON ADV ADV VERB ADP ADP DET ADJ NOUN ADP PROPN NUM PROPN VERB DET NOUN ADP PROPN ADJ VERB ADV ADJ NOUN ADP NOUN ADP DET NOUN ADP DET PROPN	▁But ▁they ▁very ▁soon ▁did , ▁for ▁within ▁a ▁few ▁days , ▁on ▁October ▁19 , ▁Ke ith ▁made ▁a ▁speech ▁in ▁E d g bas ton ▁which ▁demonstrated ▁almost ▁un bel iev able ▁in ep titude ▁for ▁someone ▁in ▁the ▁running ▁for ▁the ▁Leader ship .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	CCONJ PRON ADV ADV VERB VERB ADP ADP DET ADJ NOUN NOUN ADP PROPN NUM NUM PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN ADJ VERB ADV ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADP NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN
Coleridge biography in the running for £ 20,250 prize.	0 0 1 0 1 0 0 0 0	in the running	figurative	identical	NOUN NOUN ADP DET NOUN ADP SYM NUM NOUN	▁C ole rid ge ▁bi ography ▁in ▁the ▁running ▁for ▁£ ▁20 , 250 ▁prize .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN NOUN NOUN ADP DET NOUN ADP SYM NUM NUM NUM NOUN NOUN
They each had their appointed tasks, and their place in the running of the Castle, and Grainne, unused to being included in such ordinary daily tasks, felt it enfold her gently and naturally.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON DET VERB ADJ VERB NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET PROPN CCONJ PROPN ADJ ADP VERB VERB ADP ADJ ADJ ADJ NOUN VERB PRON ADV PRON ADV CCONJ ADV	▁They ▁each ▁had ▁their ▁appointed ▁tasks , ▁and ▁their ▁place ▁in ▁the ▁running ▁of ▁the ▁Castle , ▁and ▁Grain ne , ▁unused ▁to ▁being ▁included ▁in ▁such ▁ordinary ▁daily ▁tasks , ▁felt ▁it ▁en fold ▁her ▁gently ▁and ▁naturally .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON DET VERB ADJ VERB NOUN NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET PROPN PROPN CCONJ PROPN PROPN PROPN ADJ ADP VERB VERB ADP ADJ ADJ ADJ NOUN NOUN VERB PRON ADV ADV PRON ADV CCONJ ADV ADV
Inter - war interior design depended on subtelty and understatement, neither of which are much valued in the running of a pub today.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the running	literal	identical	NOUN PUNCT NOUN ADJ NOUN VERB ADP ADJ CCONJ NOUN DET ADP ADJ VERB ADV VERB ADP DET NOUN ADP DET NOUN NOUN	▁Inter ▁- ▁war ▁interior ▁design ▁depend ed ▁on ▁sub tel ty ▁and ▁under statement , ▁neither ▁of ▁which ▁are ▁much ▁valued ▁in ▁the ▁running ▁of ▁a ▁pub ▁today .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	NOUN PUNCT NOUN ADJ NOUN VERB VERB ADP ADJ ADJ ADJ CCONJ NOUN NOUN NOUN DET ADP ADJ VERB ADV VERB ADP DET NOUN ADP DET NOUN NOUN NOUN
In any case, as the permanent under - secretary in the Foreign Office philosophically remarked, if the Americans were asked to " underwrite the Empire, they would expect some say in its running ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the running	literal	determiner-broad	ADP DET NOUN ADP DET ADJ ADP PUNCT NOUN ADP DET PROPN PROPN ADV VERB ADP DET PROPN VERB VERB PART PUNCT VERB DET NOUN PRON VERB VERB DET NOUN ADP ADJ NOUN PUNCT	▁In ▁any ▁case , ▁as ▁the ▁permanent ▁under ▁- ▁secretary ▁in ▁the ▁Foreign ▁Office ▁philosophical ly ▁remark ed , ▁if ▁the ▁Americans ▁were ▁asked ▁to ▁" ▁under write ▁the ▁Em pir e , ▁they ▁would ▁expect ▁some ▁say ▁in ▁its ▁running ▁" .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	ADP DET NOUN NOUN ADP DET ADJ ADP PUNCT NOUN ADP DET PROPN PROPN ADV ADV VERB VERB VERB ADP DET PROPN VERB VERB PART PUNCT VERB VERB DET NOUN NOUN NOUN NOUN PRON VERB VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT
Nan was in the running for that kind of life, and Emily would do everything in her power to get it for her.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN VERB ADP DET NOUN ADP DET NOUN ADP NOUN CCONJ PROPN VERB VERB NOUN ADP ADJ NOUN PART VERB PRON ADP PRON	▁N an ▁was ▁in ▁the ▁running ▁for ▁that ▁kind ▁of ▁life , ▁and ▁Em ily ▁would ▁do ▁everything ▁in ▁her ▁power ▁to ▁get ▁it ▁for ▁her .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ PROPN PROPN VERB VERB NOUN ADP ADJ NOUN PART VERB PRON ADP PRON PRON
Goldsmith and M.C. Dobson, could be in the running.	0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PROPN CCONJ PROPN PROPN VERB VERB ADP DET NOUN	▁Gold smith ▁and ▁M . C . ▁Do b son , ▁could ▁be ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADP DET NOUN NOUN
Other changes of personnel include the appointment of Ann Dickson as Assistant Preparations Manager to assist Tom Blackburn in the efficient running of Axminster and Wilton preparation, and within the same office, Louise Andrew has been appointed to take the place of recently retired Joan Breckenridge, to record production figures.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	insertion-other	ADJ NOUN ADP NOUN VERB DET NOUN ADP PROPN PROPN ADP PROPN PROPN PROPN PART VERB PROPN PROPN ADP DET ADJ NOUN ADP PROPN CCONJ PROPN NOUN CCONJ ADP DET ADJ NOUN PROPN PROPN VERB VERB VERB PART VERB DET NOUN ADP ADV VERB PROPN PROPN PART VERB NOUN NOUN	▁Other ▁changes ▁of ▁personnel ▁include ▁the ▁appointment ▁of ▁An n ▁D ick son ▁as ▁Assistant ▁Preparations ▁Manager ▁to ▁assist ▁Tom ▁Black burn ▁in ▁the ▁efficient ▁running ▁of ▁Ax min ster ▁and ▁Wil ton ▁preparation , ▁and ▁within ▁the ▁same ▁office , ▁Louis e ▁Andrew ▁has ▁been ▁appointed ▁to ▁take ▁the ▁place ▁of ▁recently ▁retired ▁Jo an ▁Bre cken rid ge , ▁to ▁record ▁production ▁figures .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN ADP NOUN VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PART VERB PROPN PROPN PROPN ADP DET ADJ NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN NOUN NOUN CCONJ ADP DET ADJ NOUN NOUN PROPN PROPN PROPN VERB VERB VERB PART VERB DET NOUN ADP ADV VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PART VERB NOUN NOUN NOUN
Among the " rising stars " were Carlos Aldana and Carlos Lage Dávila, both involved in the running of the Union of Young Communists, and Roberto Robaina González representing the Revolution's third generation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADP DET PUNCT VERB NOUN PUNCT VERB PROPN PROPN CCONJ PROPN PROPN PROPN DET VERB ADP DET NOUN ADP DET PROPN ADP PROPN PROPN CCONJ PROPN PROPN PROPN VERB DET PROPN ADJ NOUN	▁Among ▁the ▁" ▁rising ▁stars ▁" ▁were ▁Carlo s ▁Al d ana ▁and ▁Carlo s ▁L age ▁D á vil a , ▁both ▁involved ▁in ▁the ▁running ▁of ▁the ▁Union ▁of ▁Young ▁Commun ists , ▁and ▁Robert o ▁Ro ba ina ▁González ▁representing ▁the ▁Revolution ' s ▁third ▁generation .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET PUNCT VERB NOUN PUNCT VERB PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET VERB ADP DET NOUN ADP DET PROPN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN VERB DET PROPN PROPN PROPN ADJ NOUN NOUN
Annie Jones, who plays Jane, was also in the running.	0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PROPN PROPN NOUN VERB PROPN VERB ADV ADP DET NOUN	▁An nie ▁Jones , ▁who ▁plays ▁Jan e , ▁was ▁also ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN NOUN VERB PROPN PROPN PROPN VERB ADV ADP DET NOUN NOUN
After the first ballot they do not have to guess, they know that the leading contenders are Ape and Bear, that Camel may still be in the running but has a lot of ground to make up, and that Donkey and Elephant have very little hope of being elected.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP DET ADJ NOUN PRON VERB ADV VERB PART VERB PRON VERB ADP DET VERB NOUN VERB PROPN CCONJ PROPN ADP PROPN VERB ADV VERB ADP DET NOUN CCONJ VERB DET NOUN ADP NOUN PART VERB PART CCONJ ADP PROPN CCONJ PROPN VERB ADV ADJ NOUN ADP VERB VERB	▁After ▁the ▁first ▁ballot ▁they ▁do ▁not ▁have ▁to ▁guess , ▁they ▁know ▁that ▁the ▁leading ▁contend ers ▁are ▁A pe ▁and ▁B ear , ▁that ▁Ca mel ▁may ▁still ▁be ▁in ▁the ▁running ▁but ▁has ▁a ▁lot ▁of ▁ground ▁to ▁make ▁up , ▁and ▁that ▁Don key ▁and ▁El e ph ant ▁have ▁very ▁little ▁hope ▁of ▁being ▁elected .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN PRON VERB ADV VERB PART VERB VERB PRON VERB ADP DET VERB NOUN NOUN VERB PROPN PROPN CCONJ PROPN PROPN PROPN ADP PROPN PROPN VERB ADV VERB ADP DET NOUN CCONJ VERB DET NOUN ADP NOUN PART VERB PART PART CCONJ ADP PROPN PROPN CCONJ PROPN PROPN PROPN PROPN VERB ADV ADJ NOUN ADP VERB VERB VERB
You can find your nearest one in the running shop directory at the back of the magazine.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON VERB VERB ADJ ADJ NUM ADP DET VERB NOUN NOUN ADP DET NOUN ADP DET NOUN	▁You ▁can ▁find ▁your ▁near est ▁one ▁in ▁the ▁running ▁shop ▁directory ▁at ▁the ▁back ▁of ▁the ▁magazine .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ ADJ ADJ NUM ADP DET VERB NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN
It also advocated that the local authorities should ‘ maintain their presence in higher education’, adding that it would only be acceptable for them to do so if they could all ‘ restrain themselves from excessive and unreasonable interference in the running of large, developed polytechnics with the skills and competence to look after themselves’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON ADV VERB ADP DET ADJ NOUN VERB PUNCT VERB ADJ NOUN ADP ADJ NOUN VERB ADP PRON VERB ADV VERB ADJ ADP PRON PART VERB ADV ADP PRON VERB ADV PUNCT NOUN PRON ADP ADJ CCONJ ADJ NOUN ADP DET NOUN ADP ADJ ADJ NOUN ADP DET NOUN CCONJ NOUN PART VERB ADP NOUN	▁It ▁also ▁advocate d ▁that ▁the ▁local ▁authorities ▁should ▁ ‘ ▁maintain ▁their ▁presence ▁in ▁higher ▁education ’ , ▁adding ▁that ▁it ▁would ▁only ▁be ▁acceptable ▁for ▁them ▁to ▁do ▁so ▁if ▁they ▁could ▁all ▁ ‘ ▁restrain ▁themselves ▁from ▁excessive ▁and ▁unreasonable ▁interference ▁in ▁the ▁running ▁of ▁large , ▁developed ▁poly tech nic s ▁with ▁the ▁skills ▁and ▁competence ▁to ▁look ▁after ▁themselves ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB VERB ADP DET ADJ NOUN VERB PUNCT PUNCT VERB ADJ NOUN ADP ADJ NOUN NOUN NOUN VERB ADP PRON VERB ADV VERB ADJ ADP PRON PART VERB ADV ADP PRON VERB ADV PUNCT PUNCT NOUN PRON ADP ADJ CCONJ ADJ NOUN ADP DET NOUN ADP ADJ ADJ ADJ NOUN NOUN NOUN NOUN ADP DET NOUN CCONJ NOUN PART VERB ADP NOUN NOUN NOUN
So it was ironic that Lennie was not in the running for the new Barclays - sponsored prize.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	figurative	identical	ADV PRON VERB ADJ ADP PROPN VERB ADV ADP DET NOUN ADP DET ADJ PROPN PUNCT VERB NOUN	▁So ▁it ▁was ▁iron ic ▁that ▁L en nie ▁was ▁not ▁in ▁the ▁running ▁for ▁the ▁new ▁Bar c lay s ▁- ▁sponsored ▁prize .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB ADJ ADJ ADP PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP DET ADJ PROPN PROPN PROPN PROPN PUNCT VERB NOUN NOUN
Older people are expected to play little part in the running of the group, beyond perhaps a simple process of consultation.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADJ NOUN VERB VERB PART VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADV DET ADJ NOUN ADP NOUN	▁Old er ▁people ▁are ▁expected ▁to ▁play ▁little ▁part ▁in ▁the ▁running ▁of ▁the ▁group , ▁beyond ▁perhaps ▁a ▁simple ▁process ▁of ▁consultation .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN VERB VERB PART VERB ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN ADP ADV DET ADJ NOUN ADP NOUN NOUN
Goal of the week ; it 'll be in the running for goal of the season.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the running	figurative	identical	NOUN ADP DET NOUN PUNCT PRON VERB VERB ADP DET NOUN ADP NOUN ADP DET NOUN	▁Go al ▁of ▁the ▁week ▁ ; ▁it ▁' ll ▁be ▁in ▁the ▁running ▁for ▁goal ▁of ▁the ▁season .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	NOUN NOUN ADP DET NOUN PUNCT PUNCT PRON VERB VERB VERB ADP DET NOUN ADP NOUN ADP DET NOUN NOUN
The former was never seriously in the running, for it would have involved the demolition of the caretaker's house and garage, removed the First Forms ' playground and provided no new classrooms : indeed, if built, it would have rendered the 1937 extension itself too dark for further use.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	DET ADJ VERB ADV ADV ADP DET NOUN ADP PRON VERB VERB VERB DET NOUN ADP DET NOUN NOUN CCONJ NOUN VERB DET PROPN PROPN PART NOUN CCONJ VERB DET ADJ NOUN PUNCT ADV ADP VERB PRON VERB VERB VERB DET NUM NOUN PRON ADV ADJ ADP ADJ NOUN	▁The ▁former ▁was ▁never ▁seriously ▁in ▁the ▁running , ▁for ▁it ▁would ▁have ▁involved ▁the ▁demolition ▁of ▁the ▁care take r ' s ▁house ▁and ▁gar age , ▁removed ▁the ▁First ▁Form s ▁' ▁play ground ▁and ▁provided ▁no ▁new ▁class room s ▁ : ▁indeed , ▁if ▁built , ▁it ▁would ▁have ▁rendered ▁the ▁19 37 ▁extension ▁itself ▁too ▁dark ▁for ▁further ▁use .	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ VERB ADV ADV ADP DET NOUN NOUN ADP PRON VERB VERB VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN VERB DET PROPN PROPN PROPN PART NOUN NOUN CCONJ VERB DET ADJ NOUN NOUN NOUN PUNCT PUNCT ADV ADV ADP VERB VERB PRON VERB VERB VERB DET NUM NUM NOUN PRON ADV ADJ ADP ADJ NOUN NOUN
But even though he is still very much in the running for a place at The Belfry in September Clarke refuses to get carried away.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	CCONJ ADV ADP PRON VERB ADV ADV ADJ ADP DET NOUN ADP DET NOUN ADP DET PROPN ADP PROPN PROPN VERB PART VERB VERB ADV	▁But ▁even ▁though ▁he ▁is ▁still ▁very ▁much ▁in ▁the ▁running ▁for ▁a ▁place ▁at ▁The ▁ Belf ry ▁in ▁September ▁Clar ke ▁refuses ▁to ▁get ▁carried ▁away .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV ADP PRON VERB ADV ADV ADJ ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN ADP PROPN PROPN PROPN VERB PART VERB VERB ADV ADV
The Pretoria Minute, summarizing the agreements reached in these talks, included a commitment to mechanisms for more direct involvement of the ANC and other organizations in the running of the country at all levels.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the running	literal	identical	DET PROPN PROPN VERB DET NOUN VERB ADP DET NOUN VERB DET NOUN ADP NOUN ADP ADJ ADJ NOUN ADP DET PROPN CCONJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN	▁The ▁Pretoria ▁Min ute , ▁summariz ing ▁the ▁agreements ▁reached ▁in ▁these ▁talks , ▁included ▁a ▁commitment ▁to ▁mechanisms ▁for ▁more ▁direct ▁involvement ▁of ▁the ▁ANC ▁and ▁other ▁organizations ▁in ▁the ▁running ▁of ▁the ▁country ▁at ▁all ▁levels .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN VERB VERB DET NOUN VERB ADP DET NOUN NOUN VERB DET NOUN ADP NOUN ADP ADJ ADJ NOUN ADP DET PROPN CCONJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN
Italian museum in the running	0 0 1 0 1	in the running	figurative	identical	ADJ NOUN ADP DET NOUN	▁Italian ▁museum ▁in ▁the ▁running	0 0 1 0 1	ADJ NOUN ADP DET NOUN
Hopes of an imminent sale were quashed by the statement's first line, which said : ‘ There will be no change in the running of the club until further notice.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the running	literal	identical	NOUN ADP DET ADJ NOUN VERB VERB ADP DET NOUN ADJ NOUN ADJ VERB PUNCT PUNCT ADV VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP ADV PUNCT	▁Hop es ▁of ▁an ▁imminent ▁sale ▁were ▁qua shed ▁by ▁the ▁statement ' s ▁first ▁line , ▁which ▁said ▁ : ▁ ‘ ▁There ▁will ▁be ▁no ▁change ▁in ▁the ▁running ▁of ▁the ▁club ▁until ▁further ▁notice . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	NOUN NOUN ADP DET ADJ NOUN VERB VERB VERB ADP DET NOUN NOUN NOUN ADJ NOUN NOUN ADJ VERB PUNCT PUNCT PUNCT PUNCT ADV VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP ADV PUNCT PUNCT PUNCT
Mrs Gandhi's eldest son Sanjay, later killed in an aeroplane crash in 1980, helped her in the running — and the destruction — of the party.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the running	literal	identical	PROPN PROPN ADJ NOUN PROPN ADV VERB ADP DET NOUN NOUN ADP NUM VERB PRON ADP DET NOUN PUNCT CCONJ DET NOUN PUNCT ADP DET NOUN	▁Mrs ▁G and hi ' s ▁el d est ▁son ▁S anja y , ▁later ▁killed ▁in ▁an ▁aeroplane ▁crash ▁in ▁1980, ▁helped ▁her ▁in ▁the ▁running ▁ — ▁and ▁the ▁destruction ▁ — ▁of ▁the ▁party .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ NOUN PROPN PROPN PROPN PROPN ADV VERB ADP DET NOUN NOUN ADP NUM VERB PRON ADP DET NOUN PUNCT PUNCT CCONJ DET NOUN PUNCT PUNCT ADP DET NOUN NOUN
