Mostly she deals with moral issues, though some are topical or ‘ tongue in cheek’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	dashes	ADV PRON VERB ADP ADJ NOUN ADP DET VERB ADJ CCONJ PUNCT NOUN ADP NOUN	▁Most ly ▁she ▁deals ▁with ▁moral ▁issues , ▁though ▁some ▁are ▁topical ▁or ▁ ‘ ▁tongue ▁in ▁che ek ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADV ADV PRON VERB ADP ADJ NOUN NOUN ADP DET VERB ADJ CCONJ PUNCT PUNCT NOUN ADP NOUN NOUN NOUN NOUN
James Joyce is a pre - eminently Class 2 novelist, and so for comparative purposes, Burgess offers us ( tongue - in - cheek ) a translation into Class 1 language of the opening of A Portrait of the Artist as a Young Man.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN VERB DET ADJ PUNCT ADV NOUN NUM NOUN CCONJ ADV ADP ADJ NOUN PROPN VERB PRON PUNCT NOUN PUNCT ADP PUNCT NOUN PUNCT DET NOUN ADP NOUN NUM NOUN ADP DET NOUN ADP DET PROPN ADP DET PROPN ADP DET PROPN PROPN	▁James ▁Jo y ce ▁is ▁a ▁pre ▁- ▁eminent ly ▁Class ▁2 ▁novel ist , ▁and ▁so ▁for ▁comparative ▁purposes , ▁Burg es s ▁offers ▁us ▁( ▁tongue ▁- ▁in ▁- ▁che ek ▁ ) ▁a ▁translation ▁into ▁Class ▁1 ▁language ▁of ▁the ▁opening ▁of ▁A ▁Port ra it ▁of ▁the ▁Art ist ▁as ▁a ▁Young ▁Man .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB DET ADJ PUNCT ADV ADV NOUN NUM NOUN NOUN NOUN CCONJ ADV ADP ADJ NOUN NOUN PROPN PROPN PROPN VERB PRON PUNCT NOUN PUNCT ADP PUNCT NOUN NOUN PUNCT PUNCT DET NOUN ADP NOUN NUM NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN ADP DET PROPN PROPN ADP DET PROPN PROPN PROPN
Rave suffers from a slew of sub - standard rubbish, but compared with the general bollocks Hypno Genesis shine through with a tongue - in - cheek optimism reminiscent of early Altern 8.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	tongue in cheek	figurative	dashes	NOUN VERB ADP DET NOUN ADP NOUN PUNCT ADJ NOUN CCONJ VERB ADP DET ADJ NOUN PROPN PROPN VERB PART ADP DET NOUN PUNCT ADP PUNCT NOUN NOUN ADJ ADP ADJ PROPN NUM	▁R ave ▁suffer s ▁from ▁a ▁s lew ▁of ▁sub ▁- ▁standard ▁rubbish , ▁but ▁compared ▁with ▁the ▁general ▁ bol lock s ▁Hyp no ▁Gen e sis ▁sh ine ▁through ▁with ▁a ▁tongue ▁- ▁in ▁- ▁che ek ▁optimis m ▁re mini s cent ▁of ▁early ▁Al tern ▁8.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB VERB ADP DET NOUN NOUN ADP NOUN PUNCT ADJ NOUN NOUN CCONJ VERB ADP DET ADJ NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB VERB PART ADP DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN ADJ ADJ ADJ ADJ ADP ADJ PROPN PROPN NUM
Maxwell was a more sympathetic critic, seeing the work ( perhaps with tongue in cheek ) as science baited with ‘ the allurement of some more human interest’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PROPN VERB DET ADV ADJ NOUN VERB DET NOUN PUNCT ADV ADP NOUN ADP NOUN PUNCT ADP NOUN VERB ADP PUNCT DET NOUN ADP DET ADV ADJ NOUN	▁Max well ▁was ▁a ▁more ▁sympathetic ▁critic , ▁seeing ▁the ▁work ▁( ▁perhaps ▁with ▁tongue ▁in ▁che ek ▁ ) ▁as ▁science ▁bait ed ▁with ▁ ‘ ▁the ▁all ure ment ▁of ▁some ▁more ▁human ▁interest ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB DET ADV ADJ NOUN NOUN VERB DET NOUN PUNCT ADV ADP NOUN ADP NOUN NOUN PUNCT PUNCT ADP NOUN VERB VERB ADP PUNCT PUNCT DET NOUN NOUN NOUN ADP DET ADV ADJ NOUN NOUN NOUN
Stewart Roxburgh gave a tongue - in - cheek ' This Is Your Life ' presentation.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN VERB DET NOUN PUNCT ADP PUNCT NOUN PUNCT DET VERB ADJ NOUN PUNCT NOUN	▁Ste wart ▁R ox burgh ▁gave ▁a ▁tongue ▁- ▁in ▁- ▁che ek ▁' ▁This ▁Is ▁Your ▁Life ▁' ▁presentation .	0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB DET NOUN PUNCT ADP PUNCT NOUN NOUN PUNCT DET VERB ADJ NOUN PUNCT NOUN NOUN
The reason this figure was produced is erm because one of the comments we had back from the other induction courses er Gareth, the reason we had produced this video was erm structure you 've never shown it, so it's not necessarily tongue in cheek but it is a strictly sales structure but it will give you a clearer idea of our guide what to do to the role plays this morning, Saturday and tomorrow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	DET NOUN DET NOUN VERB VERB VERB NOUN ADP NUM ADP DET NOUN PRON VERB ADV ADP DET ADJ NOUN NOUN INTJ PROPN DET NOUN PRON VERB VERB DET NOUN VERB NOUN NOUN PRON VERB ADV VERB PRON ADV PRON ADV ADV NOUN ADP NOUN CCONJ PRON VERB DET ADV NOUN NOUN CCONJ PRON VERB VERB PRON DET ADJ NOUN ADP ADJ NOUN NOUN PART VERB ADP DET NOUN VERB DET NOUN PROPN CCONJ NOUN	▁The ▁reason ▁this ▁figure ▁was ▁produced ▁is ▁er m ▁because ▁one ▁of ▁the ▁comments ▁we ▁had ▁back ▁from ▁the ▁other ▁induction ▁courses ▁er ▁Gar eth , ▁the ▁reason ▁we ▁had ▁produced ▁this ▁video ▁was ▁er m ▁structure ▁you ▁' ve ▁never ▁shown ▁it , ▁so ▁it ' s ▁not ▁necessarily ▁tongue ▁in ▁che ek ▁but ▁it ▁is ▁a ▁strictly ▁sales ▁structure ▁but ▁it ▁will ▁give ▁you ▁a ▁clearer ▁idea ▁of ▁our ▁guide ▁what ▁to ▁do ▁to ▁the ▁role ▁plays ▁this ▁morning , ▁Saturday ▁and ▁tomorrow .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN DET NOUN VERB VERB VERB NOUN NOUN ADP NUM ADP DET NOUN PRON VERB ADV ADP DET ADJ NOUN NOUN INTJ PROPN PROPN PROPN DET NOUN PRON VERB VERB DET NOUN VERB NOUN NOUN NOUN PRON VERB VERB ADV VERB PRON PRON ADV PRON PRON PRON ADV ADV NOUN ADP NOUN NOUN CCONJ PRON VERB DET ADV NOUN NOUN CCONJ PRON VERB VERB PRON DET ADJ NOUN ADP ADJ NOUN NOUN PART VERB ADP DET NOUN VERB DET NOUN NOUN PROPN CCONJ NOUN NOUN
The spectacular aerial shots, Prof Burland's lightly worn erudition, the delicious dollops of Verdi and Rossini and the ever - so - slightly tongue - in - cheek commentary added up to a ‘ Carry on Leaning’ that I felt obliged to watch all over again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET ADJ ADJ NOUN PROPN PROPN ADV ADJ NOUN DET ADJ NOUN ADP PROPN CCONJ PROPN CCONJ DET ADV PUNCT ADV PUNCT ADV NOUN PUNCT ADP PUNCT NOUN NOUN VERB PART ADP DET PUNCT NOUN ADP PROPN ADP PRON VERB VERB PART VERB ADV ADV ADV	▁The ▁spectacular ▁aerial ▁shot s , ▁Prof ▁Bur land ' s ▁light ly ▁worn ▁e ru dition , ▁the ▁del ic ious ▁do l lop s ▁of ▁Ver di ▁and ▁Ross ini ▁and ▁the ▁ever ▁- ▁so ▁- ▁slightly ▁tongue ▁- ▁in ▁- ▁che ek ▁comment ary ▁added ▁up ▁to ▁a ▁ ‘ ▁Carry ▁on ▁L ean ing ’ ▁that ▁I ▁felt ▁obliged ▁to ▁watch ▁all ▁over ▁again .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADV ADV ADJ NOUN NOUN NOUN NOUN DET ADJ ADJ ADJ NOUN NOUN NOUN NOUN ADP PROPN PROPN CCONJ PROPN PROPN CCONJ DET ADV PUNCT ADV PUNCT ADV NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN VERB PART ADP DET PUNCT PUNCT NOUN ADP PROPN PROPN PROPN PROPN ADP PRON VERB VERB PART VERB ADV ADV ADV ADV
Captain Margaret is about ideals, about aspects of love described in terms of three very generalised figures ( for even Stukeley, vigorous though his idiom and behaviour may be, is not a ' real ' villain in the sense of that tongue - in - cheek villain, Abner Brown, in the fantasies The Midnight Folk and The Box of Delights ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN VERB ADP NOUN ADP NOUN ADP NOUN VERB ADP NOUN ADP NUM ADV VERB NOUN PUNCT ADP ADV PROPN ADJ ADP ADJ NOUN CCONJ NOUN VERB VERB VERB ADV DET PUNCT ADJ PUNCT NOUN ADP DET NOUN ADP DET NOUN PUNCT ADP PUNCT NOUN NOUN PROPN PROPN ADP DET NOUN DET PROPN PROPN CCONJ DET PROPN ADP PROPN PUNCT	▁Captain ▁Mar gar et ▁is ▁about ▁ideals , ▁about ▁aspects ▁of ▁love ▁described ▁in ▁terms ▁of ▁three ▁very ▁generalised ▁figures ▁( ▁for ▁even ▁St uke ley , ▁vigorous ▁though ▁his ▁idi om ▁and ▁behaviour ▁may ▁be , ▁is ▁not ▁a ▁' ▁real ▁' ▁vil lain ▁in ▁the ▁sense ▁of ▁that ▁tongue ▁- ▁in ▁- ▁che ek ▁vil lain , ▁Ab ner ▁Brown , ▁in ▁the ▁fan tas ies ▁The ▁Mid night ▁F ol k ▁and ▁The ▁Box ▁of ▁De light s ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB ADP NOUN NOUN ADP NOUN ADP NOUN VERB ADP NOUN ADP NUM ADV VERB NOUN PUNCT ADP ADV PROPN PROPN PROPN PROPN ADJ ADP ADJ NOUN NOUN CCONJ NOUN VERB VERB VERB VERB ADV DET PUNCT ADJ PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN ADP DET NOUN NOUN NOUN DET PROPN PROPN PROPN PROPN PROPN CCONJ DET PROPN ADP PROPN PROPN PROPN PUNCT PUNCT
I also say, with tongue in cheek, that the Harris 1,000-Plan should be dubbed the most outrageous confidence trick of the entire war.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PRON ADV VERB ADP NOUN ADP NOUN ADP DET PROPN NUM VERB VERB VERB DET ADV ADJ NOUN NOUN ADP DET ADJ NOUN	▁I ▁also ▁say , ▁with ▁tongue ▁in ▁che ek , ▁that ▁the ▁Harris ▁1,000 - P lan ▁should ▁be ▁d ubb ed ▁the ▁most ▁outrageous ▁confidence ▁trick ▁of ▁the ▁entire ▁war .	0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB VERB ADP NOUN ADP NOUN NOUN NOUN ADP DET PROPN NUM NUM NUM NUM VERB VERB VERB VERB VERB DET ADV ADJ NOUN NOUN ADP DET ADJ NOUN NOUN
‘ I was really getting stuck into him, but it was mainly tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	PUNCT PRON VERB ADV VERB ADJ ADP PRON CCONJ PRON VERB ADV NOUN ADP NOUN	▁ ‘ ▁I ▁was ▁really ▁gett ing ▁stuck ▁into ▁him , ▁but ▁it ▁was ▁mainly ▁tongue ▁in ▁che ek .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT PRON VERB ADV VERB VERB ADJ ADP PRON PRON CCONJ PRON VERB ADV NOUN ADP NOUN NOUN NOUN
The ex - abbe, possibly with tongue - in - cheek considering his own record, suggested the subject of Don Juan, the archetypal libertine, and dropped other projects to begin work immediately.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NUM PUNCT NOUN ADV ADP NOUN PUNCT ADP PUNCT NOUN VERB ADJ ADJ NOUN VERB DET NOUN ADP PROPN PROPN DET ADJ NOUN CCONJ VERB ADJ NOUN PART VERB NOUN ADV	▁The ▁ex ▁- ▁a b be , ▁possibly ▁with ▁tongue ▁- ▁in ▁- ▁che ek ▁considering ▁his ▁own ▁record , ▁suggested ▁the ▁subject ▁of ▁Don ▁Juan , ▁the ▁arch e typ al ▁li bert ine , ▁and ▁dropped ▁other ▁projects ▁to ▁begin ▁work ▁immediately .	0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NUM PUNCT NOUN NOUN NOUN NOUN ADV ADP NOUN PUNCT ADP PUNCT NOUN NOUN VERB ADJ ADJ NOUN NOUN VERB DET NOUN ADP PROPN PROPN PROPN DET ADJ ADJ ADJ ADJ NOUN NOUN NOUN NOUN CCONJ VERB ADJ NOUN PART VERB NOUN ADV ADV
Or w w shall we say that may be said with a bit of a tongue in cheek?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	CCONJ DET X VERB PRON VERB DET VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN	▁Or ▁w ▁w ▁shall ▁we ▁say ▁that ▁may ▁be ▁said ▁with ▁a ▁bit ▁of ▁a ▁tongue ▁in ▁che ek ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	CCONJ DET X VERB PRON VERB DET VERB VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN NOUN
Many years ago at Cadeby, the outpost of all that is Great Western, it was suggested that the locomotive naming group at Swindon works would have named the 4–4–0 locomotive ‘ Duchy of Cornwall’, but with tongue in cheek decided on TRE POL PEN instead, as something of a compliment to that delightful district of the West Country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADJ NOUN ADV ADP PROPN DET NOUN ADP DET ADJ VERB PROPN PROPN PRON VERB VERB ADP DET ADJ NOUN NOUN ADP PROPN NOUN VERB VERB VERB DET NUM VERB PUNCT PROPN ADP PROPN CCONJ ADP NOUN ADP NOUN VERB ADP PROPN PROPN PROPN ADV ADP NOUN ADP DET NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN	▁Many ▁years ▁ago ▁at ▁C ade by , ▁the ▁out post ▁of ▁all ▁that ▁is ▁Great ▁Western , ▁it ▁was ▁suggested ▁that ▁the ▁locomotive ▁na ming ▁group ▁at ▁S wind on ▁works ▁would ▁have ▁named ▁the ▁4 – 4 – 0 ▁locomotive ▁ ‘ ▁D uchy ▁of ▁Corn wall ’ , ▁but ▁with ▁tongue ▁in ▁che ek ▁decided ▁on ▁ TRE ▁ POL ▁P EN ▁instead , ▁as ▁something ▁of ▁a ▁compliment ▁to ▁that ▁delight ful ▁district ▁of ▁the ▁West ▁Country .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN ADV ADP PROPN PROPN PROPN PROPN DET NOUN NOUN ADP DET ADJ VERB PROPN PROPN PROPN PRON VERB VERB ADP DET ADJ NOUN NOUN NOUN ADP PROPN PROPN PROPN NOUN VERB VERB VERB DET NUM NUM NUM NUM NUM VERB PUNCT PUNCT PROPN PROPN ADP PROPN PROPN PROPN PROPN CCONJ ADP NOUN ADP NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN ADV ADV ADP NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN ADP DET PROPN PROPN PROPN
The Rhapsody, too, is given a strong, swaggering but solid reading from that famous opening clarinet Glissando onwards ( it began its life, by the way, as a bit of tongue - in - cheek rehearsal mischief from Ross Gorman, the clarinettist of the Whiteman band ; the delighted Gershwin insisted on retaining it ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET PROPN ADV VERB VERB DET ADJ NOUN CCONJ ADJ NOUN ADP DET ADJ NOUN NOUN PROPN ADV PUNCT PRON VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP PROPN PROPN DET NOUN ADP DET PROPN NOUN PUNCT DET ADJ PROPN VERB ADP VERB PRON PUNCT	▁The ▁Rh ap s ody , ▁too , ▁is ▁given ▁a ▁strong , ▁sw ag ger ing ▁but ▁solid ▁reading ▁from ▁that ▁famous ▁opening ▁clar ine t ▁Gli s s and o ▁onwards ▁( ▁it ▁began ▁its ▁life , ▁by ▁the ▁way , ▁as ▁a ▁bit ▁of ▁tongue ▁- ▁in ▁- ▁che ek ▁re he ars al ▁mis chi ef ▁from ▁Ross ▁G or man , ▁the ▁clar in ett ist ▁of ▁the ▁White man ▁band ▁ ; ▁the ▁delighted ▁Ger sh win ▁insisted ▁on ▁retaining ▁it ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN ADV ADV VERB VERB DET ADJ ADJ NOUN NOUN NOUN NOUN CCONJ ADJ NOUN ADP DET ADJ NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADV PUNCT PRON VERB ADJ NOUN NOUN ADP DET NOUN NOUN ADP DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN NOUN ADP DET PROPN PROPN NOUN PUNCT PUNCT DET ADJ PROPN PROPN PROPN VERB ADP VERB PRON PUNCT PUNCT
A tongue in cheek reminder to someone whose cheeks were bulging with bad manners.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	DET NOUN ADP NOUN NOUN ADP NOUN ADJ NOUN VERB VERB ADP ADJ NOUN	▁A ▁tongue ▁in ▁che ek ▁reminder ▁to ▁someone ▁whose ▁che ek s ▁were ▁bu lg ing ▁with ▁bad ▁manner s .	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP NOUN NOUN NOUN ADP NOUN ADJ NOUN NOUN NOUN VERB VERB VERB VERB ADP ADJ NOUN NOUN NOUN
PETER Kennedy's tongue - in - cheek shot at his latest creation, ' The Widow or Bust ', has come off with a bang at the Arts Theatre this week.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN NOUN PUNCT ADP PUNCT NOUN NOUN ADP ADJ ADJ NOUN PUNCT DET PROPN CCONJ PROPN PUNCT VERB VERB PART ADP DET NOUN ADP DET PROPN PROPN DET NOUN	▁PET ER ▁ Kennedy ' s ▁tongue ▁- ▁in ▁- ▁che ek ▁shot ▁at ▁his ▁latest ▁creation , ▁' ▁The ▁Wi dow ▁or ▁B ust ▁' , ▁has ▁come ▁off ▁with ▁a ▁ban g ▁at ▁the ▁Art s ▁The a tre ▁this ▁week .	0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN PUNCT DET PROPN PROPN CCONJ PROPN PROPN PUNCT PUNCT VERB VERB PART ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN DET NOUN NOUN
Johnson reports this and other gory tales, tongue - in - cheek so firmly you can scarcely see his jaw bulge.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0	tongue in cheek	literal	dashes	PROPN VERB DET CCONJ ADJ NOUN NOUN NOUN PUNCT ADP PUNCT NOUN ADV ADV PRON VERB ADV VERB ADJ NOUN NOUN	▁Johnson ▁reports ▁this ▁and ▁other ▁go ry ▁tal es , ▁tongue ▁- ▁in ▁- ▁che ek ▁so ▁firmly ▁you ▁can ▁scarcely ▁see ▁his ▁jaw ▁ bul ge .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB DET CCONJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN PUNCT ADP PUNCT NOUN NOUN ADV ADV PRON VERB ADV VERB ADJ NOUN NOUN NOUN NOUN NOUN
I mean I, I, I think that's a good tactical ploy even though it's tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	PRON VERB PRON PRON PRON VERB DET DET ADJ ADJ NOUN ADV ADP PRON NOUN ADP NOUN	▁I ▁mean ▁I , ▁I , ▁I ▁think ▁that ' s ▁a ▁good ▁tactic al ▁ ploy ▁even ▁though ▁it ' s ▁tongue ▁in ▁che ek .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB PRON PRON PRON PRON PRON VERB DET DET DET DET ADJ ADJ ADJ NOUN NOUN ADV ADP PRON PRON PRON NOUN ADP NOUN NOUN NOUN
With tongue in cheek, the writer had suggested that a deal be struck with Britain over the Six Counties in the North.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADP NOUN ADP NOUN DET NOUN VERB VERB ADP DET NOUN VERB VERB ADP PROPN ADP DET NUM PROPN ADP DET PROPN	▁With ▁tongue ▁in ▁che ek , ▁the ▁writer ▁had ▁suggested ▁that ▁a ▁deal ▁be ▁struck ▁with ▁Britain ▁over ▁the ▁Six ▁Coun ties ▁in ▁the ▁North .	0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN ADP NOUN NOUN NOUN DET NOUN VERB VERB ADP DET NOUN VERB VERB ADP PROPN ADP DET NUM PROPN PROPN ADP DET PROPN PROPN
The fourth in the series, Thunderball, was notable for its underwater effects, tongue - in - cheek humour, the unveiling of Bond's moon buggy and the spin - off merchandising the movie cultivated.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET ADJ ADP DET NOUN PROPN VERB ADJ ADP ADJ ADJ NOUN NOUN PUNCT ADP PUNCT NOUN NOUN DET NOUN ADP PROPN NOUN NOUN CCONJ DET NOUN PUNCT NOUN VERB DET NOUN VERB	▁The ▁fourth ▁in ▁the ▁series , ▁Th under ball , ▁was ▁not able ▁for ▁its ▁underwater ▁effects , ▁tongue ▁- ▁in ▁- ▁che ek ▁h umour , ▁the ▁un ve il ing ▁of ▁Bond ' s ▁mo on ▁bu gg y ▁and ▁the ▁spin ▁- ▁off ▁me rch and ising ▁the ▁mo vie ▁cultivated .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADP DET NOUN NOUN PROPN PROPN PROPN PROPN VERB ADJ ADJ ADP ADJ ADJ NOUN NOUN NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN NOUN DET NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN NOUN NOUN NOUN NOUN NOUN CCONJ DET NOUN PUNCT NOUN VERB VERB VERB VERB DET NOUN NOUN VERB VERB
