So might the decision to let the republics go it alone on economic reform.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN	▁So ▁might ▁the ▁decision ▁to ▁let ▁the ▁republics ▁go ▁it ▁alone ▁on ▁economic ▁reform .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN NOUN
The statement that ' Britain can not afford to go it alone ' is usually presented as a matter of fact, as a point so strong as to be undebatable.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	DET NOUN ADP PUNCT PROPN VERB ADV VERB PART VERB PRON ADJ PUNCT VERB ADV VERB ADP DET NOUN ADP NOUN ADP DET NOUN ADV ADJ ADP PART VERB ADJ	▁The ▁statement ▁that ▁' ▁Britain ▁can ▁not ▁afford ▁to ▁go ▁it ▁alone ▁' ▁is ▁usually ▁presented ▁as ▁a ▁matter ▁of ▁fact , ▁as ▁a ▁point ▁so ▁strong ▁as ▁to ▁be ▁und e bat able .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP PUNCT PROPN VERB ADV VERB PART VERB PRON ADJ PUNCT VERB ADV VERB ADP DET NOUN ADP NOUN NOUN ADP DET NOUN ADV ADJ ADP PART VERB ADJ ADJ ADJ ADJ ADJ
She was not the dependent type and if she had to go it alone then so be it.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	go it alone	figurative	identical	PRON VERB ADV DET ADJ NOUN CCONJ ADP PRON VERB PART VERB PRON ADV ADV ADV VERB PRON	▁She ▁was ▁not ▁the ▁dependent ▁type ▁and ▁if ▁she ▁had ▁to ▁go ▁it ▁alone ▁then ▁so ▁be ▁it .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	PRON VERB ADV DET ADJ NOUN CCONJ ADP PRON VERB PART VERB PRON ADV ADV ADV VERB PRON PRON
PRESIDENT Mikhail Gorbachev has appealed to the Russian Republic not to go it alone on reform and warned that the Soviet Union stood on the brink of an economic and political abyss.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PROPN PROPN PROPN VERB VERB ADP DET PROPN PROPN ADV PART VERB PRON ADV ADP NOUN CCONJ VERB ADP DET PROPN PROPN VERB ADP DET NOUN ADP DET ADJ CCONJ ADJ NOUN	▁PRESIDENT ▁Mi kh ail ▁G orbach ev ▁has ▁appealed ▁to ▁the ▁Russian ▁Republic ▁not ▁to ▁go ▁it ▁alone ▁on ▁reform ▁and ▁warned ▁that ▁the ▁Soviet ▁Union ▁stood ▁on ▁the ▁br ink ▁of ▁an ▁economic ▁and ▁political ▁a by s s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADP DET PROPN PROPN ADV PART VERB PRON ADV ADP NOUN CCONJ VERB ADP DET PROPN PROPN VERB ADP DET NOUN NOUN ADP DET ADJ CCONJ ADJ NOUN NOUN NOUN NOUN NOUN
Minister at the Chancellor's Office Bohl announced that if it came to the crunch, the government would go it alone in reducing paid sick leave and dismissal restrictions, even without the consent of the wage bargaining partners.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PROPN ADP DET PROPN PROPN PROPN VERB ADP ADP PRON VERB ADP DET NOUN DET NOUN VERB VERB PRON ADV ADP VERB VERB ADJ NOUN CCONJ NOUN NOUN ADV ADP DET NOUN ADP DET NOUN NOUN NOUN	▁Minister ▁at ▁the ▁Chancellor ' s ▁Office ▁Bo hl ▁announced ▁that ▁if ▁it ▁came ▁to ▁the ▁cr unch , ▁the ▁government ▁would ▁go ▁it ▁alone ▁in ▁reducing ▁paid ▁sick ▁leave ▁and ▁dismissal ▁restrictions , ▁even ▁without ▁the ▁consent ▁of ▁the ▁wage ▁bargaining ▁partners .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP ADP PRON VERB ADP DET NOUN NOUN NOUN DET NOUN VERB VERB PRON ADV ADP VERB VERB ADJ NOUN CCONJ NOUN NOUN NOUN ADV ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN
I 'd go it alone and rid this cinema of the bums who terrorise it every Sunday night.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	literal	identical	PRON VERB VERB PRON ADV CCONJ VERB DET NOUN ADP DET NOUN NOUN VERB PRON DET PROPN NOUN	▁I ▁' d ▁go ▁it ▁alone ▁and ▁rid ▁this ▁cinema ▁of ▁the ▁bu ms ▁who ▁terror ise ▁it ▁every ▁Sunday ▁night .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PRON ADV CCONJ VERB DET NOUN ADP DET NOUN NOUN NOUN VERB VERB PRON DET PROPN NOUN NOUN
Whether you go it alone, ask the computer shop expert or persuade a friend who knows about computers to help you, it is essential to set up a regular data back - up system.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	ADP PRON VERB PRON ADV VERB DET NOUN NOUN NOUN CCONJ VERB DET NOUN NOUN VERB ADP NOUN PART VERB PRON PRON VERB ADJ PART VERB PART DET ADJ NOUN ADV PUNCT PART NOUN	▁W hether ▁you ▁go ▁it ▁alone , ▁ask ▁the ▁computer ▁shop ▁expert ▁or ▁persuade ▁a ▁friend ▁who ▁knows ▁about ▁computers ▁to ▁help ▁you , ▁it ▁is ▁essential ▁to ▁set ▁up ▁a ▁regular ▁data ▁back ▁- ▁up ▁system .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP PRON VERB PRON ADV ADV VERB DET NOUN NOUN NOUN CCONJ VERB DET NOUN NOUN VERB ADP NOUN PART VERB PRON PRON PRON VERB ADJ PART VERB PART DET ADJ NOUN ADV PUNCT PART NOUN NOUN
There must be no more going it alone.’	0 0 0 0 0 1 1 1	go it alone	figurative	combined-inflection	ADV VERB VERB ADV ADV VERB PRON VERB	▁There ▁must ▁be ▁no ▁more ▁going ▁it ▁alone . ’	0 0 0 0 0 1 1 1 1 1	ADV VERB VERB ADV ADV VERB PRON VERB VERB VERB
More and more women are going it alone, and men are rendered homeless by housing allocation policies which do not account for the needs of the single and childless.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	ADJ CCONJ ADJ NOUN VERB VERB PRON ADJ CCONJ NOUN VERB VERB ADJ ADP NOUN NOUN NOUN ADJ VERB ADV VERB ADP DET NOUN ADP DET ADJ CCONJ NOUN	▁More ▁and ▁more ▁women ▁are ▁going ▁it ▁alone , ▁and ▁men ▁are ▁rendered ▁homeless ▁by ▁housing ▁allocation ▁policies ▁which ▁do ▁not ▁account ▁for ▁the ▁needs ▁of ▁the ▁single ▁and ▁child less .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ CCONJ ADJ NOUN VERB VERB PRON ADJ ADJ CCONJ NOUN VERB VERB ADJ ADP NOUN NOUN NOUN ADJ VERB ADV VERB ADP DET NOUN ADP DET ADJ CCONJ NOUN NOUN NOUN
No one of the three communities A, B and C would be willing to pay more than £ 300 to join in a group scheme, since they could go it alone for £ 300.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	DET NOUN ADP DET NUM NOUN PROPN NOUN CCONJ PROPN VERB VERB ADJ PART VERB ADJ ADP SYM NUM PART VERB ADP DET NOUN NOUN ADP PRON VERB VERB PRON ADJ ADP SYM NUM	▁No ▁one ▁of ▁the ▁three ▁communities ▁A , ▁B ▁and ▁C ▁would ▁be ▁willing ▁to ▁pay ▁more ▁than ▁£ ▁300 ▁to ▁join ▁in ▁a ▁group ▁scheme , ▁since ▁they ▁could ▁go ▁it ▁alone ▁for ▁£ ▁300 .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	DET NOUN ADP DET NUM NOUN PROPN PROPN NOUN CCONJ PROPN VERB VERB ADJ PART VERB ADJ ADP SYM NUM PART VERB ADP DET NOUN NOUN NOUN ADP PRON VERB VERB PRON ADJ ADP SYM NUM NUM
If truth be told, Merton's solo series ( Paul Merton : The Series)was nearly as disappointing as those of the rest of the go - it - alone Whose Line- ers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0	go it alone	figurative	dashes	ADP NOUN VERB VERB PROPN NOUN NOUN PUNCT PROPN PROPN PUNCT DET PROPN ADV ADV ADJ ADP DET ADP DET NOUN ADP DET VERB PUNCT PRON PUNCT ADV ADJ ADJ NOUN	▁If ▁truth ▁be ▁told , ▁Mer ton ' s ▁so lo ▁series ▁( ▁Paul ▁Mer ton ▁ : ▁The ▁Series ) was ▁nearly ▁as ▁disappointing ▁as ▁those ▁of ▁the ▁rest ▁of ▁the ▁go ▁- ▁it ▁- ▁alone ▁W hose ▁Line - ▁ ers .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	ADP NOUN VERB VERB VERB PROPN PROPN PROPN PROPN NOUN NOUN NOUN PUNCT PROPN PROPN PROPN PUNCT PUNCT DET PROPN PROPN PROPN ADV ADV ADJ ADP DET ADP DET NOUN ADP DET VERB PUNCT PRON PUNCT ADV ADJ ADJ ADJ ADJ NOUN NOUN NOUN
For months Croatia's politicians have said that, if a looser Yugoslavia were not soon formed, they would have to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADP NOUN PROPN NOUN VERB VERB ADP ADP DET ADJ PROPN VERB ADV ADV VERB PRON VERB VERB PART VERB PRON ADV	▁For ▁months ▁Croatia ' s ▁politician s ▁have ▁said ▁that , ▁if ▁a ▁loose r ▁Yugoslavia ▁were ▁not ▁soon ▁formed , ▁they ▁would ▁have ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP NOUN PROPN PROPN PROPN NOUN NOUN VERB VERB ADP ADP ADP DET ADJ ADJ PROPN VERB ADV ADV VERB VERB PRON VERB VERB PART VERB PRON ADV ADV
Going it alone is a dangerous business.	1 1 1 0 0 0 0	go it alone	figurative	combined-inflection	VERB PRON ADV VERB DET ADJ NOUN	▁Go ing ▁it ▁alone ▁is ▁a ▁dangerous ▁business .	1 1 1 1 0 0 0 0 0	VERB VERB PRON ADV VERB DET ADJ NOUN NOUN
After some final instrument checks and a couple of circuits with her flying instructor Donna is ready to go it alone :	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	go it alone	figurative	identical	ADP DET ADJ NOUN NOUN CCONJ DET NOUN ADP NOUN ADP ADJ VERB NOUN PROPN VERB ADJ PART VERB PRON ADV PUNCT	▁After ▁some ▁final ▁instrument ▁checks ▁and ▁a ▁couple ▁of ▁circuits ▁with ▁her ▁flying ▁instructor ▁Don na ▁is ▁ready ▁to ▁go ▁it ▁alone ▁ :	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	ADP DET ADJ NOUN NOUN CCONJ DET NOUN ADP NOUN ADP ADJ VERB NOUN PROPN PROPN VERB ADJ PART VERB PRON ADV PUNCT PUNCT
A SCHEME to computerise the Third World has hit trouble because France, which provides a third of the funds, want to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	DET PROPN PART VERB DET PROPN PROPN VERB VERB NOUN ADP PROPN ADJ VERB DET NOUN ADP DET NOUN VERB PART VERB PRON ADV	▁A ▁SCHEME ▁to ▁computer ise ▁the ▁Third ▁World ▁has ▁hit ▁trouble ▁because ▁France , ▁which ▁provides ▁a ▁third ▁of ▁the ▁funds , ▁want ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET PROPN PART VERB VERB DET PROPN PROPN VERB VERB NOUN ADP PROPN PROPN ADJ VERB DET NOUN ADP DET NOUN NOUN VERB PART VERB PRON ADV ADV
The latest move to supply India, a country which exploded a nuclear device in 1974 with material produced from a research reactor, typifies France's ‘ go it alone’ approach which has more than a hint of economic expediency in it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	dashes	DET ADJ NOUN PART VERB PROPN DET NOUN ADJ VERB DET ADJ NOUN ADP NUM ADP NOUN VERB ADP DET NOUN NOUN VERB PROPN PUNCT NOUN PRON ADV NOUN ADJ VERB ADJ ADP DET NOUN ADP ADJ NOUN ADP PRON	▁The ▁latest ▁move ▁to ▁supply ▁India , ▁a ▁country ▁which ▁explo d ed ▁a ▁nuclear ▁device ▁in ▁1974 ▁with ▁material ▁produced ▁from ▁a ▁research ▁reactor , ▁ typ ifies ▁France ' s ▁ ‘ ▁go ▁it ▁alone ’ ▁approach ▁which ▁has ▁more ▁than ▁a ▁hint ▁of ▁economic ▁ex ped i ency ▁in ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN PART VERB PROPN PROPN DET NOUN ADJ VERB VERB VERB DET ADJ NOUN ADP NUM ADP NOUN VERB ADP DET NOUN NOUN NOUN VERB VERB VERB PROPN PROPN PROPN PUNCT PUNCT NOUN PRON ADV ADV NOUN ADJ VERB ADJ ADP DET NOUN ADP ADJ NOUN NOUN NOUN NOUN ADP PRON PRON
And now, go - it alone fiscal, monetary, and exchange - rate policies are spilling across national borders, threatening currency wars and protectionism.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	dashes	CCONJ ADV VERB PUNCT PRON ADV ADJ ADJ CCONJ NOUN PUNCT NOUN NOUN VERB VERB ADP ADJ NOUN VERB NOUN NOUN CCONJ NOUN	▁And ▁now , ▁go ▁- ▁it ▁alone ▁fiscal , ▁monetary , ▁and ▁exchange ▁- ▁rate ▁policies ▁are ▁spill ing ▁across ▁national ▁borders , ▁threatening ▁currency ▁wars ▁and ▁protection ism .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV ADV VERB PUNCT PRON ADV ADJ ADJ ADJ ADJ CCONJ NOUN PUNCT NOUN NOUN VERB VERB VERB ADP ADJ NOUN NOUN VERB NOUN NOUN CCONJ NOUN NOUN NOUN
You shell out £ 350-odd, book into a farmhouse for a week, and at the end of it you 'll have had 35 flights and be ready to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	PRON VERB PART SYM NUM NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP PRON PRON VERB VERB VERB NUM NOUN CCONJ VERB ADJ PART VERB PRON ADV	▁You ▁shell ▁out ▁£ ▁350 - od d , ▁book ▁into ▁a ▁farm house ▁for ▁a ▁week , ▁and ▁at ▁the ▁end ▁of ▁it ▁you ▁' ll ▁have ▁had ▁35 ▁flights ▁and ▁be ▁ready ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB PART SYM NUM NUM NUM NUM NUM NOUN ADP DET NOUN NOUN ADP DET NOUN NOUN CCONJ ADP DET NOUN ADP PRON PRON VERB VERB VERB VERB NUM NOUN CCONJ VERB ADJ PART VERB PRON ADV ADV
Rather than going it alone, 3Com Corp, San Jose has picked Cascade Communications Corp to help it enter the Frame Relay market.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	ADV ADP VERB PRON ADV PROPN PROPN PROPN PROPN VERB VERB PROPN PROPN PROPN PART VERB PRON VERB DET PROPN PROPN NOUN	▁Rather ▁than ▁going ▁it ▁alone , ▁3 Com ▁Corp , ▁San ▁J ose ▁has ▁picked ▁Ca s cade ▁Communications ▁Corp ▁to ▁help ▁it ▁enter ▁the ▁Frame ▁Re lay ▁market .	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP VERB PRON ADV ADV PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB PROPN PROPN PROPN PROPN PROPN PART VERB PRON VERB DET PROPN PROPN PROPN NOUN NOUN
It is, as we saw clearly during the Gulf war, the very sophistication of America's procurement and the new technology of weaponry that demand that we count the Americans as friends and allies rather than trying to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	PRON VERB ADP PRON VERB ADV ADP DET PROPN NOUN DET ADJ NOUN ADP PROPN NOUN CCONJ DET ADJ NOUN ADP NOUN ADJ NOUN ADP PRON VERB DET PROPN ADP NOUN CCONJ NOUN ADV ADP VERB PART VERB PRON ADV	▁It ▁is , ▁as ▁we ▁saw ▁clearly ▁during ▁the ▁Gulf ▁war , ▁the ▁very ▁so ph istic ation ▁of ▁America ' s ▁procurement ▁and ▁the ▁new ▁technology ▁of ▁weapon ry ▁that ▁demand ▁that ▁we ▁count ▁the ▁Americans ▁as ▁friends ▁and ▁all ies ▁rather ▁than ▁trying ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB ADP PRON VERB ADV ADP DET PROPN NOUN NOUN DET ADJ NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN ADJ NOUN ADP PRON VERB DET PROPN ADP NOUN CCONJ NOUN NOUN ADV ADP VERB PART VERB PRON ADV ADV
But the public took to this comedy of two sisters going it alone while their husbands are in prison, and now it is watched by an estimated 12 m viewers.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	CCONJ DET NOUN VERB ADP DET NOUN ADP NUM NOUN VERB PRON ADV ADP ADJ NOUN VERB ADP NOUN CCONJ ADV PRON VERB VERB ADP DET VERB NUM NOUN NOUN	▁But ▁the ▁public ▁took ▁to ▁this ▁come dy ▁of ▁two ▁sister s ▁going ▁it ▁alone ▁while ▁their ▁husband s ▁are ▁in ▁prison , ▁and ▁now ▁it ▁is ▁watch ed ▁by ▁an ▁estimated ▁12 ▁m ▁view ers .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET NOUN VERB ADP DET NOUN NOUN ADP NUM NOUN NOUN VERB PRON ADV ADP ADJ NOUN NOUN VERB ADP NOUN NOUN CCONJ ADV PRON VERB VERB VERB ADP DET VERB NUM NOUN NOUN NOUN NOUN
Yeah, I think some people don't want er, the fathers having any sort of rights over them, they don't want the access er, to the children, so in a way, they prefer to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	INTJ PRON VERB DET NOUN VERB VERB INTJ DET NOUN VERB DET NOUN ADP NOUN ADP PRON PRON VERB VERB DET NOUN INTJ ADP DET NOUN ADV ADP DET NOUN PRON VERB PART VERB PRON ADV	▁Ye ah , ▁I ▁think ▁some ▁people ▁don ' t ▁want ▁er , ▁the ▁fathers ▁having ▁any ▁sort ▁of ▁rights ▁over ▁them , ▁they ▁don ' t ▁want ▁the ▁access ▁er , ▁to ▁the ▁children , ▁so ▁in ▁a ▁way , ▁they ▁prefer ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	INTJ INTJ INTJ PRON VERB DET NOUN VERB VERB VERB VERB INTJ INTJ DET NOUN VERB DET NOUN ADP NOUN ADP PRON PRON PRON VERB VERB VERB VERB DET NOUN INTJ INTJ ADP DET NOUN NOUN ADV ADP DET NOUN NOUN PRON VERB PART VERB PRON ADV ADV
Again he beat Burrows, but this time decided to go it alone.	0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADV PRON VERB PROPN CCONJ DET NOUN VERB PART VERB PRON ADV	▁Again ▁he ▁beat ▁Bur row s , ▁but ▁this ▁time ▁decided ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV PRON VERB PROPN PROPN PROPN PROPN CCONJ DET NOUN VERB PART VERB PRON ADV ADV
You have to admire the ones with the guts to go it alone and make something of their lives when times are hard, even if the ways they do so are not strictly legal.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PRON VERB PART VERB DET NOUN ADP DET NOUN PART VERB PRON ADV CCONJ VERB NOUN ADP ADJ NOUN ADV NOUN VERB ADJ ADV ADP DET NOUN PRON VERB ADV VERB ADV ADV ADJ	▁You ▁have ▁to ▁admire ▁the ▁ones ▁with ▁the ▁gut s ▁to ▁go ▁it ▁alone ▁and ▁make ▁something ▁of ▁their ▁lives ▁when ▁times ▁are ▁hard , ▁even ▁if ▁the ▁ways ▁they ▁do ▁so ▁are ▁not ▁strictly ▁legal .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB DET NOUN ADP DET NOUN NOUN PART VERB PRON ADV CCONJ VERB NOUN ADP ADJ NOUN ADV NOUN VERB ADJ ADJ ADV ADP DET NOUN PRON VERB ADV VERB ADV ADV ADJ ADJ
One of the original group, Crest Homes, has now decided to go it alone for the first stage of the project.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	go it alone	figurative	identical	NUM ADP DET ADJ NOUN PROPN PROPN VERB ADV VERB PART VERB PRON ADJ ADP DET ADJ NOUN ADP DET NOUN	▁One ▁of ▁the ▁original ▁group , ▁C rest ▁Home s , ▁has ▁now ▁decided ▁to ▁go ▁it ▁alone ▁for ▁the ▁first ▁stage ▁of ▁the ▁project .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	NUM ADP DET ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB ADV VERB PART VERB PRON ADJ ADP DET ADJ NOUN ADP DET NOUN NOUN
We 've chosen to go it alone, but the net result is the same, that the computer store of information includes information on the authors and the titles of the books and, of course, now includes information on the books that are being borrowed, who's got them, when they 're coming back, how many other copies we 've got, whether we 've got copies on order and all of that, all in one central store of information, a central store which can be shared by everyone using the library.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PRON VERB VERB PART VERB PRON ADJ CCONJ DET ADJ NOUN VERB DET ADJ ADP DET NOUN NOUN ADP NOUN VERB NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN CCONJ ADP NOUN ADV VERB NOUN ADP DET NOUN ADJ VERB VERB VERB NOUN VERB PRON ADV PRON VERB VERB ADV ADV ADJ ADJ NOUN PRON VERB VERB ADP PRON VERB VERB NOUN ADP NOUN CCONJ DET ADP DET DET ADP NUM ADJ NOUN ADP NOUN DET ADJ NOUN ADJ VERB VERB VERB ADP NOUN VERB DET NOUN	▁We ▁' ve ▁chosen ▁to ▁go ▁it ▁alone , ▁but ▁the ▁net ▁result ▁is ▁the ▁same , ▁that ▁the ▁computer ▁store ▁of ▁information ▁includes ▁information ▁on ▁the ▁authors ▁and ▁the ▁titles ▁of ▁the ▁books ▁and , ▁of ▁course , ▁now ▁includes ▁information ▁on ▁the ▁books ▁that ▁are ▁being ▁borrowed , ▁who ' s ▁got ▁them , ▁when ▁they ▁' re ▁coming ▁back , ▁how ▁many ▁other ▁copies ▁we ▁' ve ▁got , ▁whether ▁we ▁' ve ▁got ▁copies ▁on ▁order ▁and ▁all ▁of ▁that , ▁all ▁in ▁one ▁central ▁store ▁of ▁information , ▁a ▁central ▁store ▁which ▁can ▁be ▁shared ▁by ▁everyone ▁using ▁the ▁library .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART VERB PRON ADJ ADJ CCONJ DET ADJ NOUN VERB DET ADJ ADJ ADP DET NOUN NOUN ADP NOUN VERB NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN CCONJ CCONJ ADP NOUN NOUN ADV VERB NOUN ADP DET NOUN ADJ VERB VERB VERB VERB NOUN NOUN NOUN VERB PRON PRON ADV PRON VERB VERB VERB ADV ADV ADV ADJ ADJ NOUN PRON VERB VERB VERB VERB ADP PRON VERB VERB VERB NOUN ADP NOUN CCONJ DET ADP DET DET DET ADP NUM ADJ NOUN ADP NOUN NOUN DET ADJ NOUN ADJ VERB VERB VERB ADP NOUN VERB DET NOUN NOUN
Parents vote for school to go it alone	0 0 0 0 0 1 1 1	go it alone	figurative	identical	NOUN VERB ADP NOUN PART VERB PRON ADV	▁Parent s ▁vote ▁for ▁school ▁to ▁go ▁it ▁alone	0 0 0 0 0 0 1 1 1	NOUN NOUN VERB ADP NOUN PART VERB PRON ADV
