Ought to have seen them walking down North Road.	0 0 0 0 0 0 1 0 1	down the road	literal	combined-other	VERB PART VERB VERB PRON VERB PART PROPN PROPN	▁O ught ▁to ▁have ▁seen ▁them ▁walking ▁down ▁North ▁Road .	0 0 0 0 0 0 0 1 0 1 1	VERB VERB PART VERB VERB PRON VERB PART PROPN PROPN PROPN
‘ A women who's spent half an hour in front of the mirror making herself attractive, 100 yards down the road hears a man on a building site say, ‘ Hello, beautiful’, and she looks shocked!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PUNCT DET NOUN NOUN VERB ADJ DET NOUN ADP NOUN ADP DET NOUN VERB PRON ADJ NUM NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN NOUN VERB PUNCT INTJ NOUN CCONJ PRON VERB ADJ	▁ ‘ ▁A ▁women ▁who ' s ▁spent ▁half ▁an ▁hour ▁in ▁front ▁of ▁the ▁mirror ▁making ▁herself ▁attractive , ▁100 ▁yards ▁down ▁the ▁road ▁hear s ▁a ▁man ▁on ▁a ▁building ▁site ▁say , ▁ ‘ ▁H ello , ▁beautiful ’ , ▁and ▁she ▁looks ▁shock ed !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT DET NOUN NOUN NOUN NOUN VERB ADJ DET NOUN ADP NOUN ADP DET NOUN VERB PRON ADJ ADJ NUM NOUN ADP DET NOUN VERB VERB DET NOUN ADP DET NOUN NOUN VERB VERB PUNCT PUNCT INTJ INTJ INTJ NOUN NOUN NOUN CCONJ PRON VERB ADJ ADJ ADJ
I don't know whether you go down Valmer Road do you?	0 0 0 0 0 0 1 0 1 0 0	down the road	literal	combined-other	PRON VERB VERB ADP PRON VERB ADP PROPN PROPN VERB PRON	▁I ▁don ' t ▁know ▁whether ▁you ▁go ▁down ▁Val mer ▁Road ▁do ▁you ?	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	PRON VERB VERB VERB VERB ADP PRON VERB ADP PROPN PROPN PROPN VERB PRON PRON
down Edinburgh Road you said to down Edinburgh Road we 've never gone in this place, it's a cook meat shop	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	ADP PROPN PROPN PRON VERB ADP PROPN PROPN PROPN PRON VERB ADV VERB ADP DET NOUN PRON DET NOUN NOUN NOUN	▁down ▁Edinburgh ▁Road ▁you ▁said ▁to ▁down ▁Edinburgh ▁Road ▁we ▁' ve ▁never ▁gone ▁in ▁this ▁place , ▁it ' s ▁a ▁co ok ▁meat ▁shop	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN PRON VERB ADP PROPN PROPN PROPN PRON VERB VERB ADV VERB ADP DET NOUN NOUN PRON PRON PRON DET NOUN NOUN NOUN NOUN
Alright, when the supply comes on to the market, you know, it may be nine months down the road if it's an annual crop, if you 're looking at something like erm, production of cocoa, right now, a cocoa tree takes about nine years to mature, therefore alright, you 're not going to know what prices are going to be nine years down the road, you 're going to have to base your production decisions and therefore your output decisions on what prices are nearly a decade, nearly a decade ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	figurative	identical	INTJ ADV DET NOUN VERB PART ADP DET NOUN PRON VERB PRON VERB VERB NUM NOUN ADP DET NOUN ADP PRON DET ADJ NOUN ADP PRON VERB VERB ADP NOUN ADP NOUN NOUN ADP NOUN ADV ADV DET NOUN NOUN VERB ADV NUM NOUN PART VERB ADV INTJ PRON VERB ADV VERB PART VERB NOUN NOUN VERB VERB PART VERB NUM NOUN ADP DET NOUN PRON VERB VERB PART VERB PART VERB ADJ NOUN NOUN CCONJ ADV ADJ NOUN NOUN ADP NOUN NOUN VERB ADV DET NOUN ADV DET NOUN ADV	▁Al right , ▁when ▁the ▁supply ▁comes ▁on ▁to ▁the ▁market , ▁you ▁know , ▁it ▁may ▁be ▁nine ▁months ▁down ▁the ▁road ▁if ▁it ' s ▁an ▁annual ▁crop , ▁if ▁you ▁' re ▁looking ▁at ▁something ▁like ▁er m , ▁production ▁of ▁cocoa , ▁right ▁now , ▁a ▁cocoa ▁tree ▁takes ▁about ▁nine ▁years ▁to ▁mature , ▁therefore ▁al right , ▁you ▁' re ▁not ▁going ▁to ▁know ▁what ▁prices ▁are ▁going ▁to ▁be ▁nine ▁years ▁down ▁the ▁road , ▁you ▁' re ▁going ▁to ▁have ▁to ▁base ▁your ▁production ▁decisions ▁and ▁therefore ▁your ▁output ▁decisions ▁on ▁what ▁prices ▁are ▁nearly ▁a ▁decade , ▁nearly ▁a ▁decade ▁ago .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ ADV DET NOUN VERB PART ADP DET NOUN NOUN PRON VERB VERB PRON VERB VERB NUM NOUN ADP DET NOUN ADP PRON PRON PRON DET ADJ NOUN NOUN ADP PRON VERB VERB VERB ADP NOUN ADP NOUN NOUN NOUN NOUN ADP NOUN NOUN ADV ADV ADV DET NOUN NOUN VERB ADV NUM NOUN PART VERB VERB ADV INTJ INTJ INTJ PRON VERB VERB ADV VERB PART VERB NOUN NOUN VERB VERB PART VERB NUM NOUN ADP DET NOUN NOUN PRON VERB VERB VERB PART VERB PART VERB ADJ NOUN NOUN CCONJ ADV ADJ NOUN NOUN ADP NOUN NOUN VERB ADV DET NOUN NOUN ADV DET NOUN ADV ADV
They almost ran down the road, drawing looks from the passers - by.	0 0 0 1 0 1 0 0 0 0 0 0 0	down the road	literal	identical	PRON ADV VERB ADP DET NOUN NOUN NOUN ADP DET NOUN PUNCT ADV	▁They ▁almost ▁ran ▁down ▁the ▁road , ▁drawing ▁looks ▁from ▁the ▁pass ers ▁- ▁by .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	PRON ADV VERB ADP DET NOUN NOUN NOUN NOUN ADP DET NOUN NOUN PUNCT ADV ADV
‘ We did once and we got loads of comments — Liz even got chased down the road by a tramp!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	literal	identical	PUNCT PRON VERB ADV CCONJ PRON VERB NOUN ADP NOUN PUNCT PROPN ADV VERB VERB ADP DET NOUN ADP DET NOUN	▁ ‘ ▁We ▁did ▁once ▁and ▁we ▁got ▁loads ▁of ▁comments ▁ — ▁L iz ▁even ▁got ▁chase d ▁down ▁the ▁road ▁by ▁a ▁tram p ! ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PUNCT PUNCT PRON VERB ADV CCONJ PRON VERB NOUN ADP NOUN PUNCT PUNCT PROPN PROPN ADV VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN
Mind you I could park it down the road couldn't I?	0 0 0 0 0 0 1 0 1 0 0	down the road	literal	identical	VERB PRON PRON VERB VERB PRON ADP DET NOUN VERB PRON	▁Min d ▁you ▁I ▁could ▁park ▁it ▁down ▁the ▁road ▁could n ' t ▁I ?	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	VERB VERB PRON PRON VERB VERB PRON ADP DET NOUN VERB VERB VERB VERB PRON PRON
As government deficits and public debt increase in many developed and emerging economies, financial markets will most likely demand higher risk premia, owing to heightened fears of default and inflation down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	figurative	identical	ADP NOUN NOUN CCONJ ADJ NOUN NOUN ADP ADJ ADJ CCONJ VERB NOUN ADJ NOUN VERB ADV ADJ VERB ADJ NOUN NOUN VERB ADP VERB NOUN ADP NOUN CCONJ NOUN ADP DET NOUN	▁As ▁government ▁deficits ▁and ▁public ▁debt ▁increase ▁in ▁many ▁developed ▁and ▁emerging ▁economies , ▁financial ▁markets ▁will ▁most ▁likely ▁demand ▁higher ▁risk ▁pre mia , ▁owing ▁to ▁heighten ed ▁fears ▁of ▁default ▁and ▁inflation ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP NOUN NOUN CCONJ ADJ NOUN NOUN ADP ADJ ADJ CCONJ VERB NOUN NOUN ADJ NOUN VERB ADV ADJ VERB ADJ NOUN NOUN NOUN NOUN VERB ADP VERB VERB NOUN ADP NOUN CCONJ NOUN ADP DET NOUN NOUN
I said it looks lov, I said what we 'll do I said we 'll rush down the road and we 'll get a tint.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	down the road	literal	identical	PRON VERB PRON VERB ADJ PRON VERB NOUN PRON VERB VERB PRON VERB PRON VERB VERB PART DET NOUN CCONJ PRON VERB VERB DET NOUN	▁I ▁said ▁it ▁looks ▁ lov , ▁I ▁said ▁what ▁we ▁' ll ▁do ▁I ▁said ▁we ▁' ll ▁rush ▁down ▁the ▁road ▁and ▁we ▁' ll ▁get ▁a ▁tin t .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB ADJ ADJ ADJ PRON VERB NOUN PRON VERB VERB VERB PRON VERB PRON VERB VERB VERB PART DET NOUN CCONJ PRON VERB VERB VERB DET NOUN NOUN NOUN
He reversed his car and prepared to drive back down the road.	0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	PRON VERB ADJ NOUN CCONJ VERB PART VERB ADV ADP DET NOUN	▁He ▁reversed ▁his ▁car ▁and ▁prepared ▁to ▁drive ▁back ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADJ NOUN CCONJ VERB PART VERB ADV ADP DET NOUN NOUN
I think, ' he added obligingly, ' you 'll find the nearest hotel is five or six miles down the main road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the road	literal	insertion-other	PRON VERB PUNCT PRON VERB ADV PUNCT PRON VERB VERB DET ADJ NOUN VERB NUM CCONJ NUM NOUN ADP DET ADJ NOUN	▁I ▁think , ▁' ▁he ▁added ▁oblig ing ly , ▁' ▁you ▁' ll ▁find ▁the ▁near est ▁hotel ▁is ▁five ▁or ▁six ▁miles ▁down ▁the ▁main ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	PRON VERB VERB PUNCT PRON VERB ADV ADV ADV ADV PUNCT PRON VERB VERB VERB DET ADJ ADJ NOUN VERB NUM CCONJ NUM NOUN ADP DET ADJ NOUN NOUN
When I see a woman in a long, tight, pencil skirt and high heels tottering down the road, I often wonder how fast she could run if chased.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADV PRON VERB DET NOUN ADP DET ADJ ADJ NOUN NOUN CCONJ ADJ NOUN VERB ADP DET NOUN PRON ADV VERB ADV ADV PRON VERB VERB ADP VERB	▁When ▁I ▁see ▁a ▁woman ▁in ▁a ▁long , ▁tight , ▁pencil ▁skirt ▁and ▁high ▁heel s ▁to ttering ▁down ▁the ▁road , ▁I ▁often ▁wonder ▁how ▁fast ▁she ▁could ▁run ▁if ▁chase d .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB DET NOUN ADP DET ADJ ADJ ADJ ADJ NOUN NOUN CCONJ ADJ NOUN NOUN VERB VERB ADP DET NOUN NOUN PRON ADV VERB ADV ADV PRON VERB VERB ADP VERB VERB VERB
We go right past and down the road and I 'm safe.	0 0 0 0 0 1 0 1 0 0 0 0	down the road	literal	identical	PRON VERB ADV ADV CCONJ ADP DET NOUN CCONJ PRON VERB ADJ	▁We ▁go ▁right ▁past ▁and ▁down ▁the ▁road ▁and ▁I ▁' m ▁safe .	0 0 0 0 0 1 0 1 0 0 0 0 0 0	PRON VERB ADV ADV CCONJ ADP DET NOUN CCONJ PRON VERB VERB ADJ ADJ
A young child is running down a gravel road that is covered with dead leaves	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	down the road	literal	combined-other	DET ADJ NOUN VERB VERB ADP DET NOUN NOUN ADJ VERB VERB ADP ADJ NOUN	▁A ▁young ▁child ▁is ▁running ▁down ▁a ▁grave l ▁road ▁that ▁is ▁covered ▁with ▁dead ▁leaves	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	DET ADJ NOUN VERB VERB ADP DET NOUN NOUN NOUN ADJ VERB VERB ADP ADJ NOUN
All of whom have been second - guessed by Ollie, who romps his plodmobile ( definitely not a Lagonda! ) gaily down the Bayswater Road, barrels up Piccadilly, even throttles back on the vacant Euston Road to give the competition a sporting chance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	DET ADP NOUN VERB VERB ADV PUNCT VERB ADP PROPN NOUN VERB ADJ NOUN PUNCT ADV ADV DET PROPN PUNCT ADV ADP DET PROPN PROPN VERB PART ADV ADV VERB ADV ADP DET ADJ PROPN PROPN PART VERB DET NOUN DET NOUN NOUN	▁All ▁of ▁whom ▁have ▁been ▁second ▁- ▁guess ed ▁by ▁Ol lie , ▁who ▁rom ps ▁his ▁p lo d mobile ▁( ▁definitely ▁not ▁a ▁L agon da ! ▁ ) ▁g ai ly ▁down ▁the ▁Bay s water ▁Road , ▁barrel s ▁up ▁Pi cc ad illy , ▁even ▁ thro ttle s ▁back ▁on ▁the ▁vacant ▁Eu s ton ▁Road ▁to ▁give ▁the ▁competition ▁a ▁sporting ▁chance .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADP NOUN VERB VERB ADV PUNCT VERB VERB ADP PROPN PROPN PROPN NOUN VERB VERB ADJ NOUN NOUN NOUN NOUN PUNCT ADV ADV DET PROPN PROPN PROPN PROPN PUNCT PUNCT ADV ADV ADV ADP DET PROPN PROPN PROPN PROPN PROPN VERB VERB PART ADV ADV ADV ADV ADV ADV VERB VERB VERB VERB ADV ADP DET ADJ PROPN PROPN PROPN PROPN PART VERB DET NOUN DET NOUN NOUN NOUN
Well it used to be er one road used to be called Meadow Flats, and then you go a little way down another road and it used to be called the bottoms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	down the road	literal	determiner-broad	INTJ PRON VERB PART VERB INTJ NUM NOUN VERB PART VERB VERB PROPN PROPN CCONJ ADV PRON VERB DET ADJ NOUN ADP DET NOUN CCONJ PRON VERB PART VERB VERB DET NOUN	▁Well ▁it ▁used ▁to ▁be ▁er ▁one ▁road ▁used ▁to ▁be ▁called ▁Me a dow ▁Flat s , ▁and ▁then ▁you ▁go ▁a ▁little ▁way ▁down ▁another ▁road ▁and ▁it ▁used ▁to ▁be ▁called ▁the ▁bottom s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	INTJ PRON VERB PART VERB INTJ NUM NOUN VERB PART VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADV PRON VERB DET ADJ NOUN ADP DET NOUN CCONJ PRON VERB PART VERB VERB DET NOUN NOUN NOUN
You 're going down the road	0 0 0 1 0 1	down the road	literal	identical	PRON VERB VERB ADP DET NOUN	▁You ▁' re ▁going ▁down ▁the ▁road	0 0 0 0 1 0 1	PRON VERB VERB VERB ADP DET NOUN
They won't even walk down the road	0 0 0 0 1 0 1	down the road	literal	identical	PRON VERB ADV VERB ADP DET NOUN	▁They ▁won ' t ▁even ▁walk ▁down ▁the ▁road	0 0 0 0 0 0 1 0 1	PRON VERB VERB VERB ADV VERB ADP DET NOUN
A young child is running down a road made of gravel that is covered with dead leaves	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	down the road	literal	determiner-narrow	DET ADJ NOUN VERB VERB ADP DET NOUN VERB ADP NOUN ADJ VERB VERB ADP ADJ NOUN	▁A ▁young ▁child ▁is ▁running ▁down ▁a ▁road ▁made ▁of ▁grave l ▁that ▁is ▁covered ▁with ▁dead ▁leaves	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB VERB ADP DET NOUN VERB ADP NOUN NOUN ADJ VERB VERB ADP ADJ NOUN
Dried and flattened armadillo husks flip over like worn - out old heels in the wake of passing trucks, bowling down the road like lost hubcaps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	figurative	identical	VERB CCONJ VERB NOUN NOUN VERB PART ADP VERB PUNCT PART ADJ NOUN ADP DET NOUN ADP VERB NOUN VERB ADP DET NOUN ADP VERB NOUN	▁Dried ▁and ▁flat ten ed ▁arm ad illo ▁husk s ▁flip ▁over ▁like ▁worn ▁- ▁out ▁old ▁heel s ▁in ▁the ▁wake ▁of ▁passing ▁trucks , ▁bowl ing ▁down ▁the ▁road ▁like ▁lost ▁hub cap s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	VERB CCONJ VERB VERB VERB NOUN NOUN NOUN NOUN NOUN VERB PART ADP VERB PUNCT PART ADJ NOUN NOUN ADP DET NOUN ADP VERB NOUN NOUN VERB VERB ADP DET NOUN ADP VERB NOUN NOUN NOUN NOUN
A middle aged man and woman are riding horses down a road beside the water	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	literal	determiner-narrow	DET ADJ ADJ NOUN CCONJ NOUN VERB VERB NOUN ADP DET NOUN ADP DET NOUN	▁A ▁middle ▁aged ▁man ▁and ▁woman ▁are ▁rid ing ▁horses ▁down ▁a ▁road ▁be side ▁the ▁water	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	DET ADJ ADJ NOUN CCONJ NOUN VERB VERB VERB NOUN ADP DET NOUN ADP ADP DET NOUN
Just before midday Camille drifted into an even more expensive bar - restaurant further down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADV ADP NOUN PROPN VERB ADP DET ADV ADV ADJ NOUN PUNCT NOUN ADV ADP DET NOUN	▁Just ▁before ▁mid day ▁C am ille ▁drift ed ▁into ▁an ▁even ▁more ▁expensive ▁bar ▁- ▁restaurant ▁further ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADP NOUN NOUN PROPN PROPN PROPN VERB VERB ADP DET ADV ADV ADJ NOUN PUNCT NOUN ADV ADP DET NOUN NOUN
It was a long way down this road, I was right.	0 0 0 0 0 1 0 1 0 0 0	down the road	literal	determiner-narrow	PRON VERB DET ADJ NOUN ADP DET NOUN PRON VERB ADJ	▁It ▁was ▁a ▁long ▁way ▁down ▁this ▁road , ▁I ▁was ▁right .	0 0 0 0 0 1 0 1 1 0 0 0 0	PRON VERB DET ADJ NOUN ADP DET NOUN NOUN PRON VERB ADJ ADJ
Even if successful in the short run, the huge shift toward government spending will almost certainly lead to significantly slower growth rates a few years down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	figurative	identical	ADV ADP ADJ ADP DET ADJ NOUN DET ADJ NOUN ADP NOUN NOUN VERB ADV ADV VERB ADP ADV ADJ NOUN NOUN DET ADJ NOUN ADP DET NOUN	▁Even ▁if ▁successful ▁in ▁the ▁short ▁run , ▁the ▁huge ▁shift ▁toward ▁government ▁spending ▁will ▁almost ▁certainly ▁lead ▁to ▁significantly ▁slower ▁growth ▁rates ▁a ▁few ▁years ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADP ADJ ADP DET ADJ NOUN NOUN DET ADJ NOUN ADP NOUN NOUN VERB ADV ADV VERB ADP ADV ADJ NOUN NOUN DET ADJ NOUN ADP DET NOUN NOUN
Masklin saw a third truck rattle down a side road and pull in behind them.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	down the road	literal	combined-other	PROPN VERB DET ADJ NOUN VERB PART DET NOUN NOUN CCONJ VERB PART ADP PRON	▁Mas k lin ▁saw ▁a ▁third ▁truck ▁ra ttle ▁down ▁a ▁side ▁road ▁and ▁pull ▁in ▁behind ▁them .	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	PROPN PROPN PROPN VERB DET ADJ NOUN VERB VERB PART DET NOUN NOUN CCONJ VERB PART ADP PRON PRON
A middle aged man and woman are riding bikes down a road beside the water	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	literal	determiner-narrow	DET ADJ ADJ NOUN CCONJ NOUN VERB VERB NOUN PART DET NOUN ADP DET NOUN	▁A ▁middle ▁aged ▁man ▁and ▁woman ▁are ▁rid ing ▁bi kes ▁down ▁a ▁road ▁be side ▁the ▁water	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	DET ADJ ADJ NOUN CCONJ NOUN VERB VERB VERB NOUN NOUN PART DET NOUN ADP ADP DET NOUN
I thought in my ignorance that Lorcomb would be just down the road from Norwich ; when I discovered that it was an hour's drive I persuaded the colonel to rent me his house.’	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB ADP ADJ NOUN ADP PROPN VERB VERB ADV ADP DET NOUN ADP PROPN PUNCT ADV PRON VERB ADP PRON VERB DET NOUN NOUN PRON VERB DET NOUN PART VERB PRON ADJ NOUN	▁I ▁thought ▁in ▁my ▁ignorance ▁that ▁L or com b ▁would ▁be ▁just ▁down ▁the ▁road ▁from ▁Nor wich ▁ ; ▁when ▁I ▁discovered ▁that ▁it ▁was ▁an ▁hour ' s ▁drive ▁I ▁persuaded ▁the ▁colon el ▁to ▁rent ▁me ▁his ▁house . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP ADJ NOUN ADP PROPN PROPN PROPN PROPN VERB VERB ADV ADP DET NOUN ADP PROPN PROPN PUNCT PUNCT ADV PRON VERB ADP PRON VERB DET NOUN NOUN NOUN NOUN PRON VERB DET NOUN NOUN PART VERB PRON ADJ NOUN NOUN NOUN
Well I saw that pai, I saw the shop as, as we came down the Ayleston Road, near the terminus.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	down the road	literal	combined-other	INTJ PRON VERB DET NOUN PRON VERB DET NOUN ADP ADP PRON VERB PART DET PROPN PROPN ADP DET NOUN	▁Well ▁I ▁saw ▁that ▁p ai , ▁I ▁saw ▁the ▁shop ▁as , ▁as ▁we ▁came ▁down ▁the ▁A yl est on ▁Road , ▁near ▁the ▁term inus .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0	INTJ PRON VERB DET NOUN NOUN NOUN PRON VERB DET NOUN ADP ADP ADP PRON VERB PART DET PROPN PROPN PROPN PROPN PROPN PROPN ADP DET NOUN NOUN NOUN
I forgot the cars were coming down the road.	0 0 0 0 0 0 1 0 1	down the road	literal	identical	PRON VERB DET NOUN VERB VERB ADP DET NOUN	▁I ▁for go t ▁the ▁cars ▁were ▁coming ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB VERB DET NOUN VERB VERB ADP DET NOUN NOUN
Olive Julia Field was the lady in the Big House, Lartington Hall, just down the road from Hannah's cottage in Cotherstone, and the owner of large tracts of land locally including chunks of Baldersdale.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PROPN PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN ADV ADP DET NOUN ADP PROPN NOUN ADP PROPN CCONJ DET NOUN ADP ADJ NOUN ADP NOUN ADV VERB NOUN ADP PROPN	▁Olive ▁Ju lia ▁Field ▁was ▁the ▁lady ▁in ▁the ▁Big ▁House , ▁Lar ting ton ▁Hall , ▁just ▁down ▁the ▁road ▁from ▁H anna h ' s ▁ cott age ▁in ▁C other stone , ▁and ▁the ▁owner ▁of ▁large ▁tract s ▁of ▁land ▁locally ▁including ▁ch un ks ▁of ▁Bald ers d ale .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADV ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN CCONJ DET NOUN ADP ADJ NOUN NOUN ADP NOUN ADV VERB NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN
Well just down the road from the Shrewsbury Flower Festival there's a very different kind of celebration taking place.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	INTJ ADV ADP DET NOUN ADP DET PROPN PROPN PROPN ADV DET ADV ADJ NOUN ADP NOUN VERB NOUN	▁Well ▁just ▁down ▁the ▁road ▁from ▁the ▁S h rew s bur y ▁Flower ▁F est ival ▁there ' s ▁a ▁very ▁different ▁kind ▁of ▁celebration ▁taking ▁place .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ ADV ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADV ADV ADV DET ADV ADJ NOUN ADP NOUN VERB NOUN NOUN
