Cuts and capping have sadly put paid to that.	0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	NOUN CCONJ NOUN VERB ADV VERB VERB ADP DET	▁Cut s ▁and ▁c apping ▁have ▁sadly ▁put ▁paid ▁to ▁that .	0 0 0 0 0 0 0 1 1 1 0 0	NOUN NOUN CCONJ NOUN NOUN VERB ADV VERB VERB ADP DET DET
That put paid to ‘ democratic diplomacy’ as anything other than‘the plaything of Governments’.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET VERB VERB ADP ADJ ADJ NOUN ADP NOUN ADJ DET NOUN ADP PROPN	▁That ▁put ▁paid ▁to ▁ ‘ ▁democratic ▁diplomacy ’ ▁as ▁anything ▁other ▁than ‘ the ▁play thing ▁of ▁Governments ’ .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB ADP ADJ ADJ ADJ NOUN NOUN ADP NOUN ADJ DET DET DET NOUN NOUN ADP PROPN PROPN PROPN
The defence argument put paid to yet another proposal in 1924 but in 1929 the Labour Government set up a Committee of Inquiry which concluded that a ‘ double barrelled’ rail tunnel could probably be built although it would be necessary to drive a pilot tunnel to demonstrate its feasibility beyond doubt.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN NOUN VERB VERB ADP ADV DET NOUN ADP NUM CCONJ ADP NUM DET PROPN PROPN VERB PART DET PROPN ADP PROPN ADJ VERB ADP DET PUNCT ADJ ADJ NOUN NOUN VERB ADV VERB VERB ADP PRON VERB VERB ADJ PART VERB DET ADJ NOUN PART VERB ADJ NOUN ADP NOUN	▁The ▁defence ▁argument ▁put ▁paid ▁to ▁yet ▁another ▁proposal ▁in ▁19 24 ▁but ▁in ▁1929 ▁the ▁Labour ▁Government ▁set ▁up ▁a ▁Committee ▁of ▁Inquiry ▁which ▁concluded ▁that ▁a ▁ ‘ ▁double ▁barrel led ’ ▁rail ▁tunnel ▁could ▁probably ▁be ▁built ▁although ▁it ▁would ▁be ▁necessary ▁to ▁drive ▁a ▁pilot ▁tunnel ▁to ▁demonstrate ▁its ▁feasibility ▁beyond ▁doubt .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB VERB ADP ADV DET NOUN ADP NUM NUM CCONJ ADP NUM DET PROPN PROPN VERB PART DET PROPN ADP PROPN ADJ VERB ADP DET PUNCT PUNCT ADJ ADJ ADJ ADJ NOUN NOUN VERB ADV VERB VERB ADP PRON VERB VERB ADJ PART VERB DET ADJ NOUN PART VERB ADJ NOUN ADP NOUN NOUN
‘ That ought to put paid to your demands that I —’	0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	PUNCT DET VERB PART VERB VERB ADP ADJ NOUN ADP PRON ADV	▁ ‘ ▁That ▁ought ▁to ▁put ▁paid ▁to ▁your ▁demands ▁that ▁I ▁ —’	0 0 0 0 0 1 1 1 0 0 0 0 0 0	PUNCT PUNCT DET VERB PART VERB VERB ADP ADJ NOUN ADP PRON ADV ADV
Apparently the climb to the top of the Glenshane Pass had put paid to their radiator.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	ADV DET NOUN ADP DET NOUN ADP DET PROPN PROPN VERB VERB VERB ADP ADJ NOUN	▁Ap parent ly ▁the ▁climb ▁to ▁the ▁top ▁of ▁the ▁G len shan e ▁Pass ▁had ▁put ▁paid ▁to ▁their ▁radiator .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADV ADV ADV DET NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN VERB VERB VERB ADP ADJ NOUN NOUN
The accident put paid to Blues ' thoughts of racing, but also rekindled his interest in the guitar.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN VERB VERB ADP NOUN PART NOUN ADP NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN	▁The ▁accident ▁put ▁paid ▁to ▁Blue s ▁' ▁thoughts ▁of ▁racing , ▁but ▁also ▁re kind led ▁his ▁interest ▁in ▁the ▁ gui tar .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB ADP NOUN NOUN PART NOUN ADP NOUN NOUN CCONJ ADV VERB VERB VERB ADJ NOUN ADP DET NOUN NOUN NOUN NOUN
Toby Bourne, a London eighteen year - old, was shocked when his C grade in A level French last summer put paid to his chances of reading French at university — he had been expected to do well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PROPN PROPN DET PROPN NUM NOUN PUNCT ADJ VERB ADJ ADV ADJ PROPN NOUN ADP DET NOUN ADJ ADJ NOUN VERB VERB ADP ADJ NOUN ADP VERB PROPN ADP NOUN PUNCT PRON VERB VERB VERB PART VERB ADV	▁To by ▁Bour ne , ▁a ▁London ▁eighteen ▁year ▁- ▁old , ▁was ▁shock ed ▁when ▁his ▁C ▁grade ▁in ▁A ▁level ▁French ▁last ▁summer ▁put ▁paid ▁to ▁his ▁chances ▁of ▁reading ▁French ▁at ▁university ▁ — ▁he ▁had ▁been ▁expected ▁to ▁do ▁well .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN DET PROPN NUM NOUN PUNCT ADJ ADJ VERB ADJ ADJ ADV ADJ PROPN NOUN ADP DET NOUN ADJ ADJ NOUN VERB VERB ADP ADJ NOUN ADP VERB PROPN ADP NOUN PUNCT PUNCT PRON VERB VERB VERB PART VERB ADV ADV
The Delacroix date put paid to that idea.	0 0 0 1 1 1 0 0	put paid to	figurative	identical	DET PROPN NOUN VERB VERB ADP DET NOUN	▁The ▁Del a cro ix ▁date ▁put ▁paid ▁to ▁that ▁idea .	0 0 0 0 0 0 1 1 1 0 0 0	DET PROPN PROPN PROPN PROPN NOUN VERB VERB ADP DET NOUN NOUN
The Upper House ( Bundesrat ) put a stop to government's plans to cut social benefits, and they also shot down a draft on reducing payments for people looking for asylum, putting paid to both laws.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	inflection	DET PROPN PROPN PUNCT PROPN PUNCT VERB DET NOUN ADP NOUN NOUN PART VERB ADJ NOUN CCONJ PRON ADV VERB PART DET NOUN ADP VERB NOUN ADP NOUN VERB ADP NOUN VERB VERB ADP DET NOUN	▁The ▁Upper ▁House ▁( ▁Bundes rat ▁ ) ▁put ▁a ▁stop ▁to ▁government ' s ▁plans ▁to ▁cut ▁social ▁benefits , ▁and ▁they ▁also ▁shot ▁down ▁a ▁draft ▁on ▁reducing ▁payments ▁for ▁people ▁looking ▁for ▁asylum , ▁putting ▁paid ▁to ▁both ▁laws .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	DET PROPN PROPN PUNCT PROPN PROPN PUNCT PUNCT VERB DET NOUN ADP NOUN NOUN NOUN NOUN PART VERB ADJ NOUN NOUN CCONJ PRON ADV VERB PART DET NOUN ADP VERB NOUN ADP NOUN VERB ADP NOUN NOUN VERB VERB ADP DET NOUN NOUN
Yes it was, and I think it also er really put paid to the journalists that came along expecting to write our political obituary, because what did come over in all the workshops er and in the main plenary sessions, was that, that local, local parties are doing very well indeed and are getting a very good reception on the doorstep, in fact some other polls on, on er the Green strategy to the environment show that people actually do still trust the Greens far more than any other party.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	INTJ PRON VERB CCONJ PRON VERB PRON ADV INTJ ADV VERB VERB ADP DET NOUN ADJ VERB PART VERB PART VERB ADJ ADJ NOUN ADP NOUN VERB VERB PART ADP ADJ DET NOUN INTJ CCONJ ADP DET ADJ ADJ NOUN VERB ADP ADP ADJ ADJ NOUN VERB VERB ADV ADV ADV CCONJ VERB VERB DET ADV ADJ NOUN ADP DET NOUN ADP NOUN DET ADJ NOUN ADP ADP INTJ DET PROPN NOUN ADP DET NOUN VERB ADP NOUN ADV VERB ADV VERB DET PROPN ADV ADJ ADP DET ADJ NOUN	▁Yes ▁it ▁was , ▁and ▁I ▁think ▁it ▁also ▁er ▁really ▁put ▁paid ▁to ▁the ▁journalists ▁that ▁came ▁along ▁expecting ▁to ▁write ▁our ▁political ▁o bit u ary , ▁because ▁what ▁did ▁come ▁over ▁in ▁all ▁the ▁workshops ▁er ▁and ▁in ▁the ▁main ▁plenary ▁sessions , ▁was ▁that , ▁that ▁local , ▁local ▁parties ▁are ▁doing ▁very ▁well ▁indeed ▁and ▁are ▁gett ing ▁a ▁very ▁good ▁reception ▁on ▁the ▁doorstep , ▁in ▁fact ▁some ▁other ▁poll s ▁on , ▁on ▁er ▁the ▁Green ▁strategy ▁to ▁the ▁environment ▁show ▁that ▁people ▁actually ▁do ▁still ▁trust ▁the ▁Green s ▁far ▁more ▁than ▁any ▁other ▁party .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ PRON VERB VERB CCONJ PRON VERB PRON ADV INTJ ADV VERB VERB ADP DET NOUN ADJ VERB PART VERB PART VERB ADJ ADJ NOUN NOUN NOUN NOUN NOUN ADP NOUN VERB VERB PART ADP ADJ DET NOUN INTJ CCONJ ADP DET ADJ ADJ NOUN NOUN VERB ADP ADP ADP ADJ ADJ ADJ NOUN VERB VERB ADV ADV ADV CCONJ VERB VERB VERB DET ADV ADJ NOUN ADP DET NOUN NOUN ADP NOUN DET ADJ NOUN NOUN ADP ADP ADP INTJ DET PROPN NOUN ADP DET NOUN VERB ADP NOUN ADV VERB ADV VERB DET PROPN PROPN ADV ADJ ADP DET ADJ NOUN NOUN
But the windy conditions put paid to that, and he had to be content with finishing the 26 miles 385 yards ( 42.195 kilometres ) course in 2 hours 46 minutes 51 seconds.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	CCONJ DET ADJ NOUN VERB VERB ADP DET CCONJ PRON VERB PART VERB ADJ ADP VERB DET NUM NOUN NUM NOUN PUNCT NUM NOUN PUNCT NOUN ADP NUM NOUN NUM NOUN NUM NOUN	▁But ▁the ▁wind y ▁conditions ▁put ▁paid ▁to ▁that , ▁and ▁he ▁had ▁to ▁be ▁content ▁with ▁finishing ▁the ▁26 ▁miles ▁385 ▁yards ▁( ▁42 .1 95 ▁kilometres ▁ ) ▁course ▁in ▁2 ▁hours ▁46 ▁minutes ▁51 ▁seconds .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET ADJ ADJ NOUN VERB VERB ADP DET DET CCONJ PRON VERB PART VERB ADJ ADP VERB DET NUM NOUN NUM NOUN PUNCT NUM NUM NUM NOUN PUNCT PUNCT NOUN ADP NUM NOUN NUM NOUN NUM NOUN NOUN
The rain put paid to our next day's match and consequently we didn't play until towards the end of the tour against the Jonor Rhinos, a team containing four Malaysian internationals, coached by a First Grade Australian ( who also played ).	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN VERB VERB ADP ADJ ADJ NOUN NOUN CCONJ ADV PRON VERB VERB ADP ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN DET NOUN VERB NUM ADJ NOUN VERB ADP DET PROPN PROPN PROPN PUNCT NOUN ADV VERB PUNCT	▁The ▁rain ▁put ▁paid ▁to ▁our ▁next ▁day ' s ▁match ▁and ▁consequently ▁we ▁did n ' t ▁play ▁until ▁towards ▁the ▁end ▁of ▁the ▁to ur ▁against ▁the ▁Jo nor ▁Rh ino s , ▁a ▁team ▁containing ▁four ▁Malaysian ▁international s , ▁coach ed ▁by ▁a ▁First ▁Grade ▁Australia n ▁( ▁who ▁also ▁played ▁ ).	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB ADP ADJ ADJ NOUN NOUN NOUN NOUN CCONJ ADV PRON VERB VERB VERB VERB VERB ADP ADP DET NOUN ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN VERB NUM ADJ NOUN NOUN NOUN VERB VERB ADP DET PROPN PROPN PROPN PROPN PUNCT NOUN ADV VERB PUNCT PUNCT
City's unbeaten run went crashing down today when Shenley and Leyton put paid to their chances of further progress in the South Midland League's Challenge Trophy.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PROPN ADJ NOUN VERB VERB PART NOUN ADV PROPN CCONJ PROPN VERB VERB ADP ADJ NOUN ADP ADJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN	▁City ' s ▁un beat en ▁run ▁went ▁crash ing ▁down ▁today ▁when ▁She n ley ▁and ▁L ey ton ▁put ▁paid ▁to ▁their ▁chances ▁of ▁further ▁progress ▁in ▁the ▁South ▁Mid land ▁League ' s ▁Challenge ▁Tro phy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN ADJ ADJ ADJ NOUN VERB VERB VERB PART NOUN ADV PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB VERB ADP ADJ NOUN ADP ADJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
This put paid to Baldwin's attempt to pose as a champion of collective security.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET VERB VERB ADP PROPN NOUN PART VERB ADP DET NOUN ADP ADJ NOUN	▁This ▁put ▁paid ▁to ▁Bald win ' s ▁attempt ▁to ▁pose ▁as ▁a ▁champion ▁of ▁collective ▁security .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB ADP PROPN PROPN PROPN PROPN NOUN PART VERB ADP DET NOUN ADP ADJ NOUN NOUN
The nuns were some of the best doctors in a Europe and saved may a person from death but old Henry put paid to them, flattening the convent and pillaging its treasures.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN VERB DET ADP DET ADJ NOUN ADP DET PROPN CCONJ VERB VERB DET NOUN ADP NOUN CCONJ ADJ PROPN VERB VERB ADP PRON VERB DET NOUN CCONJ VERB ADJ NOUN	▁The ▁nu ns ▁were ▁some ▁of ▁the ▁best ▁doctors ▁in ▁a ▁Europe ▁and ▁saved ▁may ▁a ▁person ▁from ▁death ▁but ▁old ▁Henry ▁put ▁paid ▁to ▁them , ▁flat ten ing ▁the ▁conven t ▁and ▁pill aging ▁its ▁treasure s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB DET ADP DET ADJ NOUN ADP DET PROPN CCONJ VERB VERB DET NOUN ADP NOUN CCONJ ADJ PROPN VERB VERB ADP PRON PRON VERB VERB VERB DET NOUN NOUN CCONJ VERB VERB ADJ NOUN NOUN NOUN
THREE second half tries in eight minutes from Wigan put paid to any hopes the ambitious Eagles had of grabbing a shock win at Central Park last night.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NUM ADJ NOUN VERB ADP NUM NOUN ADP PROPN VERB VERB ADP DET NOUN DET ADJ PROPN VERB ADP VERB DET NOUN NOUN ADP PROPN PROPN ADJ NOUN	▁THREE ▁second ▁half ▁tries ▁in ▁eight ▁minutes ▁from ▁W igan ▁put ▁paid ▁to ▁any ▁hopes ▁the ▁ambitious ▁E ag les ▁had ▁of ▁ gra bb ing ▁a ▁shock ▁win ▁at ▁Central ▁Park ▁last ▁night .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM ADJ NOUN VERB ADP NUM NOUN ADP PROPN PROPN VERB VERB ADP DET NOUN DET ADJ PROPN PROPN PROPN VERB ADP VERB VERB VERB VERB DET NOUN NOUN ADP PROPN PROPN ADJ NOUN NOUN
The Russian winter, famous for defeating the country's enemies, this time put paid to a tsar.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	DET ADJ NOUN ADJ ADP VERB DET NOUN NOUN DET NOUN VERB VERB ADP DET NOUN	▁The ▁Russian ▁winter , ▁famous ▁for ▁defeat ing ▁the ▁country ' s ▁enemies , ▁this ▁time ▁put ▁paid ▁to ▁a ▁t s ar .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	DET ADJ NOUN NOUN ADJ ADP VERB VERB DET NOUN NOUN NOUN NOUN NOUN DET NOUN VERB VERB ADP DET NOUN NOUN NOUN NOUN
The growth of competition put paid to repeated attempts by the railways and the political authorities to establish a financially viable railway.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN ADP NOUN VERB VERB ADP VERB NOUN ADP DET NOUN CCONJ DET ADJ NOUN PART VERB DET ADV ADJ NOUN	▁The ▁growth ▁of ▁competition ▁put ▁paid ▁to ▁repeated ▁attempts ▁by ▁the ▁railways ▁and ▁the ▁political ▁authorities ▁to ▁establish ▁a ▁financially ▁viable ▁railway .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP NOUN VERB VERB ADP VERB NOUN ADP DET NOUN CCONJ DET ADJ NOUN PART VERB DET ADV ADJ NOUN NOUN
It was not a good year for them to start with, and this year's explosion in grey squirrel numbers seems to have put paid to the few that did form.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	PRON VERB ADV DET ADJ NOUN ADP PRON PART VERB ADP CCONJ DET NOUN NOUN ADP ADJ ADJ NOUN VERB PART VERB VERB VERB ADP DET ADJ ADJ VERB NOUN	▁It ▁was ▁not ▁a ▁good ▁year ▁for ▁them ▁to ▁start ▁with , ▁and ▁this ▁year ' s ▁explosion ▁in ▁grey ▁s qui r rel ▁numbers ▁seems ▁to ▁have ▁put ▁paid ▁to ▁the ▁few ▁that ▁did ▁form .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PRON VERB ADV DET ADJ NOUN ADP PRON PART VERB ADP ADP CCONJ DET NOUN NOUN NOUN NOUN ADP ADJ ADJ ADJ ADJ ADJ NOUN VERB PART VERB VERB VERB ADP DET ADJ ADJ VERB NOUN NOUN
Up to the time of her deafness, she had ambitions to be a music composer but her deafness put paid to that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	ADP ADP DET NOUN ADP ADJ NOUN PRON VERB NOUN PART VERB DET NOUN NOUN CCONJ ADJ NOUN VERB VERB ADP DET	▁Up ▁to ▁the ▁time ▁of ▁her ▁deaf ness , ▁she ▁had ▁ambitions ▁to ▁be ▁a ▁music ▁com pos er ▁but ▁her ▁deaf ness ▁put ▁paid ▁to ▁that .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	ADP ADP DET NOUN ADP ADJ NOUN NOUN NOUN PRON VERB NOUN PART VERB DET NOUN NOUN NOUN NOUN CCONJ ADJ NOUN NOUN VERB VERB ADP DET DET
But the steely ‘ So fuck you, smarty - pants, ‘ cos he's mine’ look in Karen's eye soon put paid to that idea.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	CCONJ DET ADV PROPN ADV ADJ PRON NOUN PUNCT NOUN PUNCT ADP PRON NOUN VERB ADP PROPN NOUN ADV VERB VERB ADP DET NOUN	▁But ▁the ▁steel y ▁ ‘ ▁So ▁f uck ▁you , ▁smart y ▁- ▁p ants , ▁ ‘ ▁co s ▁he ' s ▁mine ’ ▁look ▁in ▁Kar en ' s ▁eye ▁soon ▁put ▁paid ▁to ▁that ▁idea .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	CCONJ DET ADV ADV PROPN PROPN ADV ADJ ADJ PRON PRON NOUN NOUN PUNCT NOUN NOUN NOUN PUNCT PUNCT ADP ADP PRON PRON PRON NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN NOUN ADV VERB VERB ADP DET NOUN NOUN
On top of that the 1987 stock market crash and a steep domestic increase in interest rates nearly nearly put paid to some of them — including DnC.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	put paid to	figurative	identical	ADP NOUN ADP DET DET NUM NOUN NOUN NOUN CCONJ DET ADJ ADJ NOUN ADP NOUN NOUN ADV ADV VERB VERB ADP DET ADP PRON PUNCT VERB NOUN	▁On ▁top ▁of ▁that ▁the ▁1987 ▁stock ▁market ▁crash ▁and ▁a ▁steep ▁domestic ▁increase ▁in ▁interest ▁rates ▁nearly ▁nearly ▁put ▁paid ▁to ▁some ▁of ▁them ▁ — ▁including ▁D n C .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	ADP NOUN ADP DET DET NUM NOUN NOUN NOUN CCONJ DET ADJ ADJ NOUN ADP NOUN NOUN ADV ADV VERB VERB ADP DET ADP PRON PUNCT PUNCT VERB NOUN NOUN NOUN NOUN
And, if she 'd had any illusions about being able to deceive him, his behaviour over the past two days had put paid to that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	CCONJ ADP PRON VERB VERB DET NOUN ADP VERB ADJ PART VERB PRON ADJ NOUN ADP DET ADJ NUM NOUN VERB VERB VERB ADP DET	▁And , ▁if ▁she ▁' d ▁had ▁any ▁illusion s ▁about ▁being ▁able ▁to ▁deceive ▁him , ▁his ▁behaviour ▁over ▁the ▁past ▁two ▁days ▁had ▁put ▁paid ▁to ▁that .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	CCONJ CCONJ ADP PRON VERB VERB VERB DET NOUN NOUN ADP VERB ADJ PART VERB PRON PRON ADJ NOUN ADP DET ADJ NUM NOUN VERB VERB VERB ADP DET DET
The Romanian trip had put paid to that.	0 0 0 0 1 1 1 0	put paid to	figurative	identical	DET ADJ NOUN VERB VERB VERB ADP DET	▁The ▁Romanian ▁trip ▁had ▁put ▁paid ▁to ▁that .	0 0 0 0 1 1 1 0 0	DET ADJ NOUN VERB VERB VERB ADP DET DET
On Tuesday night they easily put paid to Newtownards ' slight remaining hopes, by beating them 3.5–1.5.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADP PROPN NOUN PRON ADV VERB VERB ADP PROPN PART ADJ VERB NOUN ADP VERB PRON NOUN	▁On ▁Tuesday ▁night ▁they ▁easily ▁put ▁paid ▁to ▁New town ards ▁' ▁slight ▁remaining ▁hopes , ▁by ▁be ating ▁them ▁3.5 – 1.5 .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN NOUN PRON ADV VERB VERB ADP PROPN PROPN PROPN PART ADJ VERB NOUN NOUN ADP VERB VERB PRON NOUN NOUN NOUN NOUN
Bath have already put pay to two Central South sides ; they demolished Oxford 82:9 and then hit Hereford for 48 points.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	inflection	NOUN VERB ADV VERB NOUN ADP NUM PROPN PROPN NOUN PUNCT PRON VERB PROPN NUM CCONJ ADV VERB PROPN ADP NUM NOUN	▁B ath ▁have ▁already ▁put ▁pay ▁to ▁two ▁Central ▁South ▁sides ▁ ; ▁they ▁demo lished ▁Oxford ▁82 : 9 ▁and ▁then ▁hit ▁Here ford ▁for ▁48 ▁points .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB ADV VERB NOUN ADP NUM PROPN PROPN NOUN PUNCT PUNCT PRON VERB VERB PROPN NUM NUM NUM CCONJ ADV VERB PROPN PROPN ADP NUM NOUN NOUN
